MTS	OPEN	CLOSE	HIGH	LOW	VOLUME
1562600700000	200.28	200.28	200.28	200.28	0.41507818
1562601480000	200.03	200.03	200.03	200.03	3.85411939
1562601720000	199.77	199.75	199.77	199.75	5.9055971199999995
1562601780000	199.74	199.59	199.74	199.59	1.3868260399999999
1562601840000	199.59	199.59	199.59	199.54	5.00034301
1562601900000	199.51	199.54	199.54	199.51	3.1
1562601960000	199.4	199.4	199.4	199.4	0.12322046
1562602380000	200.07	200.48	200.48	200.07	2.11619946
1562602800000	199.09	199.09	199.09	199.09	0.12611857
1562603100000	199.0	198.76	199.0	198.76	6.21786219
1562603280000	199.0	199.0	199.0	199.0	0.71361502
1562603340000	199.01	199.07	199.07	199.01	10.740535
1562603520000	199.09	199.1	199.1	199.09	2.0
1562603820000	198.99	198.87	199.0	198.87	10.78295543
1562603880000	199.0	199.0	199.0	199.0	8.09248251
1562604000000	199.05	199.05	199.06	199.05	22.03783451
1562604180000	199.17	199.06	199.17	199.06	33.07232868
1562604240000	199.05	199.06	199.06	199.05	4.26220546
1562604300000	199.06	199.06	199.06	199.06	9.1587258
1562604360000	199.06	199.06	199.06	199.06	6.09155853
1562604420000	199.06	199.06	199.06	199.06	3.50451852
1562605020000	198.77	198.77	198.77	198.77	40.0
1562605620000	198.94	198.94	198.94	198.94	20.74049427
1562605680000	198.94	198.94	198.94	198.94	34.90824854
1562605740000	198.94	198.94	198.94	198.94	0.99417418
1562605800000	198.94	199.5	199.5	198.94	106.25216883
1562606160000	199.57	199.83	199.83	199.57	10.10852
1562606520000	199.5	199.81	199.81	199.5	10.0
1562606880000	199.03	199.03	199.03	199.03	0.37675896
1562608260000	198.76	198.76	198.77	198.76	2.55684343
1562608320000	198.76	198.74	198.76	198.74	5.47384194
1562608380000	198.64	198.64	198.64	198.64	0.20127305
1562608680000	198.59	198.67	198.67	198.59	4.37058168
1562609760000	198.65	198.56	198.65	198.56	0.55268291
1562610000000	198.65	198.65	198.65	198.65	10.0
1562610120000	198.72	198.72	198.72	198.72	5.0
1562610180000	198.73	198.73	198.73	198.73	5.0
1562610240000	198.5	198.48	198.5	198.48	1.89295256
1562610300000	198.48	198.48	198.48	198.48	5.25359624
1562610360000	198.43	198.43	198.43	198.43	0.20157734
1562610420000	198.38	198.38	198.38	198.38	1.00069752
1562610660000	198.34	198.5	198.5	198.34	11.420778369999999
1562612220000	198.41	198.41	198.41	198.41	0.21485838
1562612520000	198.46	198.59	198.59	198.46	8.62894939
1562612640000	198.65	198.71	198.76	198.65	13.186266
1562613480000	199.01	199.0	199.01	199.0	1.5154
1562613900000	199.1	199.15	199.15	199.1	7.7
1562614320000	199.13	199.2	199.2	199.13	29.11232227
1562614440000	199.21	199.22	199.22	199.21	2.33215026
1562614560000	199.78	200.0	200.0	199.78	25.33074772
1562614620000	200.34	200.95	200.95	200.34	31.094
1562614920000	201.02	201.02	201.02	201.02	0.15
1562615040000	200.84	200.71	200.84	200.71	15.682
1562615100000	200.72	200.73	200.74	200.71	12.27671073
1562615160000	200.73	200.6	200.73	200.6	64.665669718488
1562615220000	200.61	200.6	200.61	200.6	13.5
1562615280000	200.61	200.6	200.61	200.6	5.0
1562615340000	200.82	200.82	200.82	200.82	8.0
1562615580000	200.84	200.84	200.84	200.84	1.0
1562615820000	200.69	200.64	200.69	200.63	6.16931237
1562615880000	200.65	200.63	200.65	200.63	5.0
1562615940000	200.7	200.7	200.7	200.7	0.3
1562616000000	200.83	200.83	200.83	200.83	1.5944457
1562616300000	200.95	200.97	200.97	200.95	40.45134491
1562616540000	200.95	200.95	200.95	200.95	1.88021042
1562617260000	200.81	200.81	200.81	200.81	0.4167
1562617320000	200.79	200.74	200.79	200.69	1.61005819
1562617380000	200.71	200.71	200.71	200.71	0.32855309
1562617620000	200.62	200.61	200.62	200.61	21.29155909
1562617680000	200.61	200.61	200.61	200.61	6.209773630000001
1562617740000	200.61	200.61	200.61	200.61	1.443267
