MTS	OPEN	CLOSE	HIGH	LOW	VOLUME
1602863100000	2.5327	2.5327	2.5327	2.5327	136.78766928
1602863280000	2.5334	2.5329	2.5334	2.5329	221.21025000000003
1602863640000	2.533	2.533	2.533	2.533	4.57898185
1602864000000	2.5333	2.532	2.5333	2.532	33.82723
1602864060000	2.531	2.531	2.531	2.531	136.86711102
1602864360000	2.5312	2.5312	2.5312	2.5312	136.84980743
1602864420000	2.5307	2.5293	2.5307	2.5293	442.79165268
1602864480000	2.529	2.529	2.529	2.529	136.97966905
1602864720000	2.5307	2.5307	2.5307	2.5307	0.99964122
1602864840000	2.5329	2.5329	2.5329	2.5329	10.0
1602864960000	2.5358	2.5358	2.5358	2.5358	190.99026
1602865020000	2.5365	2.5365	2.5365	2.5365	136.57466737
1602865440000	2.5341	2.5341	2.5341	2.5341	4.62341019
1602865560000	2.5338	2.537	2.537	2.5338	339.42440371
1602865920000	2.5357	2.5355	2.5357	2.5355	19.248475550000002
1602865980000	2.5338	2.5338	2.5338	2.5338	15.18452874
1602866460000	2.5355	2.532	2.5355	2.532	311.1117
1602866640000	2.5284	2.5284	2.5284	2.5284	9.26796181
1602866760000	2.5316	2.5316	2.5316	2.5316	5.0
1602866820000	2.5313	2.5313	2.5313	2.5313	300.0
1602867300000	2.5321	2.5321	2.5321	2.5321	1.68227688
1602867780000	2.536	2.536	2.536	2.536	40.0
1602867840000	2.5368	2.5367	2.5368	2.5367	215.80677000000003
1602867900000	2.5368	2.5369	2.5369	2.5368	5.19244157
1602867960000	2.5369	2.5369	2.5369	2.5369	5.23440168
1602868020000	2.5368	2.5367	2.5368	2.5367	141.62211987
1602868080000	2.5354	2.5351	2.5354	2.5351	141.62477622
1602868140000	2.5349	2.5348	2.5351	2.5348	17.0785944
1602868200000	2.5348	2.5348	2.5348	2.5348	5.93976224
1602868260000	2.5356	2.5368	2.5368	2.5356	46.202983110000005
1602868320000	2.5366	2.5366	2.5366	2.5366	5.55892094
1602868380000	2.53561237	2.53561237	2.53561237	2.53561237	5.30458582
1602868440000	2.5357	2.5357	2.5357	2.5357	5.27035603
1602868500000	2.5356	2.5342	2.5356	2.5342	148.47139428000003
1602868620000	2.5342	2.536	2.536	2.5342	5.51495726
1602868680000	2.5349	2.5349	2.5349	2.5349	5.27300343
1602868740000	2.53477074	2.5368	2.5368	2.53477074	237.88654662
1602868800000	2.5366	2.5352	2.5366	2.5352	16.8288158
1602868860000	2.536	2.536	2.536	2.536	10.74058151
1602868980000	2.5359	2.5347	2.5367	2.5347	17.14264549
1602869040000	2.5364	2.5359	2.5364	2.5359	10.23007766
1602869100000	2.5357	2.5367	2.5367	2.5357	51.07182962
1602869160000	2.5357	2.5355	2.536	2.5355	16.5105142
1602869220000	2.5359	2.5363	2.5368	2.5347	26.536590490000002
1602869280000	2.5367	2.5354	2.5367	2.5354	10.80684171
1602869340000	2.5363	2.5377	2.5377	2.5363	11.24786773
1602869460000	2.5359	2.5359	2.5359	2.5359	5.94254163
1602869520000	2.5361	2.5355	2.5361	2.5355	11.21863252
1602869640000	2.5359	2.5354	2.5359	2.5354	10.670610100000001
1602869700000	2.5364	2.5364	2.5364	2.5364	5.71325819
1602869760000	2.5362	2.536	2.5362	2.536	9.90167089
1602869820000	2.535	2.535	2.535	2.535	5.58484203
1602869880000	2.5348	2.5348	2.5348	2.5348	4.96199473
1602869940000	2.5339	2.5347	2.5347	2.5339	10.46743526
1602870000000	2.5342	2.5327	2.5342	2.5327	10.76344271
1602870120000	2.5339	2.5324	2.5339	2.5324	10.55579642
1602870180000	2.5315	2.5315	2.5315	2.5315	5.11093176
1602870300000	2.5333	2.5315	2.5333	2.5315	10.92945647
1602870360000	2.532	2.532	2.532	2.532	5.57255106
1602870420000	2.5298	2.52994849	2.52994849	2.5286	15.92555078
1602870540000	2.531	2.5309	2.531	2.5309	5.82392785
1602870600000	2.5316	2.5316	2.5316	2.5316	5.43547487
1602870660000	2.5317	2.5341	2.5341	2.5317	10.63872338
1602870720000	2.5329	2.5318	2.5329	2.5318	10.84062286
1602870840000	2.5328	2.5327	2.5331	2.5327	30.946963580000002
1602870960000	2.5319	2.5312	2.5319	2.5305	50.5014037
1602871020000	2.5314	2.5314	2.5314	2.5314	5.34621135
1602871080000	2.5316	2.5337	2.5337	2.5316	10.76113372
1602871140000	2.5321	2.5331	2.5331	2.5321	1310.54526004
1602871200000	2.5347	2.5376	2.5376	2.533	1958.1436314799998
1602871260000	2.5382	2.5383	2.5383	2.5364	1879.11005005
1602871320000	2.5401	2.5401	2.5401	2.5401	100.0
1602871380000	2.5423	2.545	2.5461	2.5423	773.6934607000001
1602871440000	2.5465	2.5495	2.5495	2.5452	753.31731685
