MTS	OPEN	CLOSE	HIGH	LOW	VOLUME
1484600820000	1.1765	1.1762	1.1765	1.1762	1.08945555
1484600940000	1.1752	1.1752	1.1752	1.1752	1200.0
1484601000000	1.1745	1.1745	1.1745	1.1745	500.0
1484601600000	1.17	1.17	1.17	1.17	3.23676
1484603160000	1.1695	1.1695	1.1695	1.1695	437.522558
1484603460000	1.1705	1.1772	1.1772	1.1705	900.0
1484603820000	1.1776	1.1776	1.1776	1.1776	1.77798478
1484603880000	1.1784	1.18	1.18	1.1784	200.0
1484604120000	1.1774	1.1774	1.1774	1.1774	9.998
1484604180000	1.18	1.18	1.18	1.18	1.0
1484604300000	1.1774	1.1774	1.1774	1.1774	156.63260982000003
1484608080000	1.1825	1.1825	1.1825	1.1825	1.72823348
1484612220000	1.1725	1.1725	1.1725	1.1725	4.02151372
1484616600000	1.1899	1.1901	1.1901	1.1899	256.06067501
1484618400000	1.194	1.194	1.194	1.194	2.0
1484619960000	1.1915	1.1915	1.1915	1.1915	60.11744966
1484620020000	1.1915	1.1915	1.1915	1.1915	1176.9885
1484620080000	1.1915	1.1915	1.1915	1.1915	2296.6174999999994
1484620380000	1.1915	1.1915	1.1915	1.1915	350.0
1484620440000	1.1915	1.1915	1.1915	1.1915	349.615
1484622240000	1.1874	1.1874	1.1874	1.1874	134.25899589
1484622360000	1.194	1.194	1.194	1.194	337.28376041
1484622480000	1.198	1.198	1.198	1.198	1.0
1484622540000	1.1969	1.1969	1.1969	1.1969	10.971535
1484622660000	1.1979	1.1973	1.1979	1.1973	79.55442952000001
1484623080000	1.1979	1.1979	1.1979	1.1979	2.0
1484623320000	1.1979	1.1983	1.1983	1.1979	133.55842468
1484623620000	1.1989	1.1991	1.1991	1.1989	121.0366411
1484623740000	1.2	1.2	1.2	1.2	1.0
1484623800000	1.197	1.197	1.197	1.197	1.5
1484624460000	1.1989	1.1989	1.1989	1.1989	3.16
1484625420000	1.1952	1.1952	1.1952	1.1952	6.13
1484625540000	1.1941	1.1936	1.1941	1.1936	787.514936
1484626020000	1.2049	1.2049	1.205	1.2049	6.79558049
1484626140000	1.2049	1.212	1.212	1.2049	80.0
1484626320000	1.2038	1.2038	1.2038	1.2038	28.39
1484626380000	1.197	1.197	1.197	1.197	12.12
1484626440000	1.2014	1.2014	1.2014	1.2014	15.600000000000001
1484626560000	1.1985	1.1985	1.1985	1.1985	48.21
1484627580000	1.2021	1.2021	1.2021	1.2021	1.92018355
1484630400000	1.2069	1.2069	1.2069	1.2069	8.94128821
1484630460000	1.2078	1.2078	1.2078	1.2078	5.0
1484630940000	1.2013	1.2013	1.2013	1.2013	100.0
1484633940000	1.2021	1.2021	1.2021	1.2021	5.2
1484634000000	1.2031	1.2023	1.2031	1.2023	15.98990845
1484634300000	1.2023	1.2023	1.2023	1.2023	2.007115
1484634360000	1.2023	1.2023	1.2023	1.2023	6.059624
1484634420000	1.2023	1.2023	1.2023	1.2023	1.155321
1484634660000	1.2023	1.202	1.2023	1.202	2029.6870549999999
1484634720000	1.202	1.202	1.202	1.202	163.098
1484635500000	1.2	1.2	1.2	1.2	28.55
1484636700000	1.201	1.2	1.201	1.2	22.1101208
1484636760000	1.2	1.2	1.2	1.2	10.946766
1484637780000	1.2016	1.2016	1.2016	1.2016	41.7005
1484637900000	1.2045	1.2045	1.2045	1.2045	10.0
1484638020000	1.2016	1.2016	1.2016	1.2016	6.599904
1484638500000	1.2	1.2	1.2	1.2	123.56394938000001
1484638560000	1.2	1.2	1.2001	1.2	13.205932
1484638680000	1.2	1.2	1.2	1.2	606.85672962
1484638740000	1.2005	1.202	1.202	1.2005	1000.0
1484638980000	1.202	1.202	1.202	1.202	1000.0
1484639100000	1.2019	1.2019	1.2019	1.2019	94.247815
1484639160000	1.201	1.201	1.201	1.201	500.0
1484639280000	1.2077	1.2077	1.2077	1.2077	21.0023
1484639340000	1.207	1.207	1.207	1.207	500.0
1484639400000	1.2089	1.209	1.209	1.2089	300.0
1484639520000	1.2061	1.2061	1.2061	1.2061	0.1
1484639760000	1.209	1.209	1.209	1.209	28.08
1484639820000	1.2063	1.1985	1.2063	1.1985	19.8
1484639880000	1.2039	1.2061	1.2061	1.2039	239.17517700000002
1484639940000	1.1995	1.1995	1.2039	1.1995	684.03506437
1484640000000	1.1967	1.1957	1.1967	1.1957	220.19820016
1484640600000	1.2084	1.2084	1.2084	1.2084	101.39065802
1484640660000	1.1989	1.1989	1.1989	1.1989	4.28851708
1484640840000	1.2082	1.2082	1.2082	1.2082	4.1648
1484640900000	1.2098	1.21	1.2101	1.2098	19.423442819999998
1484641260000	1.2112	1.2112	1.2112	1.2112	863.2273
1484641380000	1.207	1.207	1.207	1.2065	898.5201184699998
1484641440000	1.2069	1.2022	1.2069	1.2022	150.19851432000002
1484641500000	1.2037	1.2037	1.2037	1.2037	39.634291
1484641620000	1.2022	1.2025	1.2025	1.2022	32.57174002
1484641680000	1.2029	1.2078	1.2078	1.2006	179.42520825999998
1484642160000	1.2036	1.2029	1.2036	1.2029	56.06436189
1484642220000	1.2066	1.2052	1.2066	1.2052	89.35556616
1484642820000	1.2126	1.2156	1.2156	1.2126	3501.41160805
1484642880000	1.21	1.21	1.21	1.21	10.13256198
1484643240000	1.21	1.21	1.21	1.21	433.8915144200001
1484643300000	1.21	1.21	1.21	1.21	2728.7045188
1484643360000	1.21	1.2109	1.2109	1.21	2691.3494602299993
1484643420000	1.2107	1.21	1.2107	1.21	164.85450655
1484643540000	1.1994	1.1994	1.1994	1.1994	125.86983111999999
1484644020000	1.1935	1.1926	1.1935	1.1926	160.83243099999999
