MTS	OPEN	CLOSE	HIGH	LOW	VOLUME
1552400040000	136.41	136.41	136.41	136.41	0.879
1552400220000	136.40901219	136.32	136.40901219	136.32	4.13210997
1552400280000	136.31	136.31	136.31	136.31	1.0
1552400340000	136.30749221	136.22	136.30749221	136.22	607.7757336
1552400400000	136.23	136.21	136.23	136.2	273.60182082
1552400460000	136.2	136.17	136.21	136.17	8.00258511
1552400520000	136.17	136.23	136.23	136.17	40.32416191
1552400580000	136.24	136.2	136.25	136.19	19.80886474
1552400640000	136.19	136.19	136.19	136.19	1.881
1552400700000	136.18	136.18	136.18	136.18	0.30100000000000005
1552400760000	136.16	136.14	136.17	136.14	215.4562259
1552400820000	136.14	136.14	136.14	136.14	12.08627477
1552400880000	136.14	136.14997002	136.14997002	136.14	102.53151716
1552400940000	136.14	136.14997002	136.14997002	136.14	6.234
1552401000000	136.14997002	136.14	136.14997002	136.14	3.0667966599999996
1552401120000	136.14	136.14	136.15	136.14	7.22461975
1552401240000	136.14	136.14	136.14	136.14	74.62874597
1552401300000	136.14712343	136.14712343	136.14712343	136.14712343	2.0
1552401360000	136.14712343	136.22	136.27	136.14712343	266.19391919
1552401420000	136.21	136.21	136.21	136.21	0.37659966
1552401540000	136.19	136.19	136.19	136.19	7.2731175
1552401600000	136.19	136.26	136.26	136.19	29.28202067
1552401660000	136.3	136.29	136.3	136.29	0.7010000000000001
1552401720000	136.3	136.29	136.3	136.29	0.4
1552401780000	136.25	136.29	136.29	136.25	3.0
1552401840000	136.27	136.26	136.27	136.26	11.80536075
1552401900000	136.26	136.2	136.27	136.2	218.64874827
1552401960000	136.19236245	136.2	136.2	136.19	4.9117754
1552402020000	136.2	136.2	136.2	136.2	0.301
1552402080000	136.19236245	136.2	136.2	136.19236245	0.54931379
1552402140000	136.19	136.19	136.19	136.19	3.45707105
1552402260000	136.2	136.2	136.2	136.2	200.0
1552402320000	136.2	136.19	136.2	136.19	22.62214303
1552402380000	136.2	136.26	136.39	136.2	263.54299999
1552402440000	136.26	136.4	136.4	136.26	124.07002074
1552402500000	136.3	136.3	136.3	136.3	2.0
1552402560000	136.32	136.34	136.35	136.32	11.29918496
1552402620000	136.35	136.35	136.35	136.34	28.685
1552402680000	136.36	136.36	136.39	136.35	3.15251853
1552402740000	136.36	136.36	136.36	136.36	25.619989999999998
1552402800000	136.35	136.35	136.35	136.35	8.099793309999999
1552402860000	136.35082839	136.36	136.36	136.35082839	300.0
1552402920000	136.36	136.35	136.36	136.35	29.55373655
1552402980000	136.36	136.37	136.37	136.35	81.09809968
1552403040000	136.35379901	136.37	136.37	136.35379901	57.64483629
1552403100000	136.38	136.38	136.38	136.37	41.52338633
1552403160000	136.38	136.36507164	136.48	136.36507164	237.94720061
1552403220000	136.37	136.37	136.4	136.37	3.053
1552403280000	136.38	136.39	136.39	136.38	15.879000000000001
1552403340000	136.35	136.32	136.35	136.32	32.635772779999996
1552403400000	136.32	136.33	136.33125374	136.32	10.8532075
1552403520000	136.31	136.28	136.31	136.28	18.338
1552403580000	136.28	136.28	136.28	136.28	0.301
1552403640000	136.26	136.26	136.26	136.26	0.99765
1552403760000	136.24	136.24	136.24	136.24	0.21092892
1552403820000	136.24	136.24	136.24	136.24	0.40290366
1552403940000	136.24067287	136.21	136.24067287	136.21	10.72341317
1552404000000	136.23	136.22	136.23	136.22	0.95487445
1552404060000	136.23	136.28	136.31	136.23	230.65711638
1552404120000	136.27	136.30815431	136.31	136.27	11.29156212
1552404180000	136.3	136.3	136.3	136.3	1.4581479499999999
1552404240000	136.31	136.31	136.31	136.31	0.301
1552404300000	136.3	136.29	136.30778587	136.29	9.408514
1552404360000	136.3	136.29650305	136.3	136.29	6.7893355699999995
1552404420000	136.29	136.26	136.29	136.26	0.88766759
1552404480000	136.26	136.25	136.26	136.25	1.91266974
1552404540000	136.26265458	136.26	136.27	136.26	11.77484393
1552404600000	136.27	136.26	136.27	136.26	12.94352467
1552404720000	136.27	136.3	136.33617696	136.27	41.895646140000004
1552404780000	136.32	136.3	136.32	136.3	17.90352421
1552404840000	136.31	136.31	136.31	136.3	10.10979013
1552404900000	136.31	136.3	136.31	136.3	5.7145419
1552404960000	136.31	136.33617657	136.42	136.31	281.97715541
1552405020000	136.3	136.35	136.39	136.3	89.44610466
1552405080000	136.31	136.31	136.31	136.31	22.88
1552405140000	136.31	136.31	136.31	136.31	0.301
1552405200000	136.3	136.32	136.32	136.3	6.35054891
1552405260000	136.31	136.3	136.32	136.3	6.882
1552405320000	136.29	136.4	136.4	136.29	333.26852611
1552405380000	136.4	136.4	136.40905727	136.4	11.131473889999999
1552405440000	136.37	136.35	136.37	136.35	10.301
1552405500000	136.35	136.35	136.35	136.35	7.2
1552405560000	136.35	136.27	136.35	136.27	4.0
1552405620000	136.26	136.24	136.26227159	136.24	53.72331241
1552405680000	136.21	136.1	136.21	136.1	604.5463988
1552405740000	136.11	136.03	136.11	136.03	1109.53551866
1552405800000	136.03	135.9	136.03	135.9	395.78307928
1552405860000	135.91	135.94	135.99451752	135.91	211.58901719
1552405920000	135.93	135.92	135.93	135.92	36.630186
1552405980000	135.92	135.92	135.92	135.92	80.0
1552406040000	135.9273697	135.91	135.93	135.91	50.200000360000004
1552406100000	135.91	135.9	135.92	135.9	30.89243873
1552406160000	135.9	135.89	135.91	135.89	180.42934778
1552406220000	135.9	135.88	135.9	135.87	271.88949056
1552406280000	135.87	135.87094489	135.88	135.87	232.97192475
1552406340000	135.87094489	135.87	135.87094489	135.87	233.97193762
1552406400000	135.88	135.87	135.88	135.87	29.1884639
1552406460000	135.87	135.87	135.87	135.87	29.292986340000002
1552406520000	135.87	135.48	135.87	135.3	3852.08882301
1552406580000	135.54	135.42	135.65	135.39	63.98996812
1552406640000	135.43	135.39	135.43	135.37	36.24656553
1552406700000	135.4	135.41	135.42	135.39	90.32589387
1552406760000	135.42	135.4	135.42	135.4	194.18174447
1552406820000	135.4	135.4	135.4	135.4	24.43940376
1552406880000	135.39	135.4	135.4	135.39	5.75009903
1552406940000	135.4	135.39	135.4	135.37	167.90368003
1552407000000	135.39	135.39	135.39	135.39	18.3651779
1552407060000	135.4	135.39	135.4	135.39	1.3300290499999998
1552407120000	135.4	135.48	135.48	135.39	352.15548167
1552407180000	135.58	135.79972291	135.79972291	135.58	205.55160939
1552407240000	135.7	135.9	135.9	135.68	226.72647061
1552407300000	135.89	135.84	135.93	135.76	180.3891727
1552407360000	135.84	135.84	135.85	135.81	40.6573
1552407420000	135.84	135.83	135.84	135.83	11.58294811
1552407480000	135.83	135.6877134	135.83	135.67	319.0994
1552407540000	135.73	135.72	135.73	135.68	7.121556780000001
1552407600000	135.84	135.84	135.84	135.81	36.56917709
1552407660000	135.84	135.88	136.07	135.84	138.21448486
1552407720000	135.88	135.93	136.01	135.88	113.46134767
1552407780000	135.91	135.91	135.92	135.9	29.541238449999998
1552407840000	135.83	135.82	135.83	135.82	19.677931400000002
1552407900000	135.82691602	135.81	135.82691602	135.81	20.42713121
1552407960000	135.81	135.8	135.82	135.75	12.37090746
1552408020000	135.81	135.82	135.82	135.81	21.314
1552408080000	135.81	135.81	135.81	135.77	2.7918946
1552408140000	135.79	135.79	135.79	135.79	0.8063403
1552408200000	135.79	135.74	135.79	135.74	14.822000000000001
1552408260000	135.6903687	135.7	135.7	135.6903687	1.8995541999999999
1552408320000	135.7	135.75	135.83	135.7	18.11444089
1552408380000	135.76	135.72	135.77	135.72	3.20495165
1552408440000	135.72	135.7	135.72	135.7	22.50470689
1552408500000	135.7	135.68	135.7	135.67	26.20315
1552408560000	135.68	135.75	135.88	135.68	138.20987998
1552408620000	135.74379644	135.74	135.74379644	135.72	78.9
1552408680000	135.74	135.74	135.74	135.74	5.5998
1552408740000	135.74	135.86796955	135.88	135.74	62.90540412
1552408800000	135.86796955	135.86796955	135.86796955	135.86796955	1.92150045
1552408860000	135.85	135.86	135.86	135.85	0.58860119
1552408920000	135.86	135.83	135.86	135.83	0.8332141
1552408980000	135.84	135.86	135.86367319	135.84	20.49376846
1552409040000	135.8	135.81	135.81	135.8	3.83712834
1552409100000	135.81	135.8	135.81	135.8	2.00930235
1552409220000	135.81	135.85	135.85	135.81	20.925
1552409280000	135.87	135.87	135.87	135.87	0.302
1552409400000	135.86	135.91	135.95	135.86	48.03735175
1552409460000	135.94950789	135.95	135.96530839	135.94950789	15.4
1552409520000	135.96	135.9	136.06	135.9	356.28593279
1552409580000	135.91	135.9178347	135.9178347	135.9	23.0
1552409640000	135.9178347	135.95171253	135.98	135.9178347	25.4
1552409700000	135.97	135.97	135.97429774	135.96	49.4
1552409760000	135.97429774	136.0	136.01	135.97429774	19.3873627
1552409820000	136.00817557	136.01	136.01	136.00817557	24.86306241
1552409880000	136.01946818	136.01946818	136.01946818	136.01	8.5299513
1552409940000	136.01946818	136.01	136.01946818	136.01	15.59079919
1552410000000	136.01946818	136.01	136.01946818	136.01	36.58462442
1552410060000	136.01	136.01	136.01946818	136.01	2.92312371
1552410120000	136.01	136.01	136.01	136.01	1.52180284
1552410180000	136.01	136.01	136.01	136.01	26.09074636
1552410240000	136.01	136.01	136.01	136.01	8.85115152
1552410300000	136.01070592	136.01	136.01070592	136.01	2.98347564
1552410360000	136.01	136.01	136.01	136.01	7.97989269
1552410420000	136.01070592	136.01070592	136.02	136.01	201.62161312
1552410480000	136.01	136.01	136.01	136.01	26.09
1552410540000	136.01070592	136.05	136.05	136.01070592	62.17620719
1552410600000	136.05	136.05	136.05588094	136.05	40.86296346
1552410660000	136.05	136.05	136.05588094	136.05	25.5902089
1552410720000	136.05	136.05	136.0568805	136.05	7.14322884
1552410780000	136.05	136.01	136.05	136.01	21.0
1552410840000	136.03	136.02	136.03	136.02	5.5569866900000005
1552410900000	136.03	136.03429057	136.04	136.03	15.564220370000001
1552410960000	136.03429057	136.03429057	136.03429057	136.03429057	3.1
1552411020000	136.03	136.03	136.03429057	136.02	37.428072
1552411080000	136.02	136.03	136.03	136.02	57.18
1552411140000	136.02	136.02	136.02	136.02	1.09934106
1552411200000	136.02	136.02	136.02	136.02	1.11931392
1552411320000	136.02	136.02	136.02	136.02	15.36066312
1552411380000	136.03	136.13552586	136.13552586	136.03	190.37399999
1552411440000	136.04	136.02	136.04	136.02	1.82948624
1552411500000	136.02	136.02	136.02	136.02	6.73051574
1552411620000	136.02	136.02	136.03	136.02	24.16446101
