MTS	OPEN	CLOSE	HIGH	LOW	VOLUME
1380236040000	2.34	2.34	2.34	2.34	18.22091029
1380283260000	2.27	2.27	2.27	2.27	3.3923593
1380287400000	2.27	2.27	2.27	2.27	9.75193066
1380294180000	2.27	2.27	2.27	2.27	7.53803456
1380295620000	2.26	2.25	2.26	2.25	1328.5365671
1380300600000	2.21	2.21	2.21	2.21	1.21016113
1380302220000	2.29	2.29	2.29	2.29	5.10888605
1380305700000	2.275	2.275	2.275	2.275	1.0
1380306540000	2.275	2.275	2.275	2.275	20.0
1380307320000	2.275	2.275	2.275	2.275	49.0
1380307380000	2.3	2.3	2.3	2.3	4.0
1380307440000	2.3	2.3	2.3	2.3	0.45
1380308340000	2.3	2.3	2.3	2.3	1.0
1380308580000	2.3	2.3	2.3	2.3	4.0
1380312540000	2.3	2.3	2.3	2.3	1.0
1380328320000	2.29	2.29	2.29	2.29	2.61109717
1380331440000	2.21	2.2	2.21	2.2	201.0
1380331500000	2.2	2.2	2.2	2.2	200.0
1380335100000	2.2	2.2	2.2	2.2	600.0
1380337740000	2.1	2.1	2.1	2.1	36.01275413
1380338340000	2.1	2.1	2.1	2.1	100.0
1380338520000	2.1	2.1	2.1	2.1	277.0
1380338580000	2.1	2.1	2.1	2.1	51.23298155
1380338640000	2.1	2.1	2.1	2.1	1000.0
1380338820000	2.1	2.1	2.1	2.1	150.0
1380338940000	2.1	2.1	2.1	2.1	385.75426432
1380345840000	2.1	2.1	2.1	2.1	14.24573568
1380358740000	2.11	2.11	2.11	2.11	1.08689533
1380359580000	2.25	2.25	2.25	2.25	20.0
1380359880000	2.11	2.11	2.11	2.11	20.0
1380365340000	2.06	2.06	2.06	2.06	45.67337201
1380370260000	2.1001	2.1	2.1001	2.1	596.0
1380375780000	2.1	2.1	2.1	2.1	1.08047092
1380382560000	2.06	2.02	2.06	2.02	554.32662799
1380382680000	2.0	1.97	2.0	1.97	2000.0
1380382740000	1.95	1.95	1.95	1.95	5.34901821
1380390540000	2.16	2.16	2.16	2.16	40.0
1380393720000	2.16	2.16	2.16	2.16	160.0
1380393780000	2.17	2.0	2.17	2.0	179.01442289
1380395460000	2.0	2.0	2.0	2.0	1.0
1380395520000	2.17	2.17	2.17	2.17	1.0
1380401340000	2.0001	2.0	2.0001	2.0	337.493
1380405540000	2.1	2.1	2.1	2.1	1.09575379
1380406020000	2.1	2.1	2.1	2.1	98.90424621
1380409260000	2.0501	2.0501	2.0501	2.0501	100.0
1380409320000	2.0501	2.0501	2.0501	2.0501	50.0
1380409680000	2.0501	2.0501	2.0501	2.0501	50.0
1380409980000	2.05	2.05	2.05	2.05	200.0
1380410280000	2.05	2.0001	2.05	2.0001	101.03250974
1380410760000	2.0001	2.0001	2.0001	2.0001	1.96637223
1380412320000	2.013	1.95	2.013	1.95	886.38632653
1380414900000	2.05	2.05	2.05	2.05	200.0
1380417480000	2.0501	2.0	2.0501	2.0	803.21923906
1380428040000	2.05	2.02	2.05	2.02	467.04497088
1380431940000	2.1	2.16	2.16	2.1	147.74
1380456600000	2.1	2.1	2.1	2.1	1.00141582
1380462540000	2.16	2.16	2.16	2.16	501.05057388
1380482400000	2.1	2.1	2.1	2.1	1.10103823
1380510660000	2.11	2.11	2.11	2.11	1.00732598
1380511140000	2.16	2.16	2.16	2.16	200.0
1380517260000	2.11	2.11	2.11	2.11	1.1572491
1380520140000	2.16	2.16	2.16	2.16	300.0
1380525600000	2.11	2.05	2.11	2.05	305.27042714000004
1380533520000	2.16	2.16	2.16	2.16	40.9544
1380535860000	2.16	2.16	2.16	2.16	4.0
1380546540000	2.16	2.16	2.16	2.16	4.0
1380547020000	2.16	2.165	2.165	2.16	5.0
1380553260000	2.16	2.1	2.165	2.1	2003.34427063
1380553500000	2.2	2.2	2.2	2.2	235.73999999999998
1380553560000	2.2	2.2	2.2	2.2	1767.2677626099999
1380553680000	2.25	2.25	2.25	2.2	821.20450693
1380554880000	2.2	2.1	2.25	2.1	1001.60615886
1380554940000	2.25	2.25	2.25	2.25	122.7916496
1380555000000	2.3	2.3	2.3	2.3	5.0
1380555060000	2.4	2.15	2.4	2.15	501.04622838
1380555900000	2.2	2.2	2.2	2.2	23.54798288
1380555960000	2.2	2.2	2.2	2.2	13.0
1380556020000	2.2	2.2	2.2	2.2	1.1
1380556260000	2.2	2.2	2.2	2.2	1.0
1380556980000	2.35	2.35	2.35	2.35	818.77
1380557400000	2.3	2.3	2.3	2.3	400.0
1380557460000	2.3	2.3	2.3	2.3	61.35201712
1380558000000	2.15	2.15	2.15	2.15	65.5
1380558600000	2.3	2.21	2.49	2.21	4705.73390662
1380559320000	2.25	2.25	2.25	2.25	0.1
1380564120000	2.25	2.25	2.25	2.25	98.0
1380565020000	2.25	2.25	2.25	2.25	1.2
1380565500000	2.34	2.49	2.49	2.34	1367.3
1380568260000	2.31	2.31	2.31	2.31	0.9
1380569460000	2.31	2.31	2.31	2.31	874.60649
1380569520000	2.3	2.3	2.3	2.3	1.93992481
1380569640000	2.3	2.3	2.3	2.3	998.0
1380569820000	2.3	2.27	2.3	2.27	50.0
1380570600000	2.25	2.25	2.25	2.25	413.0
1380570720000	2.25	2.25	2.25	2.25	0.41394183
1380573000000	2.25	2.25	2.25	2.25	4.290824
1380574440000	2.2549	2.2549	2.2549	2.2549	299.3
1380579000000	2.31	2.34	2.34	2.31	841.19523417
1380584280000	2.25	2.25	2.25	2.25	46.15714106
1380590040000	2.2	2.2	2.2	2.2	841.19523417
1380627900000	2.24	2.24	2.24	2.24	33.0
1380628380000	2.295	2.3	2.3	2.295	1530.0
1380632520000	2.21	2.21	2.21	2.21	1.00004418
1380639480000	2.28	2.265	2.28	2.265	889.38603836
1380640260000	2.34	2.34	2.34	2.34	1900.0
1380641100000	2.34	2.34	2.34	2.34	97.53100536
1380651660000	2.33	2.33	2.33	2.33	200.0
1380653100000	2.33	2.33	2.33	2.33	25.0
1380653460000	2.34	2.35	2.35	2.34	1178.9891396599999
1380658680000	2.38	2.38	2.38	2.38	200.0
1380658740000	2.4	2.4	2.4	2.4	1000.0
1380660000000	2.42	2.42	2.42	2.42	1050.0
1380660060000	2.43	2.45	2.45	2.43	1500.0
1380660120000	2.49	2.49	2.49	2.49	89.97126108
1380660840000	2.37	2.36	2.37	2.36	1003.0780434
1380661200000	2.36	2.3301	2.36	2.3301	997.49551634
1380683700000	2.3601	2.3601	2.3601	2.3601	15.47577427
