MTS	OPEN	CLOSE	HIGH	LOW	VOLUME
1608050820000	16.995	16.995	16.995	16.995	0.25858592
1608050880000	16.98	16.98	16.98	16.98	28.25681651
1608051000000	16.999	16.999	16.999	16.999	1.43051367
1608051240000	16.999	16.999	16.999	16.999	0.2
1608051480000	16.998	16.998	16.998	16.998	0.25
1608051540000	17.0	17.003	17.003	17.0	2.14543
1608052140000	16.992	16.992	16.992	16.992	0.24927085
1608052200000	17.002	17.005	17.005	17.002	9.133460750000001
1608052380000	16.991	16.991	16.991	16.99	3.6
1608052440000	16.991	16.991	16.991	16.991	6.1
1608052500000	16.991	16.991	16.991	16.991	10.95
1608052560000	16.991	16.991	16.991	16.991	6.0
1608052620000	17.001	16.991	17.001	16.991	2.46343147
1608052680000	16.991	17.092	17.103	16.991	126.55488758999999
1608052740000	17.094	17.079	17.094	17.079	5.75
1608052800000	17.08	17.103	17.103	17.08	6.78448435
1608052860000	17.117	17.117	17.117	17.117	0.4
1608052920000	17.123	17.144	17.144	17.123	29.754687519999997
1608052980000	17.144	17.145	17.145	17.144	21.87884
1608053100000	17.138	17.138	17.138	17.138	0.2
1608053160000	17.168	17.168	17.168	17.168	0.25
1608053340000	17.171	17.182	17.182	17.163	4.00243227
1608053400000	17.19	17.19	17.19	17.19	0.3
1608053460000	17.182	17.182	17.182	17.182	0.25
1608053580000	17.204	17.207	17.207	17.204	61.761007670000005
1608053880000	17.258	17.274	17.291	17.258	58.86447844
1608053940000	17.291	17.291	17.291	17.291	0.25
1608054000000	17.291	17.3	17.3	17.291	2.02064
1608054060000	17.322	17.334	17.334	17.322	0.5
1608054180000	17.332	17.332	17.332	17.332	14.42418647
1608054240000	17.318	17.312	17.318	17.312	6.363329569999999
1608054300000	17.304	17.275	17.304	17.275	14.64752658
1608054360000	17.3	17.309	17.34	17.3	7.70873383
1608054420000	17.312	17.33	17.33	17.311	3.90303688
1608054480000	17.304	17.28	17.304	17.28	4.74784406
1608054540000	17.306	17.306	17.306	17.306	0.5
1608054660000	17.289	17.235	17.289	17.235	19.04918631
1608054720000	17.233	17.233	17.233	17.233	0.67779631
1608054780000	17.239	17.239	17.239	17.239	14.50200127
1608054840000	17.221	17.217	17.221	17.217	2.03776113
1608054900000	17.218	17.218	17.218	17.218	0.70619369
1608055200000	17.194	17.224	17.224	17.194	9.61907394
1608055260000	17.239	17.239	17.239	17.239	2.11758
1608055320000	17.26	17.26	17.26	17.26	2.11413
1608055380000	17.307	17.307	17.307	17.307	7.5
1608055440000	17.278	17.277	17.278	17.277	14.61250865
1608055500000	17.295	17.295	17.295	17.295	1.40656864
1608055680000	17.315	17.315	17.315	17.315	2.12218405
1608055860000	17.319	17.3	17.319	17.3	26.535006590000002
1608055920000	17.298	17.292	17.298	17.292	7.879437230000001
1608056040000	17.277	17.276	17.277	17.276	13.74387095
1608056100000	17.266	17.266	17.266	17.266	0.2
1608056160000	17.28	17.258	17.28	17.258	14.8613078
1608056520000	17.298	17.297	17.34	17.281	959.2628466799999
1608056580000	17.338	17.338	17.338	17.338	25.0
1608056760000	17.326	17.326	17.326	17.326	0.70176
1608056820000	17.319	17.318	17.319	17.318	2.78524
1608056880000	17.308	17.308	17.308	17.308	3.62585
1608057000000	17.289	17.289	17.289	17.289	1.4067
1608057120000	17.28	17.27	17.28	17.27	16.15291
1608057300000	17.273	17.273	17.273	17.273	0.264661
1608057360000	17.285	17.282	17.285	17.278	10.73939
1608057420000	17.296	17.30506108	17.315	17.296	391.57851962
1608057480000	17.309	17.308	17.328	17.308	32.42239979
1608057540000	17.30791055	17.293	17.30791055	17.292	24.56668064
1608057900000	17.32	17.32	17.32	17.32	59.755919659999996
1608058020000	17.336	17.336	17.336	17.336	1.26733438
1608058200000	17.337	17.337	17.337	17.337	57.68676644
1608058320000	17.329	17.329	17.329	17.329	14.4267578
1608058380000	17.322	17.322	17.322	17.322	0.70299671
1608058440000	17.31	17.31	17.31	17.31	14.44181824
1608058560000	17.301	17.286	17.301	17.286	15.85682036
1608058680000	17.291	17.291	17.291	17.291	14.45917732
1608058740000	17.291	17.28643913	17.291	17.28643913	0.75
1608058920000	17.308	17.308	17.308	17.308	0.91512604
1608059040000	17.311	17.311	17.311	17.311	14.44535305
1608059160000	17.31	17.31	17.31	17.31	14.4461574
1608059220000	17.322	17.363	17.363	17.322	500.0
1608059280000	17.337	17.337	17.337	17.337	14.41924944
1608059340000	17.332	17.327	17.332	17.327	8.1588325
1608059400000	17.325	17.323	17.325	17.323	15.13492857
1608059460000	17.319	17.319	17.319	17.319	5.907
1608059520000	17.319	17.309	17.32	17.29	105.47606992
1608059580000	17.309	17.309	17.309	17.309	3.687
1608059640000	17.309	17.309	17.309	17.309	6.5981477
1608059700000	17.303	17.303	17.303	17.303	0.25
1608059760000	17.301	17.3	17.301	17.3	2.75
1608060300000	17.3	17.3	17.3	17.3	399.75
1608060720000	17.29	17.289	17.29	17.289	1.988
1608060780000	17.278	17.265	17.278	17.265	8.26
1608060960000	17.294	17.268	17.294	17.268	0.7
1608061020000	17.287	17.278	17.287	17.278	1.73909645
1608061140000	17.265	17.265	17.265	17.265	0.25
1608061260000	17.259	17.259	17.259	17.259	0.25
1608061320000	17.255	17.255	17.255	17.255	1.25
1608061800000	17.273	17.273	17.273	17.273	3.0
1608062040000	17.291	17.268	17.291	17.268	58.040122010000005
1608062160000	17.316	17.316	17.316	17.316	0.74475435
1608062280000	17.333	17.333	17.333	17.333	0.25
1608062400000	17.366	17.366	17.366	17.366	3.45
1608062460000	17.366	17.356	17.366	17.356	7.57913535
1608062520000	17.354	17.33	17.354	17.33	7.15336218
1608062580000	17.314	17.313	17.314	17.313	3.0222100000000003
1608063120000	17.307	17.307	17.307	17.307	0.24809142
1608063240000	17.314	17.314	17.314	17.314	0.25
1608063300000	17.321	17.321	17.321	17.32	1.3
1608063360000	17.326	17.342	17.342	17.326	3.13358
1608063480000	17.344	17.349	17.349	17.344	4.03852
1608063540000	17.343	17.339	17.343	17.339	3.52865028
1608063720000	17.319	17.312	17.319	17.312	2.5
1608064260000	17.323	17.323	17.323	17.323	0.2223209
1608064320000	17.319	17.319	17.319	17.319	1.5
1608064920000	17.326	17.326	17.326	17.326	0.254628
1608064980000	17.326	17.273	17.326	17.273	214.246
1608065040000	17.27638484	17.27638484	17.27638484	17.27638484	0.5
1608065460000	17.319	17.269	17.319	17.269	57.09445993
1608065700000	17.317	17.324	17.324	17.317	0.4
1608065820000	17.317	17.311	17.317	17.311	7.79793993
1608066300000	17.301	17.312	17.312	17.301	0.48513437000000004
1608066720000	17.301	17.289	17.301	17.289	12.69043897
1608066960000	17.268	17.25	17.268	17.25	14.07881234
1608067020000	17.235	17.084	17.235	17.084	256.48799628
1608067080000	17.14	17.114	17.142	17.114	39.48220028
1608067140000	17.159	17.159	17.159	17.159	1.0
1608067260000	17.157	17.151	17.187	17.151	11.28561665
1608067320000	17.174	17.168	17.174	17.168	0.45
1608067380000	17.171	17.171	17.171	17.171	0.2
1608067560000	17.178	17.156	17.178	17.156	4.255223819999999
1608067680000	17.136	17.136	17.136	17.136	2.13099
1608067920000	17.18	17.18	17.18	17.18	0.2
1608068400000	17.203	17.203	17.203	17.203	0.25
1608068520000	17.195	17.195	17.195	17.195	0.25
1608068580000	17.216	17.216	17.216	17.216	41.292007
1608068760000	17.225	17.199	17.225	17.199	4.91530544
1608069060000	17.229	17.228	17.229	17.228	0.57023
1608069120000	17.232	17.221	17.232	17.221	2.41156827
1608069660000	17.235	17.235	17.235	17.235	0.2314994
1608069720000	17.236	17.225	17.236	17.225	23.057574849999998
1608069780000	17.225	17.217	17.225	17.217	14.2717185
1608069840000	17.2	17.184	17.2	17.184	4.07161429
1608069960000	17.163	17.169	17.169	17.163	71.5
1608070140000	17.233	17.231	17.233	17.225	36.8855
1608070620000	17.2	17.218	17.218	17.2	0.41900998
1608071160000	17.197	17.197	17.197	17.197	0.21119344
1608071640000	17.184	17.184	17.184	17.184	0.21829894
1608071820000	17.204	17.19	17.204	17.19	17.3505718
1608071880000	17.175	17.158	17.175	17.157	30.08686161
1608071940000	17.152	17.152	17.152	17.152	0.35
1608072000000	17.165	17.167	17.167	17.165	8.0
1608072180000	17.16	17.12	17.16	17.12	64.18912419
1608072240000	17.121	17.122	17.122	17.121	68.1754
1608072300000	17.137	17.137	17.137	17.137	0.224759
1608072540000	17.135	17.135	17.135	17.135	0.4
1608072600000	17.135	17.135	17.135	17.135	7.9412
1608072660000	17.135	17.135	17.135	17.135	14.3458361
1608073020000	17.155	17.134	17.155	17.134	6.0
1608073320000	17.182	17.181	17.182	17.181	16.82841274
1608073380000	17.182	17.173	17.182	17.173	11.81912648
1608073920000	17.205	17.205	17.205	17.205	0.22252264
1608073980000	17.217	17.217	17.217	17.217	0.5
1608074040000	17.21	17.21	17.21	17.21	0.25
1608074160000	17.201	17.197	17.201	17.197	13.23073003
1608074220000	17.197	17.169	17.197	17.169	20.28863431
1608074400000	17.153	17.137	17.153	17.137	11.056105469999999
1608074460000	17.12	17.12	17.12	17.12	0.00038236
1608074520000	17.11	17.11	17.11	17.11	0.71102064
1608074760000	17.189	17.187	17.189	17.187	8.49114
1608074880000	17.199	17.22	17.22	17.199	36.73733079
1608074940000	17.167	17.167	17.167	17.167	2.12536489
1608075000000	17.168	17.156	17.168	17.156	17.93992837
1608075120000	17.157	17.157	17.157	17.157	1.3910916
1608075360000	17.16	17.16	17.16	17.16	0.2
1608075420000	17.16	17.16	17.16	17.16	0.2
1608075480000	17.16	17.16	17.16	17.16	11.285274260000001
1608075540000	17.155	17.146	17.155	17.146	9.88687867
1608076080000	17.157	17.157	17.157	17.157	0.24469661
1608076200000	17.149	17.149	17.149	17.149	0.3
1608076560000	17.137	17.137	17.137	17.137	0.57140373
1608077100000	17.143	17.162	17.162	17.143	0.46065310000000004
1608077280000	17.141	17.118	17.141	17.118	26.247666340000002
1608077460000	17.101	17.028	17.101	17.028	37.9020741
1608077700000	17.04344543	17.043	17.04344543	17.043	8.79116087
1608077760000	17.036	17.035	17.036	17.035	7.4385287600000005
1608077940000	17.04	17.036	17.04	17.036	1.5
1608078300000	17.021	16.991	17.021	16.991	50.0
1608078600000	16.963	16.915	16.963	16.915	513.0
1608078660000	16.961	16.961	16.961	16.961	10.0
1608078720000	16.983	16.98316333	16.98316333	16.983	5.32904691
1608078960000	17.042	17.045	17.045	17.042	8.017
1608079080000	17.067	17.067	17.067	17.067	3.0
1608079140000	17.048	17.029	17.048	17.029	28.21815361
1608079200000	17.003	17.003	17.003	17.003	7.97668867
1608079500000	17.008	17.004	17.008	17.004	8.91627
1608079560000	16.993	16.966	16.993	16.966	15.89964832
1608079620000	16.96	16.919	16.96	16.919	9.643181479999999
1608079800000	17.032	17.032	17.032	17.032	1.0
1608079860000	17.019	17.019	17.019	17.019	0.71489
1608080460000	17.003	17.003	17.003	17.003	0.7158
