MTS	OPEN	CLOSE	HIGH	LOW	VOLUME
1546402140000	0.11785	0.11745	0.11785	0.11745	5000.0
1546402800000	0.11759	0.11759	0.11759	0.11759	125.0
1546402860000	0.11812	0.11812	0.11812	0.11812	163.0
1546405020000	0.11828	0.11828	0.11828	0.11828	608.63924604
1546408380000	0.11812	0.11812	0.11812	0.11812	447.2112817
1546411260000	0.11735	0.11735	0.11735	0.11735	19999.999952669998
1546411320000	0.11735	0.11735	0.11735	0.11735	4.733e-05
1546412160000	0.11736	0.1175	0.1175	0.11736	4391.1161936
1546412760000	0.11818	0.11818	0.11818	0.11818	445.59348151
1546413120000	0.11728	0.11728	0.11728	0.11728	204.0
1546414440000	0.11738	0.11733	0.11738	0.11733	4992.8331771699995
1546414740000	0.11793	0.11793	0.11793	0.11793	500.0
1546415640000	0.11786	0.11786	0.11786	0.11786	550.0
1546415700000	0.11722	0.11722	0.11722	0.11722	958.4612867
1546416180000	0.11837	0.11837	0.11837	0.11837	183.04187438
1546419600000	0.1183	0.11837	0.11837	0.1183	2545.9966112800003
1546422060000	0.1175	0.11721	0.1175	0.11721	11376.733513899999
1546422120000	0.1172	0.1172	0.1172	0.1172	1271.12111955
1546423200000	0.11778	0.11779	0.11779	0.11778	1467.3171355499999
1546425120000	0.11767	0.11767	0.11767	0.11767	1295.86870859
1546425180000	0.11809	0.11809	0.11809	0.11809	846.56387031
1546425660000	0.11836	0.11836	0.11836	0.11836	2148.85626554
1546425840000	0.11828	0.11828	0.11828	0.11828	1000.0
1546426140000	0.11836	0.11836	0.11836	0.11836	102.0
1546426320000	0.11837	0.11841	0.11841	0.11837	5044.5337793300005
1546426440000	0.11826	0.11826	0.11826	0.11826	173.36633734
1546426620000	0.11839	0.11838	0.11839	0.11838	11682.21246585
1546427100000	0.11855	0.11856	0.11856	0.11855	3470.0
1546427880000	0.1188	0.1188	0.1188	0.1188	4647.94257485
1546428180000	0.11912	0.11917	0.11917	0.11912	12346.93612745
1546428240000	0.11971	0.11971	0.11971	0.11971	9840.8018909
1546428840000	0.11969	0.1197	0.1197	0.11969	2009.0
1546429200000	0.11956	0.11956	0.11956	0.11956	293.02725334
1546430520000	0.119	0.119	0.119	0.119	2134.7799999999997
1546431180000	0.11868	0.11868	0.11868	0.11868	266.61429637
1546431240000	0.11885	0.11885	0.11885	0.11885	3166.62480348
1546432260000	0.11912	0.11912	0.11912	0.11912	750.0
1546433340000	0.11864	0.11864	0.11864	0.11864	697.93940359
1546433640000	0.11864	0.11854	0.11864	0.11854	736.0
1546434840000	0.1194	0.1194	0.1194	0.1194	12056.7
1546436220000	0.12017	0.12017	0.12270476	0.12015	71788.56442957
1546436280000	0.12187	0.12178	0.12189	0.12178	45200.0
1546436340000	0.12181	0.12181	0.12181	0.12181	1500.0
1546436820000	0.12116	0.12116	0.12116	0.12116	629.95212941
1546437900000	0.12131	0.12134	0.12134	0.12131	7046.953611479999
1546437960000	0.12134	0.12134	0.12134	0.12134	5944.79433232
1546438440000	0.11945	0.11876	0.11945	0.11876	87128.71109488001
1546438500000	0.12	0.12022	0.12022	0.12	5565.40719
1546438980000	0.12061	0.12063	0.12063	0.12061	15250.10699094
1546439940000	0.11938	0.11953	0.11953	0.11938	1229.20039875
1546440000000	0.1195	0.1195	0.1195	0.1195	3109.2916
1546440480000	0.11953	0.11953	0.11953	0.11953	9.83e-06
1546441500000	0.12101	0.12101	0.12101	0.12101	473.0
1546441740000	0.12024	0.11988	0.12024	0.11988	10000.0
1546442520000	0.1209	0.12166	0.12167	0.1209	72955.14196075
1546442880000	0.12053	0.12031	0.12053	0.12031	10000.0009539
1546444260000	0.12015	0.12015	0.12015	0.12015	1000.0
1546444920000	0.12015	0.12015	0.12015	0.12015	160.0
