MTS	OPEN	CLOSE	HIGH	LOW	VOLUME
1490600640000	19.575	19.573	19.575	19.573	15.030717169999999
1490600700000	19.477	19.46	19.477	19.46	8.5224
1490600820000	19.581	19.46	19.581	19.276	8.29058494
1490600880000	19.549	19.549	19.549	19.549	8.59493678
1490601000000	19.549	19.549	19.549	19.549	1.0
1490601060000	19.532	19.591	19.591	19.528	20.98710752
1490601240000	19.574	19.574	19.574	19.574	15.43096361
1490601480000	19.563	19.563	19.563	19.563	5.0617
1490601600000	19.6	19.6	19.6	19.6	0.51682116
1490602980000	19.611	19.365	19.611	19.365	1.14548427
1490603580000	19.352	19.444	19.444	19.352	3.96368289
1490603820000	19.395	19.386	19.395	19.386	19.98727559
1490603880000	19.367	19.365	19.367	19.365	2.0262994699999997
1490604540000	19.475	19.475	19.475	19.475	1.42788176
1490604720000	19.691	19.962	19.962	19.656	268.3823037000002
1490604780000	19.961	19.961	19.961	19.961	0.563376
1490604840000	19.846	19.846	19.846	19.846	6.864063
1490604900000	19.946	19.728	19.999	19.728	242.05379400000004
1490605020000	19.986	19.986	19.986	19.986	58.754592
1490605080000	19.984	19.988	19.988	19.926	173.674087
1490605140000	19.983	19.999	19.999	19.983	30.553378
1490605200000	19.999	19.999	19.999	19.999	99.564797
1490605320000	19.742	19.744	19.797	19.742	0.59768029
1490605380000	19.76	19.769	19.797	19.76	2.7927003
1490605680000	19.761	19.761	19.761	19.761	6.38129724
1490605740000	19.741	19.736	19.741	19.736	0.41003833999999995
1490606460000	19.702	19.702	19.702	19.702	0.9287399199999999
1490606520000	19.666	19.666	19.666	19.666	1.5946109999999998
1490606940000	19.56	19.56	19.56	19.56	8.57774691
1490608740000	19.545	19.544	19.585	19.544	151.53806794
1490608800000	19.46	19.446	19.513	19.446	1.899934
1490608980000	19.451	19.451	19.451	19.451	6.588377
1490609880000	19.497	19.497	19.497	19.497	1.0865226
1490610480000	19.497	19.497	19.497	19.497	26.76
1490610540000	19.55	19.55	19.55	19.55	80.994639
1490610600000	19.6	19.497	19.606	19.497	320.750833
1490610660000	19.497	19.497	19.497	19.497	51.489167
1490610720000	19.455	19.444	19.613	19.444	29.376673569999998
1490611500000	19.355	19.326	19.355	19.318	470.89407759999995
1490611920000	19.479	19.479	19.479	19.479	38.36055718
1490614560000	19.434	19.434	19.434	19.434	0.51559123
1490615760000	19.325	19.325	19.325	19.325	0.147273
1490616660000	19.391	19.391	19.391	19.391	4.23742379
1490618280000	19.53	19.53	19.53	19.53	50.0
1490618400000	19.531	19.423	19.531	19.423	1.53577623
1490618760000	19.495	19.495	19.495	19.495	0.1
1490618820000	19.316	19.315	19.316	19.315	2.593785
1490618940000	19.314	19.23	19.314	19.23	21.68279818
1490619000000	19.169	19.169	19.169	19.169	50.0
1490620380000	19.208	19.208	19.208	19.208	25.0
1490620500000	19.502	19.502	19.502	19.502	0.2
1490620800000	19.437	19.437	19.437	19.437	20.221607
1490620980000	19.492	19.492	19.492	19.492	50.0
1490621340000	19.409	19.284	19.409	19.284	6.79005134
1490621400000	19.283	19.283	19.283	19.283	16.558886
1490621460000	19.18	19.175	19.18	19.175	70.5459378
1490621520000	19.147	19.14	19.147	19.14	16.0
1490622600000	19.3	19.3	19.3	19.3	16.12829792
1490622720000	19.25	19.25	19.25	19.25	23.165046
1490622780000	19.452	19.452	19.452	19.452	3.91827874
1490622960000	19.31	19.31	19.31	19.31	14.237281
1490623020000	19.31	19.31	19.31	19.31	85.762719
1490623200000	19.135	19.135	19.135	19.135	2.0
1490623260000	19.1	19.1	19.1	19.1	1.529008
1490623320000	19.1	19.1	19.1	19.1	7.719899
1490623380000	19.1	19.1	19.1	19.1	0.2592
1490623680000	19.07	19.005	19.07	19.005	446.364974
1490623740000	19.005	18.963	19.005	18.963	325.20345692999996
1490623860000	18.911	18.911	18.911	18.911	5.745181
1490623920000	18.971	18.973	18.973	18.971	122.183
1490624160000	19.134	19.134	19.134	19.134	60.0
1490624460000	19.141	19.141	19.141	19.141	5.294198
1490624580000	19.281	19.281	19.281	19.281	38.7344
1490624640000	19.14	19.14	19.14	19.14	18.470521
1490624760000	19.302	19.31	19.31	19.302	137.141
1490624880000	19.409	19.425	19.425	19.409	154.572577
1490624940000	19.222	19.425	19.425	19.222	34.675122349999995
1490625060000	19.425	19.425	19.425	19.425	77.071884
1490625120000	19.425	19.525	19.525	19.425	177.04477199
1490625180000	19.527	19.527	19.527	19.527	1.3415368300000001
1490625900000	19.299	19.299	19.299	19.299	0.51919788
1490626020000	19.254	19.254	19.254	19.254	0.154959
1490626380000	19.328	19.328	19.328	19.328	0.169962
1490626740000	19.324	19.324	19.324	19.324	12.10249324
1490628600000	19.519	19.519	19.519	19.519	0.2
1490629500000	19.202	19.202	19.202	19.202	0.52182064
1490629560000	19.169	19.169	19.169	19.169	0.342161
1490629680000	19.05	19.05	19.05	19.05	10.0
1490629740000	19.051	19.051	19.051	19.051	2.10548434
1490629920000	19.036	19.03	19.05	19.03	20.0
1490630400000	19.179	19.22	19.221	19.179	210.40528589
1490630580000	19.1	19.1	19.1	19.1	8.603817
1490630700000	19.1	19.1	19.1	19.1	0.224311
1490630760000	19.1	19.089	19.1	19.089	1.6967720000000002
1490630820000	19.036	19.02	19.036	19.02	76.05037108
1490630880000	19.02	18.982	19.02	18.982	349.476
1490631060000	18.9	18.903	18.903	18.9	1.67801668
1490631120000	18.901	18.841	18.901	18.841	316.0
1490631180000	19.057	18.871	19.057	18.871	195.05719887
1490631240000	18.968	18.98	18.98	18.965	100.2
1490631540000	18.98	18.98	18.98	18.98	1.6149239999999998
1490631780000	18.9	18.9	18.9	18.9	9.466246
1490631960000	18.9	18.9	18.9	18.86	59.374300999999996
1490632020000	18.86	18.839	18.86	18.839	50.0
1490632080000	18.85	18.85	18.85	18.85	9.22
1490632200000	18.851	18.851	18.851	18.851	4.494824
1490632440000	18.839	18.839	18.839	18.839	31.570104
1490632500000	18.84	18.84	18.84	18.84	19.566424
1490632620000	18.84	18.839	18.84	18.839	63.43639284
1490632860000	18.825	18.778	18.825	18.778	43.385456
1490633400000	18.778	18.7	18.778	18.7	227.37011300000003
1490633520000	18.7	18.7	18.7	18.7	0.18167275
1490633700000	18.59	18.59	18.59	18.59	0.551
1490633820000	18.572	18.568	18.572	18.51	132.8749134
1490633880000	18.51	18.51	18.51	18.51	200.0
1490633940000	18.57	18.515	18.57	18.515	6.210084
1490634000000	18.57	18.57	18.57	18.57	69.852
1490634180000	18.57	18.57	18.57	18.57	16.29
1490634240000	18.57	18.738	18.738	18.57	2.057916
1490634300000	18.842	18.842	18.842	18.842	7.90733083
1490635980000	18.6	18.511	18.6	18.511	77.903
1490636580000	18.53	18.525	18.53	18.525	7.05133101
1490636760000	18.529	18.529	18.529	18.529	260.0
1490637000000	18.888	18.628	18.89	18.628	77.9925
1490637540000	18.712	18.712	18.712	18.712	5.0
1490638620000	18.692	18.692	18.692	18.692	0.5360582
1490638800000	18.763	18.763	18.763	18.763	16.465092
1490639580000	18.827	18.827	18.827	18.827	50.0
1490639700000	18.615	18.615	18.615	18.615	0.53827558
1490640060000	18.672	18.673	18.673	18.672	28.034497
1490640360000	18.515	18.515	18.515	18.515	60.0
1490640900000	18.515	18.51	18.515	18.51	107.656277
1490640960000	18.51	18.51	18.51	18.51	119.99520899000001
1490641020000	18.51	18.51	18.51	18.51	112.359475
1490641080000	18.51	18.499	18.51	18.499	235.53657449999997
1490641200000	18.487	18.487	18.487	18.487	11.39512462
1490641500000	18.43	18.38	18.43	18.38	122.07266900000002
1490641860000	18.306	18.306	18.306	18.306	5.0
1490641920000	18.306	18.306	18.306	18.306	8.0
1490642040000	18.306	18.258	18.306	18.258	27.593700600000005
1490642100000	18.258	18.258	18.258	18.258	8.981028
1490642160000	18.258	18.258	18.258	18.258	8.245805
1490642220000	18.258	18.258	18.258	18.258	61.081423
1490642280000	18.258	18.258	18.258	18.258	30.887228
1490642820000	18.453	18.453	18.453	18.453	4.95706681
1490643000000	18.526	18.526	18.526	18.526	0.42894222
1490643180000	18.693	18.454	18.693	18.454	1.5943041
1490643240000	18.322	18.322	18.322	18.322	10.0
1490643300000	18.322	18.322	18.322	18.322	10.0
1490643540000	18.519	18.52	18.52	18.519	182.992931
1490643600000	18.52	18.52	18.52	18.52	67.845387
1490643900000	18.48	18.48	18.48	18.48	15.0
1490644140000	18.5	18.5	18.5	18.5	0.220926
1490644200000	18.499	18.499	18.499	18.499	4.045508
1490644260000	18.394	18.394	18.394	18.394	16.54474285
1490644320000	18.393	18.269	18.393	18.269	3.0
1490644500000	18.323	18.323	18.323	18.323	29.779074
1490644680000	18.323	18.323	18.323	18.323	0.108559
1490644920000	18.323	18.258	18.323	18.258	53.94788454
1490645160000	18.457	18.475	18.475	18.457	59.467
1490645220000	18.293	18.293	18.293	18.293	0.88514512
1490645640000	18.5	18.5	18.5	18.5	5.0
1490645760000	18.5	18.5	18.5	18.5	5.402928
1490645820000	18.5	18.5	18.5	18.5	12.575072
1490646060000	18.408	18.408	18.408	18.408	13.56
1490646960000	18.495	18.495	18.495	18.495	50.140567
1490647800000	18.679	18.681	18.681	18.679	600.0
1490648820000	18.667	18.667	18.667	18.667	10.0
1490649240000	18.622	18.622	18.622	18.622	10.0
1490649300000	18.546	18.496	18.546	18.496	1.040278
1490649720000	18.369	18.258	18.369	18.258	1021.24756593
1490649960000	18.483	18.48	18.483	18.48	18.27765747
1490650020000	18.478	18.476	18.478	18.476	25.679000000000002
1490650080000	18.58	18.441	18.583	18.429	108.15121019
1490650260000	18.442	18.44	18.448	18.44	19.72040187
1490650320000	18.368	18.368	18.368	18.368	15.50107
1490650380000	18.314	18.314	18.315	18.314	95.50002017
1490650440000	18.375	18.375	18.375	18.375	50.0
1490650620000	18.389	18.381	18.389	18.381	47.424928
1490650740000	18.258	18.2	18.258	18.2	47.20533854
1490650860000	18.193	18.193	18.193	18.193	8.45216996
1490652000000	18.5	18.501	18.501	18.5	11.46100059
1490652240000	18.193	18.193	18.193	18.193	27.5
1490652300000	18.17	18.123	18.17	18.123	12.92237908
1490652540000	18.121	18.231	18.231	18.12	103.682994
1490652600000	18.14	18.14	18.14	18.14	1.0
1490652660000	18.13	18.056	18.13	18.055	134.36340067
1490652720000	18.08	18.08	18.08	18.08	1.0
1490652900000	18.052	18.015	18.184	18.015	305.3921174100001
1490652960000	18.016	18.0	18.153	18.0	415.80988259
1490653020000	18.058	18.054	18.058	18.053	246.16920000000002
1490653080000	18.144	18.0	18.144	18.0	117.03354099999999
1490653140000	18.001	18.001	18.001	18.001	4.083293
1490653200000	18.006	18.0	18.006	18.0	217.10668900000002
1490653440000	18.0	18.0	18.0	18.0	84.513126
1490653500000	18.0	18.0	18.0	18.0	37.036124
