MTS	OPEN	CLOSE	HIGH	LOW	VOLUME
1563800100000	0.32451	0.32451	0.32451	0.32451	2114.05225971
1563800160000	0.32428	0.32426	0.32428	0.32426	20000.0
1563800220000	0.32398	0.32414	0.32414	0.32398	1037.59335843
1563800280000	0.32438	0.32448	0.32448	0.32438	8854.75648588
1563800400000	0.32415	0.32415	0.32415	0.32415	50.0
1563800460000	0.32436	0.32466	0.32476	0.32436	5049.67703294
1563800520000	0.32456	0.3247	0.3247	0.32453	708.66390556
1563800640000	0.3244	0.32447	0.32448	0.3244	6848.8105439500005
1563800700000	0.32411	0.32393	0.32411	0.32393	1635.2436
1563800760000	0.32357	0.32364	0.32364	0.32357	1957.19237674
1563800820000	0.32375	0.32373	0.32387	0.32364	2584.54
1563800880000	0.32371	0.32376	0.32376	0.32371	1682.65241363
1563800940000	0.32378	0.32378	0.32378	0.32378	50.0
1563801000000	0.32349	0.32367	0.32367	0.32349	150.0
1563801060000	0.32324	0.32326	0.3234	0.32324	1540.0
1563801120000	0.3234	0.3234	0.3234	0.3234	1903.01687477
1563801180000	0.32369	0.32369	0.32369	0.32369	50.0
1563801300000	0.32395	0.3239	0.32395	0.3239	200.0
1563801360000	0.3239	0.32391	0.32391	0.3239	1379.46599003
1563801420000	0.32383	0.32383	0.32383	0.32383	50.0
1563801540000	0.32354	0.32354	0.32354	0.32354	146.8119
1563801600000	0.3233	0.3233	0.3233	0.3233	1150.0
1563801660000	0.3233	0.32331	0.32331	0.3233	1939.688
1563801720000	0.3233	0.32331	0.32331	0.32322	5704.44851072
1563801780000	0.32323	0.32323	0.32323	0.32323	11780.09487419
1563801840000	0.32326	0.32299	0.32326	0.32295	14092.39794399
1563801900000	0.32302	0.32287	0.32302	0.32265	1944.30948334
1563801960000	0.32315	0.32311	0.32315	0.32311	994.9157
1563802080000	0.3232	0.3232	0.3232	0.3232	488.28254641
1563802140000	0.3232	0.32323	0.32342	0.32293	50500.1198125
1563802200000	0.32303	0.32303	0.32303	0.32303	2495.0
1563802260000	0.32317	0.32317	0.32317	0.32317	450.0
1563802320000	0.32313	0.32321	0.32321	0.3231	2875.77500402
1563802380000	0.32321	0.3232	0.32321	0.3232	80.5627179
1563802440000	0.3232	0.32319	0.3232	0.32319	100.0
