MTS	OPEN	CLOSE	HIGH	LOW	VOLUME
1544002380000	0.40978	0.40561	0.40978	0.40561	19364.42493046
1544002440000	0.40425	0.40014	0.40425	0.4	10039.52442381
1544002860000	0.399	0.399	0.399	0.399	598.50603457
1544003880000	0.399	0.3989	0.399	0.39889	2269.92967687
1544005020000	0.3989	0.3989	0.3989	0.3989	325.348
1544006820000	0.39536	0.39473	0.39536	0.39473	487.35247947
1544007180000	0.40951	0.40951	0.40951	0.40951	32.0
1544009820000	0.39733	0.39733	0.39733	0.39733	26.0
1544011620000	0.39953	0.39953	0.39953	0.39953	40.0
1544013960000	0.39392	0.39392	0.39392	0.39392	20.0
1544015160000	0.40065	0.40127	0.40127	0.40065	213.0
1544020080000	0.40164	0.40183	0.40183	0.40164	1101.7523180399999
1544021340000	0.40223	0.40222	0.40223	0.40222	11467.11161873
1544023620000	0.39475	0.39475	0.39475	0.39475	38.156
1544023740000	0.39475	0.39475	0.39475	0.39475	50.0
1544025540000	0.40629	0.40829	0.40829	0.40629	355.0
1544028060000	0.39341	0.39341	0.39341	0.39341	24.95
1544034540000	0.39	0.39	0.39	0.39	50.0
1544034960000	0.3871	0.3871	0.3871	0.3871	690.8739137
1544035020000	0.3871	0.3871	0.3871	0.3871	13090.36334543
1544038620000	0.39307	0.39308	0.39308	0.39307	894.39850184
1544042280000	0.38711	0.3871	0.38711	0.3871	4097.45240366
1544042340000	0.387	0.387	0.387	0.387	93.105571
1544042700000	0.39053	0.39053	0.39053	0.39053	797.85175682
1544045280000	0.39044	0.39044	0.39044	0.39044	104.986054
1544045700000	0.39292	0.38001	0.39292	0.38001	10000.0
1544045820000	0.3948	0.3966	0.3966	0.3948	4366.92747785
1544046000000	0.39553	0.39553	0.39553	0.39553	66.0
1544046840000	0.40893	0.40893	0.40893	0.40893	117.65000988
1544050500000	0.39032	0.39032	0.39032	0.39032	100.0
1544050920000	0.393	0.393	0.393	0.393	466.14643512
1544050980000	0.39024	0.39024	0.39024	0.39024	171.97809057
