time	open	close	high	low	volumefrom
1584266400	0.02641	0.02725	0.02736	0.02638	228271.8
1584270000	0.02725	0.02719	0.02725	0.02714	56198.17
1584273600	0.02719	0.02663	0.0279	0.02658	332401.7
1584277200	0.02663	0.02688	0.02796	0.02663	731026.98
1584280800	0.02688	0.02646	0.02688	0.02628	1336372.78
1584284400	0.02646	0.02653	0.02724	0.02644	4253868.15
1584288000	0.02653	0.02645	0.02666	0.02631	287045.26
1584291600	0.02645	0.0266	0.02699	0.02645	933441.67
1584295200	0.0266	0.02661	0.02661	0.02645	169969.71
1584298800	0.02661	0.02649	0.02665	0.02617	1893167.22
1584302400	0.02649	0.02574	0.02649	0.02334	7289556.8
1584306000	0.02574	0.02856	0.0286	0.02571	2490204.71
1584309600	0.02856	0.02707	0.02888	0.02664	2124327.77
1584313200	0.02707	0.02695	0.02722	0.02691	272039.67
1584316800	0.02695	0.02634	0.02695	0.02621	545800.92
1584320400	0.02634	0.02648	0.02651	0.02633	297577.4
1584324000	0.02648	0.02654	0.02687	0.02648	83818.44
1584327600	0.02654	0.02621	0.02655	0.02621	80696.86
1584331200	0.02621	0.02593	0.0263	0.02593	185712.11
1584334800	0.02593	0.02528	0.026	0.02512	483873.76
1584338400	0.02528	0.02428	0.02528	0.02405	2106813.06
1584342000	0.02428	0.02322	0.02428	0.02307	1357390.79
1584345600	0.02322	0.02368	0.02376	0.02291	1550904.75
1584349200	0.02368	0.02304	0.02368	0.02286	1466325.93
1584352800	0.02304	0.0219	0.02304	0.02165	2189236.33
1584356400	0.0219	0.02238	0.02238	0.02184	420549.45
1584360000	0.02238	0.02299	0.02348	0.02226	2069354.06
1584363600	0.02299	0.02353	0.02368	0.02201	1223756.96
1584367200	0.02353	0.02395	0.02439	0.02314	2593187.41
1584370800	0.02395	0.02441	0.02467	0.02384	661678.58
1584374400	0.02441	0.0241	0.02473	0.02381	322809.44
1584378000	0.0241	0.02432	0.02444	0.02403	135353.88
1584381600	0.02432	0.02447	0.02455	0.02419	795884.18
1584385200	0.02447	0.02361	0.02473	0.02358	1294707.86
1584388800	0.02361	0.02384	0.02396	0.02353	715000.76
1584392400	0.02384	0.02399	0.02408	0.02355	567422.95
1584396000	0.02399	0.02375	0.02414	0.02373	212885.42
1584399600	0.02375	0.02419	0.02421	0.02375	440466.04
1584403200	0.02419	0.02458	0.02458	0.02419	136286.42
1584406800	0.02458	0.02534	0.02654	0.02458	3714053.03
1584410400	0.02534	0.02554	0.02555	0.02496	195538.1
1584414000	0.02554	0.0259	0.02598	0.02542	200794.19
1584417600	0.0259	0.02559	0.0259	0.02547	181184.45
1584421200	0.02559	0.026	0.026	0.02559	292194.44
1584424800	0.026	0.02579	0.02602	0.02579	48819.23
1584428400	0.02579	0.02615	0.02647	0.02579	124844.39
1584432000	0.02615	0.02591	0.02663	0.0259	938079.4
1584435600	0.02591	0.02573	0.02599	0.02546	355646.15
1584439200	0.02573	0.02588	0.0261	0.02573	320892.69
1584442800	0.02588	0.02592	0.02608	0.02574	229108.66
1584446400	0.02592	0.02565	0.02623	0.02565	850104.55
1584450000	0.02565	0.02516	0.02612	0.02504	804351.99
1584453600	0.02516	0.02554	0.02557	0.02509	261575.91
