time	open	close	high	low	volumefrom
1501570800	504.12	488.79	488.79	488.79	0.06689
1501574400	488.79	458.73	473.71	425.25	25.04
1501578000	458.73	467.2	469.69	464.43	6.45
1501581600	467.2	459.89	481.76	451.48	18.65
1501585200	459.89	421.98	469.8	406.22	19.98
1501588800	421.98	419.49	463.7	408.65	24.01
1501592400	419.49	413.82	417.33	397.6	27.79
1501596000	413.82	424.52	440.68	410.82	168.55
1501599600	424.52	417.55	420.54	415.11	2.504
1501603200	417.55	412.74	423.47	407.51	25.33
1501606800	412.74	370.82	413.98	305.67	72.54
1501610400	370.82	340.02	407.75	339.75	65.21
1501614000	340.02	329.09	397.87	241.22	11577.22
1501617600	329.09	295.04	330.3	279.34	10458.92
1501621200	295.04	267.59	296.08	252.6	7540.0
1501624800	267.59	334.99	339.07	264.29	7689.37
1501628400	334.99	441.72	479.9	334.86	20121.51
1501632000	441.72	475.93	541.86	433.6	17390.06
1501635600	475.93	526.69	528.87	437.31	11154.82
1501639200	526.69	514.7	545.84	495.69	8233.29
1501642800	514.7	497.3	528.11	472.27	6270.57
1501646400	497.3	455.16	509.47	448.54	4071.93
1501650000	455.16	410.25	455.77	400.59	10961.18
1501653600	410.25	448.29	466.19	393.49	9276.2
1501657200	448.29	464.8	468.34	435.39	7241.61
1501660800	464.8	490.38	493.93	456.78	6539.21
1501664400	490.38	506.96	508.88	482.21	7575.56
1501668000	506.96	736.18	743.84	489.78	19846.65
1501671600	736.18	796.48	851.55	604.14	22494.73
1501675200	796.48	1063.69	1168.49	750.68	23030.04
1501678800	1063.69	785.11	1050.86	745.22	20861.89
1501682400	785.11	858.59	994.87	779.48	16381.7
1501686000	858.59	748.72	860.61	740.3	12227.5
1501689600	748.72	669.52	757.61	619.07	21917.96
1501693200	669.52	653.84	719.01	631.48	9283.5
1501696800	653.84	567.56	661.75	552.5	17094.96
1501700400	567.56	520.95	570.46	467.35	15824.18
1501704000	520.95	621.16	679.65	497.96	17193.25
1501707600	621.16	601.48	618.92	543.5	7469.1
1501711200	473.25	503.92	527.64	469.89	2042.9
1501714800	615.61	670.61	683.67	610.21	7806.52
1501718400	670.61	705.41	725.35	625.39	10784.59
1501722000	705.41	724.83	725.38	681.39	7735.25
1501725600	724.83	711.17	780.51	710.9	16116.79
1501729200	711.17	660.55	714.48	611.0	11902.51
1501732800	660.55	657.4	691.56	644.01	7353.07
1501736400	657.4	646.54	662.67	631.23	5438.3
1501740000	646.54	598.98	648.99	591.06	9340.25
1501743600	598.98	602.33	625.06	595.21	8634.72
1501747200	602.33	568.03	604.22	551.04	10700.53
1501750800	568.03	644.2	646.97	573.11	6821.24
1501754400	644.2	567.57	645.49	559.0	6376.32
1501758000	567.57	577.09	580.4	543.18	8259.37
1501761600	503.16	490.75	504.71	472.97	3887.31
1501765200	542.13	490.42	543.11	486.01	7640.58
1501768800	490.42	490.77	511.47	460.68	11101.02
1501772400	490.77	482.32	497.91	477.03	8332.21
1501776000	482.32	404.61	488.82	401.54	18607.4
1501779600	404.61	438.84	438.84	389.43	12800.91
1501783200	438.84	454.68	461.1	429.82	8768.4
1501786800	426.37	427.68	441.67	425.43	5449.24
1501790400	427.68	411.93	432.34	407.88	5083.9
1501794000	418.91	381.79	421.85	372.83	12731.02
1501797600	381.79	383.84	411.46	381.86	10653.06
1501801200	383.84	405.76	414.75	380.47	7818.88
1501804800	405.76	384.96	409.44	381.59	14614.21
1501808400	395.56	393.07	397.01	389.96	4524.87
1501812000	372.73	368.35	378.43	364.98	9296.39
1501815600	388.81	394.47	400.51	386.35	3721.06
1501819200	379.81	366.5	379.92	360.35	6694.32
1501822800	366.5	347.85	369.47	336.06	16746.72
1501826400	347.85	328.42	350.0	326.18	9100.98
1501830000	328.42	333.98	337.94	319.84	10432.71
1501833600	333.98	330.65	340.08	328.65	6766.66
1501837200	330.65	310.52	331.74	303.64	18443.16
1501840800	310.52	278.8	324.54	269.68	35359.12
1501844400	278.8	278.16	291.73	268.94	30796.45
1501848000	278.16	275.45	284.49	274.45	18469.88
1501851600	275.45	275.17	286.59	275.14	11833.47
1501855200	275.17	252.09	277.57	250.01	31089.3
1501858800	252.09	269.91	275.96	248.13	24979.92
1501862400	269.91	270.39	275.79	256.7	16238.46
1501866000	270.39	281.63	289.62	269.47	17404.68
1501869600	281.63	271.58	287.11	266.89	16099.42
1501873200	271.58	262.58	273.43	259.76	9060.18
1501876800	262.58	266.42	268.02	260.1	7800.68
1501880400	266.42	257.65	271.85	251.9	14703.66
1501884000	281.41	281.27	286.24	270.81	7331.31
1501887600	256.12	217.27	256.91	217.04	33519.91
1501891200	217.27	229.88	234.12	215.17	19193.37
1501894800	229.88	225.91	236.44	224.61	9245.63
