time	open	close	high	low	volumefrom
1541577600	9.8	9.839	9.852	9.819	31028.46
1541581200	9.839	9.818	9.851	9.812	31035.12
1541584800	9.818	9.821	9.828	9.802	30379.84
1541588400	9.821	9.816	9.823	9.803	26238.7
1541592000	9.817	9.816	9.816	9.797	37083.46
1541595600	9.816	9.827	9.86	9.821	38141.43
1541599200	9.834	9.803	9.836	9.797	49147.77
1541602800	9.801	9.8	9.813	9.781	27589.23
1541606400	9.787	9.805	9.825	9.798	34069.91
1541610000	9.805	9.837	9.843	9.811	38690.47
1541613600	9.837	9.82	9.84	9.814	23296.92
1541617200	9.82	9.835	9.842	9.815	15091.24
1541620800	9.835	9.814	9.84	9.807	25116.16
1541624400	9.814	9.817	9.836	9.804	39477.98
1541628000	9.823	9.813	9.826	9.8	30281.45
1541631600	9.813	9.821	9.821	9.795	38045.0
1541635200	9.829	9.816	9.836	9.809	32155.27
1541638800	9.816	9.797	9.816	9.79	36797.09
1541642400	9.803	9.732	9.751	9.732	43197.53
1541646000	9.738	9.701	9.74	9.695	49774.45
1541649600	9.702	9.734	9.741	9.721	40189.25
1541653200	9.734	9.723	9.756	9.717	36812.95
1541656800	9.73	9.721	9.753	9.721	33475.38
1541660400	9.721	9.749	9.762	9.723	36720.35
1541664000	9.749	9.739	9.752	9.726	19833.59
1541667600	9.739	9.738	9.757	9.725	19297.7
1541671200	9.738	9.755	9.768	9.736	23399.41
1541674800	9.755	9.739	9.765	9.739	28746.12
1541678400	9.752	9.762	9.775	9.755	31108.28
1541682000	9.762	9.794	9.807	9.774	37512.19
1541685600	9.794	9.804	9.811	9.785	36567.73
1541689200	9.934	9.941	9.987	9.914	382.31
1541692800	9.792	9.651	9.748	9.631	52744.64
1541696400	9.657	9.675	9.682	9.637	22690.85
1541700000	9.675	9.689	9.695	9.663	16996.61
1541703600	9.689	9.693	9.706	9.667	36668.16
1541707200	9.693	9.646	9.704	9.646	40779.48
1541710800	9.659	9.692	9.699	9.647	21872.26
1541714400	9.687	9.64	9.678	9.633	14792.33
1541718000	9.64	9.637	9.656	9.598	30713.66
1541721600	9.643	9.67	9.67	9.645	16144.21
1541725200	9.664	9.647	9.667	9.641	23769.67
1541728800	9.647	9.604	9.636	9.591	37607.16
1541732400	9.604	9.618	9.643	9.585	33568.24
1541736000	9.618	9.613	9.639	9.6	21705.8
1541739600	9.613	9.607	9.62	9.594	20719.93
1541743200	9.614	9.632	9.632	9.599	27728.81
1541746800	9.632	9.625	9.645	9.606	31858.82
1541750400	9.632	9.634	9.659	9.608	37043.61
1541754000	9.634	9.567	9.574	9.542	38532.6
1541757600	9.567	9.567	9.573	9.561	28479.03
1541761200	9.572	9.541	9.567	9.528	34453.39
1541764800	9.528	9.554	9.56	9.534	38930.96
1541768400	9.554	9.514	9.54	9.502	24904.77
1541772000	9.521	9.496	9.515	9.496	28660.4
1541775600	9.496	9.522	9.541	9.51	44275.98
1541779200	9.522	9.534	9.54	9.515	39931.24
1541782800	9.534	9.548	9.573	9.522	31209.98
1541786400	9.555	9.543	9.556	9.531	23429.01
1541790000	9.543	9.566	9.566	9.541	26430.9
1541793600	9.566	9.549	9.568	9.536	35989.58
1541797200	9.549	9.536	9.542	9.517	38485.55
1541800800	9.536	9.528	9.547	9.522	42385.43
1541804400	9.534	9.541	9.548	9.522	36532.21
1541808000	9.541	9.548	9.561	9.536	22961.01
1541811600	9.548	9.545	9.558	9.52	25086.49
1541815200	9.546	9.535	9.555	9.523	22599.58
1541818800	9.535	9.541	9.554	9.529	18740.6
1541822400	9.542	9.585	9.585	9.565	25070.73
1541826000	9.599	9.547	9.598	9.507	8090.15
1541829600	9.551	9.541	9.548	9.522	20318.65
1541833200	9.541	9.546	9.559	9.546	21445.12
1541836800	9.707	9.714	9.727	9.701	49.45
1541840400	9.55	9.55	9.569	9.537	42411.73
1541844000	9.55	9.526	9.539	9.52	30925.92
1541847600	9.532	9.555	9.555	9.53	33510.96
1541851200	9.555	9.576	9.582	9.55	42821.18
1541854800	9.576	9.575	9.581	9.562	53853.25
1541858400	9.583	9.567	9.669	9.557	5053.14
1541862000	9.577	9.579	9.586	9.56	33774.51
1541865600	9.573	9.589	9.589	9.569	29850.83
1541869200	9.582	9.574	9.594	9.574	35274.79
1541872800	9.574	9.555	9.581	9.459	55022.02
1541876400	9.555	9.549	9.562	9.53	11219.63
1541880000	9.556	9.555	9.574	9.549	25824.18
1541883600	9.557	9.553	9.553	9.534	26408.32
1541887200	9.555	9.54	9.553	9.54	20446.3
1541890800	9.54	9.524	9.531	9.511	19809.42
1541894400	9.531	9.549	9.549	9.524	23702.02
1541898000	9.543	9.555	9.561	9.536	23994.48
1541901600	9.555	9.532	9.551	9.526	24105.75
1541905200	9.532	9.519	9.531	9.506	20795.17
1541908800	9.519	9.501	9.533	9.489	25800.85
1541912400	9.501	9.479	9.492	9.466	25585.87
1541916000	9.479	9.502	9.502	9.482	22327.79
1541919600	9.502	9.515	9.515	9.489	25966.37
1541923200	9.515	9.524	9.53	9.511	20149.83
1541926800	9.524	9.498	9.524	9.479	23468.29
1541930400	9.498	9.488	9.494	9.462	29307.93
1541934000	9.487	9.465	9.51	9.459	34425.77
1541937600	9.465	9.476	9.482	9.457	43756.73
1541941200	9.469	9.446	9.465	9.44	47731.64
1541944800	9.446	9.445	9.464	9.445	49390.02
1541948400	9.445	9.385	9.417	9.372	52870.05
1541952000	9.379	9.364	9.389	9.338	27078.58
1541955600	9.351	9.381	9.387	9.368	17743.34
1541959200	9.381	9.383	9.403	9.377	31184.26
1541962800	9.384	9.401	9.421	9.382	42105.86
1541966400	9.401	9.406	9.425	9.393	34822.06
1541970000	9.406	9.398	9.411	9.386	33633.79
1541973600	9.392	9.409	9.409	9.384	42995.85
1541977200	9.409	9.478	9.478	9.458	28973.74
1541980800	9.484	9.495	9.501	9.463	18981.31
1541984400	9.495	9.483	9.496	9.477	21781.07
1541988000	9.483	9.485	9.517	9.478	29143.43
1541991600	9.485	9.435	9.467	9.429	28697.16
1541995200	9.435	9.423	9.442	9.391	37183.07
1541998800	9.423	9.386	9.424	9.366	34586.36
1542002400	9.386	9.306	9.37	9.248	66199.84
1542006000	9.306	9.337	9.426	9.298	40346.34
1542009600	9.337	9.382	9.388	9.318	33463.92
1542013200	9.388	9.375	9.394	9.343	26022.4
1542016800	9.375	9.376	9.382	9.344	11000.73
1542020400	9.376	9.367	9.367	9.335	7140.83
1542024000	9.367	9.391	9.397	9.372	8761.98
1542027600	9.391	9.394	9.401	9.375	9889.77
1542031200	9.395	9.428	9.428	9.364	12399.71
1542034800	9.429	9.417	9.423	9.391	14529.38
1542038400	9.417	9.394	9.407	9.375	17867.3
1542042000	9.408	9.376	9.389	9.357	23940.73
1542045600	9.383	9.361	9.38	9.348	25739.25
1542049200	9.361	9.362	9.375	9.35	40452.0
1542052800	9.369	9.352	9.371	9.333	61682.8
1542056400	9.352	9.324	9.356	9.248	55102.98
1542060000	9.337	9.343	9.369	9.305	32990.05
1542063600	9.343	9.384	9.384	9.32	37297.52
1542067200	9.378	9.366	9.404	9.34	30369.42
1542070800	9.372	9.337	9.35	9.318	25462.95
1542074400	9.337	9.348	9.398	9.322	48101.48
1542078000	9.36	9.386	9.399	9.336	24723.32
1542081600	9.386	9.416	9.441	9.371	45315.03
1542085200	9.416	9.422	9.448	9.397	31487.16
1542088800	9.422	9.383	9.434	9.345	26736.76
1542092400	9.383	9.347	9.392	9.334	29052.51
1542096000	9.341	9.283	9.315	9.277	26942.28
1542099600	9.29	9.303	9.309	9.271	16480.63
1542103200	9.303	9.312	9.312	9.286	13122.36
1542106800	9.312	9.321	9.334	9.277	20333.05
1542110400	9.321	9.324	9.33	9.298	12520.12
1542114000	9.324	9.306	9.344	9.3	16478.54
1542117600	9.313	9.283	9.302	9.276	12204.99
1542121200	9.29	9.286	9.305	9.267	13418.78
1542124800	9.286	9.321	9.334	9.309	13647.34
1542128400	9.328	9.291	9.323	9.285	23898.78
1542132000	9.297	9.223	9.254	9.216	35165.34
1542135600	9.216	9.219	9.257	9.213	40119.24
1542139200	9.219	9.254	9.26	9.247	38633.15
1542142800	9.254	9.212	9.244	9.206	29352.52
1542146400	9.213	9.191	9.229	9.178	39601.46
1542150000	9.191	9.198	9.23	9.16	10419.61
1542153600	9.217	9.183	9.221	9.177	15148.06
1542157200	9.183	9.177	9.202	9.171	14402.35
1542160800	9.196	9.187	9.187	9.187	0.8115
1542164400	9.187	9.191	9.191	9.191	0.8163
1542168000	9.191	9.209	9.209	9.209	0.7827
1542171600	9.209	9.226	9.226	9.226	91.4
1542175200	9.227	9.229	9.229	9.229	15.58
1542178800	9.229	9.214	9.214	9.214	3.517
1542186000	9.213	9.149	9.212	9.124	24305.59
1542189600	9.149	9.153	9.184	9.065	45664.81
1542193200	9.153	9.164	9.202	9.139	24402.23
1542196800	9.171	9.135	9.185	9.116	17960.01
1542200400	9.141	9.109	9.153	9.103	24933.62
1542204000	9.109	9.058	9.076	9.033	36285.76
1542207600	9.051	8.847	8.926	8.797	50396.52
1542211200	8.834	8.447	8.493	8.348	93797.46
1542214800	8.447	8.558	8.622	8.406	103017.77
1542218400	8.558	8.361	8.435	8.333	44892.26
1542222000	8.384	8.35	8.378	8.287	45447.8
1542225600	8.35	8.131	8.26	8.076	73765.12
1542229200	8.143	8.296	8.353	8.245	31177.82
1542232800	8.297	8.263	8.269	8.212	16854.83
1542236400	8.269	8.423	8.44	8.394	14740.25
1542240000	8.421	8.414	8.414	8.345	35783.05
1542243600	8.414	8.363	8.398	8.352	26811.04
1542247200	8.363	8.222	8.25	8.183	33528.37
1542250800	8.239	8.239	8.296	8.217	36107.97
1542254400	8.239	8.217	8.262	8.189	39424.19
1542258000	8.217	8.248	8.31	8.226	42556.43
1542261600	8.248	8.202	8.253	8.197	36553.15
1542265200	9.206	8.825	8.825	8.782	279.49
1542268800	8.274	8.161	8.223	8.15	23483.64
1542272400	8.167	8.201	8.212	8.172	25228.89
1542276000	8.202	8.05	8.077	7.951	58947.33
1542279600	8.05	8.012	8.061	7.996	16550.62
1542283200	8.017	8.009	8.02	7.987	12795.03
