time	open	close	high	low	volumefrom
1542625200	71.0	71.0	71.0	71.0	8.5
1542628800	71.0	69.6	72.9	65.2	293.82
1542632400	70.23	70.33	70.53	68.83	216.06
1542636000	73.43	70.13	73.32	67.91	27014.82
1542639600	70.13	69.66	70.9	68.37	26765.25
1542643200	69.66	68.96	70.65	68.09	32198.07
1542646800	69.07	66.58	69.78	66.37	24867.16
1542650400	66.37	66.29	67.09	64.19	31892.87
1542654000	66.29	70.27	70.32	66.12	18919.46
1542657600	70.42	68.27	70.2	68.27	16451.31
1542661200	68.27	66.61	67.67	65.05	18804.78
1542664800	66.61	67.08	68.69	65.92	19734.88
1542668400	67.13	65.89	69.5	65.89	18799.73
1542672000	66.28	62.74	67.84	62.55	39146.84
1542675600	62.73	61.91	63.08	61.48	25111.36
1542679200	61.77	60.54	62.8	60.0	31270.13
1542682800	60.54	59.34	60.17	58.66	27717.56
1542686400	59.39	51.43	57.74	51.38	29904.75
1542690000	51.43	52.9	54.77	50.9	76794.42
1542693600	53.0	52.1	55.63	50.94	29135.67
1542697200	52.42	51.87	52.65	51.36	23664.1
1542700800	51.91	51.47	51.99	46.72	31338.34
1542704400	51.6	53.34	56.33	51.42	35373.17
1542708000	53.42	54.14	55.53	53.46	20366.51
1542711600	54.13	52.39	53.31	51.95	14664.22
1542715200	52.44	54.02	56.65	52.77	36803.91
1542718800	54.24	55.12	56.78	54.32	22004.63
1542722400	55.12	59.78	61.58	58.41	24834.52
1542726000	59.78	62.17	62.32	60.67	26977.64
1542729600	62.32	58.32	61.21	57.89	26313.0
1542733200	58.32	55.41	56.81	54.27	19308.21
1542736800	55.41	55.35	57.06	55.07	10344.41
1542740400	55.26	54.56	55.89	54.24	11906.58
1542744000	54.61	51.27	52.18	49.83	21023.89
1542747600	51.31	51.46	52.21	50.4	8078.06
1542751200	51.3	49.62	51.13	49.62	9414.75
1542754800	49.62	51.61	52.1	50.55	11500.83
1542758400	51.75	52.98	53.9	50.88	14926.67
1542762000	52.98	51.53	53.06	51.23	8240.46
1542765600	51.36	53.23	54.03	52.11	8023.65
1542769200	53.24	53.19	55.45	49.61	23083.1
1542772800	53.1	52.61	53.52	51.75	10052.31
1542776400	52.61	49.7	51.24	49.17	11414.04
1542780000	49.6	52.25	52.79	50.4	11771.79
1542783600	52.11	54.9	55.27	52.49	15796.75
1542787200	54.8	56.32	57.02	55.58	16108.37
1542790800	55.99	55.13	56.05	54.71	13211.87
1542794400	54.9	55.32	55.64	54.08	11377.59
1542798000	55.37	54.34	55.35	53.94	11015.38
1542801600	54.34	55.43	55.98	54.65	9808.4
1542805200	55.48	52.4	54.38	52.31	10980.61
1542808800	52.4	52.27	52.81	51.56	13424.56
1542812400	52.43	53.17	54.0	52.9	10133.07
1542816000	53.08	52.47	53.06	52.38	8612.67
1542819600	52.47	51.82	52.09	51.06	7754.67
1542823200	51.73	51.73	52.22	51.55	5147.96
1542826800	51.73	51.49	52.03	51.41	4369.44
1542830400	51.32	51.51	51.91	51.37	5837.27
1542834000	51.6	51.24	52.0	50.97	9388.51
1542837600	51.24	50.78	51.78	50.65	6429.48
1542841200	50.6	52.41	52.64	51.35	5563.22
1542844800	52.41	51.72	52.27	51.31	9225.7
1542848400	51.73	53.24	53.24	52.31	5147.41
1542852000	53.24	52.47	52.83	52.19	3183.56
1542855600	52.47	52.05	52.5	51.82	2841.12
1542859200	52.05	51.48	52.25	51.48	3315.24
1542862800	51.34	52.41	52.96	51.59	2719.8
1542866400	52.41	51.78	53.28	51.69	3131.2
1542870000	51.78	51.73	52.46	51.36	6890.95
1542873600	51.73	51.31	51.77	51.27	3620.12
1542877200	51.09	48.8	50.37	48.44	15983.79
1542880800	48.81	49.4	49.76	48.67	8913.17
1542884400	49.38	48.38	49.41	47.93	15029.81
1542888000	48.29	47.2	48.04	47.2	9202.87
1542891600	47.19	46.28	47.39	46.23	16149.8
1542895200	46.23	46.53	47.34	46.4	13451.74
1542898800	46.5	45.94	46.89	45.76	11622.12
1542902400	45.81	43.82	45.63	43.1	27030.79
1542906000	43.82	44.39	44.97	43.92	11887.44
1542909600	44.39	43.16	44.17	43.07	8500.05
1542913200	43.1	43.31	43.78	42.44	9495.81
