time	open	close	high	low	volumefrom
1608735600	98.71	96.88	97.96	96.79	5923.38
1608739200	96.88	96.84	97.8	96.21	6888.85
1608742800	96.88	97.85	97.98	96.77	5298.51
1608746400	97.85	97.96	98.34	97.68	1208.95
1608750000	97.96	97.75	98.01	97.11	1748.53
1608753600	97.67	95.54	97.48	95.54	6200.07
1608757200	95.54	93.26	94.84	93.26	10514.42
1608760800	93.27	91.08	93.54	87.06	14878.53
1608764400	91.1	91.28	92.73	90.89	12997.69
1608768000	91.3	89.52	91.3	88.71	4713.37
1608771600	89.67	92.87	92.96	90.04	11121.17
1608775200	92.87	90.03	91.28	89.85	3834.18
1608778800	90.13	90.24	90.54	89.14	2012.34
1608782400	90.24	90.88	91.08	89.56	792.71
1608786000	90.86	91.75	91.79	90.62	2929.74
1608789600	91.75	88.28	91.31	88.28	15267.02
1608793200	88.28	90.43	90.43	88.97	8235.92
1608796800	90.43	91.54	91.92	91.24	4282.22
1608800400	91.54	92.57	92.57	91.1	3384.61
1608804000	92.57	90.55	91.91	90.55	4541.59
1608807600	90.55	92.16	92.16	90.72	4080.96
1608811200	92.16	92.41	92.81	92.16	10051.89
1608814800	92.41	94.87	94.91	93.07	5099.58
1608818400	94.87	93.67	94.46	93.51	5655.41
1608822000	93.67	94.07	94.09	93.7	1787.76
1608825600	94.07	93.68	94.36	93.29	3388.06
1608829200	93.68	94.44	94.49	93.91	5258.3
1608832800	94.44	94.18	94.46	93.97	4170.06
1608836400	94.18	93.48	94.13	93.06	5425.13
1608840000	93.48	93.55	94.42	93.5	1090.26
1608843600	93.55	95.05	95.07	93.11	4718.78
1608847200	95.05	99.41	99.43	95.8	9842.74
1608850800	99.41	98.53	99.59	97.55	8806.5
1608854400	98.53	97.28	98.08	96.33	4540.86
1608858000	97.28	97.0	97.4	96.85	4016.27
1608861600	97.11	96.73	97.14	96.3	521.37
1608865200	96.23	96.09	96.46	95.81	3061.27
1608868800	96.09	96.93	97.19	96.48	3679.54
1608872400	96.93	96.79	96.91	96.34	3082.09
1608876000	96.79	98.64	98.71	96.89	4115.63
1608879600	98.64	98.69	98.83	98.28	3662.22
1608883200	98.69	98.95	99.18	98.05	8841.72
1608886800	98.95	102.11	103.07	99.98	40017.96
1608890400	102.11	102.73	103.72	101.99	6644.23
1608894000	102.73	104.6	105.36	103.1	12174.63
1608897600	104.6	103.41	103.97	101.66	6083.27
1608901200	103.55	104.79	105.09	103.39	1743.38
1608904800	104.71	102.31	102.91	101.59	7906.69
1608908400	102.31	102.01	102.58	101.84	3324.84
1608912000	102.01	100.13	104.2	100.13	22910.34
1608915600	100.13	100.55	100.63	99.68	14109.2
1608919200	100.55	100.59	101.25	100.49	5791.89
1608922800	100.59	101.34	101.44	100.44	5555.37
1608926400	101.34	101.49	101.68	101.12	3055.37
1608930000	101.49	100.79	101.81	100.79	1783.2
1608933600	100.79	101.66	102.06	101.37	4866.47
1608937200	101.66	103.18	104.34	101.67	9081.56
1608940800	103.18	103.4	104.51	102.61	4116.59
1608944400	103.4	104.52	104.87	104.27	1886.22
1608948000	104.52	105.44	106.58	104.0	9360.52
1608951600	105.44	106.74	106.82	105.45	7218.17
1608955200	106.74	105.43	106.44	105.08	2807.29
