time	open	close	high	low	volumefrom
1498377600	0.002886	0.002902	0.00293	0.002871	158632.27
1498381200	0.002902	0.003059	0.003059	0.002902	212271.46
1498384800	0.003059	0.003127	0.003156	0.003013	133200.76
1498388400	0.003127	0.003001	0.003127	0.002933	290233.88
1498392000	0.003001	0.002936	0.003099	0.002936	427209.23
1498395600	0.002936	0.003015	0.003055	0.002897	160776.73
1498399200	0.003015	0.003032	0.003032	0.002919	320677.29
1498402800	0.003032	0.002996	0.003043	0.002972	32513.77
1498406400	0.002996	0.002957	0.003022	0.002932	22556.09
1498410000	0.002957	0.002933	0.002957	0.002829	108086.11
1498413600	0.002933	0.002974	0.002974	0.002809	33901.52
1498417200	0.002974	0.002971	0.003007	0.002845	36946.26
1498420800	0.002971	0.0029	0.003014	0.002897	47847.92
1498424400	0.0029	0.002841	0.002908	0.0027	106568.37
1498428000	0.002841	0.002458	0.002841	0.002378	502818.11
1498431600	0.002458	0.002684	0.00271	0.002458	40859.73
1498435200	0.002684	0.002628	0.002684	0.002628	181226.97
1498438800	0.002628	0.002787	0.002787	0.002628	293922.02
1498442400	0.002787	0.002743	0.002787	0.002672	209297.49
1498446000	0.002743	0.002885	0.002885	0.002719	75818.87
1498449600	0.002885	0.002801	0.002885	0.00267	740712.21
1498453200	0.002801	0.002833	0.002839	0.002787	326853.69
1498456800	0.002833	0.002722	0.002833	0.002722	168312.51
1498460400	0.002671	0.002648	0.002707	0.002628	43927.98
1498464000	0.002716	0.002743	0.0028	0.002606	266872.46
1498467600	0.002743	0.002686	0.002743	0.002678	83986.42
1498471200	0.002686	0.002779	0.00286	0.002622	248343.58
1498474800	0.002779	0.00264	0.002845	0.002542	169421.39
1498478400	0.00264	0.002573	0.002767	0.002573	164493.65
1498482000	0.002573	0.002824	0.002869	0.002573	441112.3
1498485600	0.002824	0.00255	0.002839	0.002548	16012.67
1498489200	0.00255	0.002372	0.00274	0.002372	80123.47
1498492800	0.002372	0.002505	0.002561	0.002325	279778.82
1498496400	0.002505	0.0025	0.002546	0.002308	250243.59
1498500000	0.0025	0.002308	0.0025	0.002294	31014.77
1498503600	0.002308	0.002494	0.002494	0.002308	43316.14
1498507200	0.002494	0.002525	0.002532	0.002235	234982.99
1498510800	0.002525	0.002488	0.002525	0.002432	332514.4
1498514400	0.002488	0.002619	0.002619	0.00247	280544.48
1498518000	0.002619	0.00251	0.002623	0.00251	273030.78
1498521600	0.00251	0.002507	0.002682	0.002507	392013.17
1498525200	0.002507	0.002533	0.002597	0.002504	1086787.94
1498528800	0.002533	0.002506	0.002607	0.002419	92532.62
1498532400	0.002506	0.002526	0.002526	0.002464	44109.01
1498536000	0.002526	0.002433	0.002645	0.002433	53975.88
1498539600	0.002433	0.002588	0.002588	0.002433	70708.37
1498543200	0.002588	0.002486	0.002588	0.002486	28164.17
1498546800	0.002486	0.002295	0.002486	0.002277	318391.92
1498550400	0.002295	0.00246	0.002493	0.002295	159766.71
1498554000	0.00246	0.002437	0.00246	0.0023	479422.63
1498557600	0.002437	0.002441	0.002455	0.002389	257933.36
1498561200	0.002441	0.002423	0.002453	0.002423	424471.93
1498564800	0.002423	0.002417	0.002446	0.002335	164163.48
1498568400	0.002417	0.00232	0.002427	0.002233	36896.33
1498572000	0.00232	0.002294	0.002321	0.002269	414823.16
1498575600	0.002294	0.002359	0.002359	0.002237	154315.46
1498579200	0.002359	0.002453	0.002453	0.002318	230490.69
1498582800	0.002453	0.002398	0.002453	0.002387	293270.87
1498586400	0.002398	0.002425	0.002432	0.002375	173961.52
1498590000	0.002425	0.002399	0.002446	0.002384	110338.12
1498593600	0.002399	0.00246	0.002461	0.002399	115292.72
1498597200	0.00246	0.002462	0.002514	0.002431	527256.07
1498600800	0.002462	0.002461	0.002566	0.002461	101550.38
1498604400	0.002461	0.002455	0.002512	0.002455	47066.99
1498608000	0.002455	0.002561	0.00259	0.002455	238779.42
1498611600	0.002561	0.002492	0.002563	0.002492	347799.26
1498615200	0.002492	0.00251	0.002548	0.002486	124465.85
1498618800	0.00251	0.002577	0.002577	0.00251	204258.84
