time	open	close	high	low	volumefrom
1613678400	4.855	4.948	4.956	4.833	499070.91
1613682000	4.948	4.915	4.954	4.909	217666.09
1613685600	4.915	4.876	4.95	4.865	205867.71
1613689200	4.876	4.823	4.879	4.814	376861.46
1613692800	4.823	4.809	4.883	4.804	244553.65
1613696400	4.809	4.747	4.84	4.741	467258.28
1613700000	4.747	4.744	4.757	4.646	789428.37
1613703600	4.744	4.764	4.798	4.74	134448.25
1613707200	4.764	4.731	4.813	4.695	245200.77
1613710800	4.731	4.791	4.794	4.731	187880.73
1613714400	4.791	5.153	5.227	4.79	1898909.73
1613718000	5.153	5.156	5.27	5.102	1449964.0
1613721600	5.156	5.154	5.204	5.128	530108.8
1613725200	5.154	5.153	5.184	5.129	393037.21
1613728800	5.153	5.152	5.21	5.149	219361.94
1613732400	5.152	5.314	5.37	5.145	1058921.73
1613736000	5.314	5.244	5.33	5.242	760806.96
1613739600	5.244	5.195	5.263	5.17	594231.96
1613743200	5.195	5.116	5.253	5.113	872224.86
1613746800	5.116	5.185	5.196	5.106	400178.44
1613750400	5.185	5.099	5.219	5.062	584740.87
1613754000	5.099	5.148	5.173	5.092	256574.05
1613757600	5.148	5.106	5.159	5.104	300941.14
1613761200	5.106	5.118	5.12	5.041	487302.4
1613764800	5.118	5.158	5.173	5.113	246009.76
1613768400	5.158	5.132	5.176	5.102	330283.57
1613772000	5.132	5.154	5.196	5.099	438916.74
1613775600	5.154	5.23	5.271	5.15	606175.56
1613779200	5.23	5.16	5.29	5.134	764652.82
1613782800	5.16	5.442	5.448	5.157	990534.69
1613786400	5.442	5.387	5.442	5.335	668614.77
1613790000	5.387	5.328	5.431	5.303	612459.35
1613793600	5.328	5.359	5.375	5.314	243795.76
1613797200	5.359	5.363	5.391	5.321	262271.35
1613800800	5.363	5.401	5.42	5.353	195484.07
1613804400	5.401	5.257	5.402	5.257	574021.85
1613808000	5.257	5.242	5.319	5.232	267602.8
1613811600	5.242	5.25	5.298	5.171	450182.32
1613815200	5.25	5.31	5.325	5.246	188814.33
1613818800	5.31	5.286	5.314	5.274	125944.85
1613822400	5.286	5.327	5.359	5.283	328367.13
1613826000	5.327	5.351	5.386	5.327	392687.76
1613829600	5.351	5.195	5.393	5.106	1116576.43
1613833200	5.195	5.08	5.256	5.007	1757477.19
1613836800	5.08	5.204	5.206	5.08	429943.67
1613840400	5.204	5.182	5.263	5.167	682616.93
1613844000	5.182	5.143	5.197	5.125	228787.71
1613847600	5.143	5.106	5.167	5.074	366452.56
1613851200	5.106	5.095	5.134	5.014	338372.19
1613854800	5.095	5.044	5.095	4.981	561747.36
1613858400	5.044	4.74	5.046	4.514	3248881.41
1613862000	4.74	4.839	4.877	4.721	1192297.14
1613865600	4.839	4.877	4.915	4.736	715813.35
1613869200	4.877	4.941	4.946	4.82	400477.7
1613872800	4.941	4.962	5.013	4.927	378716.55
1613876400	4.962	4.949	5.006	4.93	203692.26
1613880000	4.949	4.972	4.979	4.894	323069.54
1613883600	4.972	4.964	5.014	4.931	256346.32
1613887200	4.964	4.919	4.997	4.881	182766.13
1613890800	4.919	4.861	4.963	4.85	310085.83
1613894400	4.861	4.954	4.969	4.838	196200.1
1613898000	4.954	5.07	5.073	4.936	409972.93
1613901600	5.07	5.09	5.149	5.053	410225.4
1613905200	5.09	5.114	5.147	5.082	195980.86
1613908800	5.114	5.035	5.132	5.008	212184.45
1613912400	5.035	5.029	5.064	5.021	222006.6
1613916000	5.029	5.086	5.089	4.987	283469.37
1613919600	5.086	5.119	5.121	5.033	219936.72
1613923200	5.119	5.216	5.363	5.094	1260453.32
1613926800	5.216	5.191	5.234	5.178	294244.24
