time	open	close	high	low	volumefrom
1476777600	1.05	1.04	1.04	1.029	3364.82
1476781200	1.049	1.044	1.05	1.044	13761.15
1476784800	1.044	1.044	1.044	1.035	10423.95
1476788400	1.035	1.03	1.044	1.03	1885.79
1476792000	1.042	1.048	1.048	1.042	3105.47
1476795600	1.048	1.045	1.048	1.045	9982.03
1476799200	1.045	1.019	1.045	1.019	18910.19
1476802800	1.019	1.018	1.023	1.003	12710.44
1476806400	1.018	1.023	1.023	1.018	4283.54
1476810000	1.014	1.017	1.02	0.9949	8539.25
1476813600	1.019	1.017	1.019	1.017	2820.76
1476817200	1.017	1.018	1.018	1.014	1671.26
1476820800	1.018	1.029	1.029	1.018	5915.88
1476824400	1.029	1.028	1.029	1.028	4361.22
1476828000	1.028	1.03	1.03	1.028	11976.59
1476831600	1.03	1.039	1.039	1.03	10167.27
1476835200	1.039	1.058	1.058	1.039	2658.79
1476838800	1.058	1.054	1.058	1.054	833.12
1476842400	1.057	1.057	1.057	1.057	465.84
1476846000	1.057	1.06	1.06	1.041	3141.37
1476849600	1.054	1.08	1.08	1.054	6487.43
1476853200	1.08	1.061	1.08	1.049	9122.47
1476856800	1.061	1.065	1.084	1.061	9594.14
1476860400	1.071	1.065	1.071	1.065	1735.38
1476864000	1.056	1.06	1.065	1.058	10634.34
1476867600	1.065	1.061	1.065	1.061	1320.31
1476871200	1.061	1.066	1.066	1.061	1692.1
1476874800	1.066	1.072	1.072	1.066	2404.27
1476878400	1.072	1.072	1.078	1.072	7222.05
1476882000	1.072	1.044	1.072	1.044	19320.83
1476885600	1.03	1.028	1.037	1.014	35797.99
1476889200	1.036	1.03	1.038	1.03	11009.08
1476892800	1.03	1.039	1.045	1.03	2615.48
1476896400	1.039	1.047	1.047	1.032	9661.13
1476900000	1.039	1.039	1.048	1.036	11888.76
1476903600	1.039	1.044	1.05	1.037	37893.86
1476907200	1.041	1.046	1.046	1.031	2596.44
1476910800	1.046	1.048	1.048	1.042	3573.8
1476914400	1.048	1.035	1.05	1.035	1944.02
1476918000	1.035	1.051	1.052	1.023	1374.12
1476921600	1.049	1.049	1.055	1.048	20732.11
1476925200	1.05	1.06	1.06	1.048	6611.1
1476928800	1.06	1.041	1.071	1.035	1239.57
1476932400	1.053	1.055	1.055	1.052	580.36
1476936000	1.052	1.055	1.055	1.054	7678.86
1476939600	1.064	1.049	1.064	1.049	898.44
1476943200	1.052	1.053	1.057	1.053	7717.35
1476946800	1.054	1.053	1.054	1.053	685.3
1476950400	1.053	1.049	1.053	1.047	1081.07
1476954000	1.049	1.051	1.051	1.045	1238.5
1476957600	1.045	1.043	1.048	1.042	8639.45
1476961200	1.046	1.052	1.059	1.048	1812.89
1476964800	1.042	1.041	1.045	1.04	3124.26
1476968400	1.047	1.047	1.047	1.047	1612.97
1476972000	1.047	1.038	1.047	1.038	692.03
1476975600	1.033	1.042	1.048	1.033	5559.57
1476979200	1.042	1.039	1.042	1.034	7864.91
1476982800	1.045	1.04	1.045	1.04	652.06
1476986400	1.04	1.043	1.043	1.04	1467.9
1476990000	1.042	1.038	1.044	1.038	3345.12
1476993600	1.041	1.035	1.049	1.035	962.0
1476997200	1.035	1.039	1.053	1.035	7305.91
1477000800	1.039	1.04	1.046	1.039	7003.51
1477004400	1.037	1.032	1.038	1.03	1765.15
1477008000	1.041	1.043	1.043	1.039	12282.51
1477011600	1.048	1.047	1.048	1.047	740.23
1477015200	1.042	1.052	1.052	1.042	1558.7
1477018800	1.044	1.047	1.056	1.046	13928.79
1477022400	1.055	1.069	1.069	1.051	615.12
