time	open	close	high	low	volumefrom
1592661600	227.83	227.16	227.62	227.06	16972.09
1592665200	227.16	226.82	227.0	226.45	33704.31
1592668800	226.82	226.88	227.06	226.78	28787.76
1592672400	226.88	227.05	227.23	226.86	14395.85
1592676000	227.05	227.64	228.1	227.54	12833.37
1592679600	227.64	226.96	227.06	226.78	13739.83
1592683200	226.96	227.77	227.95	227.67	11268.68
1592686800	227.77	228.05	228.33	227.95	13636.86
1592690400	228.05	229.32	229.6	228.76	24916.88
1592694000	229.32	228.93	229.3	228.74	16500.09
1592697600	228.93	229.1	229.28	228.82	12672.22
1592701200	229.1	229.27	229.46	229.18	11277.97
1592704800	229.27	229.82	230.0	228.97	25006.26
1592708400	229.82	229.68	229.96	229.5	13887.01
1592712000	229.68	229.36	229.83	229.36	11093.37
1592715600	229.36	230.75	231.13	229.81	18726.15
1592719200	230.75	230.28	230.47	230.09	14855.37
1592722800	230.28	230.3	230.49	230.02	17232.49
1592726400	230.3	230.24	230.43	230.05	12832.68
1592730000	230.24	230.64	230.74	230.27	14475.93
1592733600	230.64	229.78	230.44	229.78	18689.78
1592737200	229.78	229.99	230.08	229.8	16189.2
1592740800	229.99	229.66	229.85	229.47	15953.16
1592744400	229.66	229.43	229.71	229.24	19699.5
1592748000	229.43	229.45	229.63	229.35	16746.91
1592751600	229.45	230.41	230.41	229.56	24787.34
1592755200	230.41	230.22	230.41	230.12	23947.7
1592758800	230.22	229.79	229.88	229.6	15318.72
1592762400	229.79	229.39	229.58	229.02	21571.01
1592766000	229.33	229.87	230.25	229.05	6197.02
1592769600	229.84	229.21	229.21	228.74	14684.76
1592773200	229.13	229.42	229.85	228.99	6376.58
1592776800	229.42	228.02	229.42	227.09	14683.32
1592780400	228.02	227.83	228.02	227.36	6715.32
1592784000	227.83	228.6	228.77	227.39	10201.83
1592787600	228.6	233.21	233.23	228.5	42693.04
1592791200	233.21	233.58	233.83	232.72	23728.43
1592794800	233.58	234.21	234.51	233.58	20544.64
1592798400	234.21	234.94	235.52	234.21	41886.18
1592802000	234.8	234.31	235.44	234.21	31703.85
1592805600	234.31	234.15	234.43	233.87	22950.81
1592809200	234.27	235.01	235.47	234.23	14054.03
1592812800	234.93	235.57	235.67	235.2	40948.58
1592816400	235.57	235.08	235.45	234.89	36382.0
1592820000	235.16	235.41	235.58	235.07	9165.37
1592823600	235.44	236.48	236.57	235.82	30656.38
1592827200	236.56	238.81	239.26	236.42	36398.59
1592830800	238.81	238.35	239.32	237.64	17503.93
1592834400	238.29	238.03	238.31	237.84	22373.38
1592838000	238.03	241.44	241.44	238.59	70304.52
1592841600	241.6	244.08	245.14	241.34	68029.68
1592845200	244.08	244.76	244.96	243.45	32443.28
1592848800	244.76	243.82	244.93	243.81	21211.92
1592852400	243.82	242.53	244.33	242.5	24151.96
1592856000	242.53	244.87	245.28	242.52	20179.79
1592859600	244.87	243.07	246.8	242.99	31804.76
1592863200	243.07	243.41	243.58	241.99	20803.38
1592866800	243.41	243.3	243.59	242.72	9897.88
1592870400	243.3	242.99	244.65	242.96	14360.11
1592874000	242.99	241.96	243.17	240.88	21941.84
1592877600	241.86	242.2	242.39	241.71	23602.85
1592881200	242.2	242.58	242.78	242.29	16170.57
1592884800	242.58	242.13	242.52	241.84	20468.63
1592888400	242.13	241.6	242.2	241.46	10599.55
1592892000	241.57	242.46	242.46	241.6	19139.18
1592895600	242.46	244.25	244.64	243.29	39679.43
1592899200	244.25	242.55	242.93	242.35	35001.64
1592902800	242.55	242.93	243.03	242.36	18375.96
1592906400	242.93	242.04	242.52	242.04	17582.57
1592910000	242.04	243.39	243.68	243.2	22232.03
1592913600	243.39	242.89	243.66	242.89	31976.89
1592917200	242.89	242.64	243.02	241.87	52232.43
1592920800	242.64	243.01	243.11	242.63	29270.61
1592924400	243.01	244.43	244.43	242.74	22613.11
1592928000	244.24	243.47	243.85	243.28	38729.04
1592931600	243.47	243.82	243.92	243.34	29140.84
1592935200	243.82	243.83	243.93	243.44	22408.96
1592938800	243.84	243.89	244.85	243.81	13804.77
1592942400	243.9	243.52	243.81	243.42	15015.81
1592946000	243.46	244.16	244.18	242.7	8733.53
1592949600	244.16	242.72	244.16	242.48	12485.61
1592953200	242.72	243.11	243.4	242.82	14178.31
1592956800	243.11	243.43	243.52	243.04	16759.46
1592960400	243.43	243.68	243.97	243.39	16435.82
1592964000	243.68	245.68	245.68	243.84	42299.33
1592967600	245.68	245.2	245.68	244.72	36136.19
1592971200	245.2	247.94	248.04	244.95	57640.16
1592974800	247.94	248.21	248.88	247.24	51726.4
1592978400	248.21	248.15	248.83	247.87	39025.99
1592982000	248.15	242.29	244.38	240.2	99769.23
1592985600	242.29	242.76	242.86	242.38	33903.51
1592989200	242.76	242.75	242.94	242.65	21470.04
1592992800	242.72	238.36	242.73	237.3	50760.05
1592996400	238.48	237.85	237.95	237.01	52925.71
1593000000	237.92	240.25	240.32	237.1	18207.99
1593003600	240.25	238.36	240.71	238.29	20706.12
1593007200	238.36	235.44	238.77	235.06	48463.3
1593010800	235.44	232.17	235.97	230.99	94007.07
1593014400	232.17	233.65	234.09	231.18	29441.14
1593018000	233.65	233.91	234.12	233.05	13951.76
1593021600	233.91	233.9	234.8	233.7	16544.25
1593025200	233.9	233.75	234.91	233.43	12683.64
1593028800	233.64	234.79	234.97	233.58	18112.26
1593032400	234.79	234.6	234.78	234.04	28452.91
1593036000	234.6	234.77	235.42	234.68	21457.77
1593039600	234.77	234.55	235.2	234.55	30320.47
1593043200	234.55	233.79	233.97	233.6	26692.07
