time	open	close	high	low	volumefrom
1591466400	4.376	4.392	4.395	4.378	66233.27
1591470000	4.392	4.398	4.403	4.391	120844.14
1591473600	4.398	4.399	4.418	4.396	90277.86
1591477200	4.399	4.398	4.41	4.396	61248.52
1591480800	4.398	4.386	4.391	4.379	57886.35
1591484400	4.386	4.457	4.457	4.391	139121.6
1591488000	4.457	4.529	4.548	4.454	418858.67
1591491600	4.529	4.518	4.545	4.492	207473.37
1591495200	4.518	4.513	4.547	4.501	117594.69
1591498800	4.513	4.56	4.567	4.504	193563.69
1591502400	4.56	4.579	4.581	4.547	87419.79
1591506000	4.579	4.522	4.573	4.522	137842.68
1591509600	4.522	4.543	4.551	4.522	119887.25
1591513200	4.543	4.528	4.545	4.523	90725.43
1591516800	4.528	4.498	4.522	4.483	196794.36
1591520400	4.498	4.487	4.491	4.467	99194.47
1591524000	4.487	4.477	4.482	4.463	136789.61
1591527600	4.477	4.414	4.447	4.39	183848.44
1591531200	4.414	4.395	4.417	4.386	178353.47
1591534800	4.395	4.303	4.362	4.303	196130.79
1591538400	4.303	4.354	4.368	4.326	224108.43
1591542000	4.354	4.405	4.408	4.358	102668.03
1591545600	4.405	4.35	4.388	4.35	130891.86
1591549200	4.35	4.367	4.381	4.367	70210.03
1591552800	4.367	4.383	4.385	4.373	62667.96
1591556400	4.383	4.437	4.474	4.43	95104.29
1591560000	4.437	4.437	4.445	4.416	126367.91
1591563600	4.437	4.474	4.474	4.426	51688.62
1591567200	4.474	4.454	4.501	4.454	96989.62
1591570800	4.454	4.428	4.479	4.423	229773.98
1591574400	4.428	4.424	4.443	4.416	207956.7
1591578000	4.424	4.422	4.427	4.402	106860.64
1591581600	4.422	4.426	4.431	4.416	73803.18
1591585200	4.426	4.416	4.433	4.414	58948.51
1591588800	4.416	4.423	4.427	4.413	67098.19
1591592400	4.423	4.431	4.433	4.421	105729.05
1591596000	4.431	4.422	4.432	4.42	77774.16
1591599600	4.422	4.424	4.426	4.4	67421.81
1591603200	4.424	4.397	4.431	4.397	93888.11
1591606800	4.397	4.413	4.423	4.406	114666.64
1591610400	4.413	4.401	4.403	4.396	99346.84
1591614000	4.401	4.404	4.416	4.399	68566.82
1591617600	4.404	4.448	4.455	4.389	93680.05
1591621200	4.448	4.426	4.45	4.419	51476.57
1591624800	4.426	4.395	4.407	4.388	86932.5
1591628400	4.395	4.406	4.423	4.406	69981.86
1591632000	4.406	4.404	4.416	4.404	52831.68
1591635600	4.404	4.412	4.412	4.4	53263.61
1591639200	4.412	4.405	4.405	4.393	54480.99
