time	open	close	high	low	volumefrom
1606248000	15.77	15.79	15.9	15.55	378620.03
1606251600	15.79	15.41	15.82	15.28	420674.73
1606255200	15.41	15.57	15.61	15.32	225218.91
1606258800	15.57	15.66	15.68	15.49	87623.64
1606262400	15.66	15.51	15.73	15.5	142394.22
1606266000	15.51	15.71	15.86	15.5	279907.99
1606269600	15.71	15.35	15.72	15.31	258665.67
1606273200	15.35	15.24	15.42	15.1	241316.91
1606276800	15.24	15.08	15.36	15.07	190153.17
1606280400	15.08	15.28	15.33	14.92	291187.66
1606284000	15.28	15.35	15.42	15.28	63207.06
1606287600	15.35	15.37	15.45	15.27	72909.72
1606291200	15.37	15.46	15.51	15.29	58768.54
1606294800	15.46	15.39	15.48	15.32	38547.34
1606298400	15.39	15.43	15.48	15.35	83263.84
1606302000	15.43	15.56	15.57	15.38	142787.28
1606305600	15.56	15.44	15.62	15.33	124452.82
1606309200	15.44	15.2	15.46	15.13	191695.42
1606312800	15.2	15.37	15.38	15.14	101877.26
1606316400	15.37	15.27	15.37	15.19	184861.18
1606320000	15.27	15.1	15.38	15.1	192767.3
1606323600	15.1	15.2	15.21	15.02	134753.4
1606327200	15.2	15.26	15.31	15.18	90704.16
1606330800	15.26	14.97	15.3	14.92	262137.29
1606334400	14.97	14.61	15.01	14.25	605560.82
1606338000	14.61	14.58	14.78	14.45	226783.7
1606341600	14.58	14.29	14.58	14.0	451957.78
1606345200	14.29	14.23	14.35	13.81	468034.68
1606348800	14.23	14.39	14.45	13.93	296412.91
1606352400	14.39	14.29	14.47	14.19	141775.99
1606356000	14.29	13.65	14.29	13.62	439361.05
1606359600	13.65	12.56	13.65	11.55	2136268.02
1606363200	12.56	12.57	12.97	12.31	1083085.68
1606366800	12.57	12.76	12.83	12.48	592974.68
1606370400	12.76	13.08	13.08	12.67	404682.69
1606374000	13.08	12.51	13.08	12.26	512124.58
1606377600	12.51	11.95	12.52	11.52	1560360.78
1606381200	11.95	12.45	12.53	11.88	654479.35
1606384800	12.45	12.66	12.69	12.37	199814.45
1606388400	12.66	12.55	12.85	12.47	204888.0
1606392000	12.55	12.75	12.81	12.37	214376.82
1606395600	12.75	12.15	12.84	12.13	224018.59
1606399200	12.15	12.04	12.33	11.93	426716.57
1606402800	12.04	12.14	12.45	11.96	420190.63
1606406400	12.14	11.58	12.17	11.53	746864.06
1606410000	11.58	11.91	11.91	11.33	569373.88
1606413600	11.91	11.85	12.12	11.83	479887.64
1606417200	11.85	12.02	12.11	11.71	338631.99
1606420800	12.02	12.7	12.78	12.02	573539.63
1606424400	12.7	12.42	12.71	12.41	338601.35
1606428000	12.42	12.73	12.91	12.41	287068.03
1606431600	12.73	12.57	12.73	12.49	154237.79
1606435200	12.57	12.76	12.79	12.35	268483.8
1606438800	12.76	12.82	12.94	12.74	342648.07
1606442400	12.82	12.56	12.84	12.55	356146.86
1606446000	12.56	12.52	12.69	12.49	162044.96
1606449600	12.52	12.6	12.74	12.52	147023.23
1606453200	12.6	12.7	12.79	12.6	177962.69
1606456800	12.7	12.7	12.81	12.64	91332.47
1606460400	12.7	12.51	12.7	12.46	102444.27
1606464000	12.51	12.17	12.52	12.07	478448.43
1606467600	12.17	12.12	12.36	12.09	216451.49
1606471200	12.12	12.29	12.29	12.12	140818.31
1606474800	12.29	12.21	12.29	12.1	66710.48
1606478400	12.21	12.41	12.46	12.2	85618.37
1606482000	12.41	12.28	12.42	12.28	58776.35
1606485600	12.28	12.1	12.3	12.09	171264.01
1606489200	12.1	12.01	12.11	11.99	716281.86
1606492800	12.01	12.23	12.24	11.97	337025.12
1606496400	12.23	12.17	12.25	12.11	163467.24
1606500000	12.17	12.29	12.36	12.17	108474.84
1606503600	12.29	12.26	12.31	12.22	75733.97
1606507200	12.26	12.51	12.51	12.24	149983.66
1606510800	12.51	12.49	12.51	12.36	60869.06
1606514400	12.49	12.37	12.59	12.31	126519.05
1606518000	12.37	12.5	12.64	12.36	115850.19
1606521600	12.5	12.62	12.65	12.42	143456.95
1606525200	12.62	12.69	12.69	12.54	139794.59
1606528800	12.69	12.56	12.69	12.53	171968.69
1606532400	12.56	12.56	12.59	12.48	108715.51
1606536000	12.56	12.45	12.59	12.36	181044.74
1606539600	12.45	12.45	12.48	12.4	74641.89
1606543200	12.45	12.55	12.58	12.45	41630.54
1606546800	12.55	12.56	12.6	12.48	37618.01
1606550400	12.56	12.41	12.6	12.41	35687.42
1606554000	12.41	12.4	12.46	12.38	77072.22
1606557600	12.4	12.59	12.65	12.38	118508.23
1606561200	12.59	12.63	12.65	12.56	67238.35
1606564800	12.63	12.66	12.77	12.61	202478.0
1606568400	12.66	12.94	12.97	12.65	183158.74
1606572000	12.94	13.06	13.08	12.85	248821.76
1606575600	13.06	13.25	13.25	13.05	445507.03
1606579200	13.25	13.28	13.43	13.17	756740.55
1606582800	13.28	13.27	13.33	13.12	263884.91
1606586400	13.27	13.26	13.29	13.16	160833.61
1606590000	13.26	13.38	13.43	13.17	162938.93
1606593600	13.38	13.09	13.4	13.05	278409.63
1606597200	13.09	13.17	13.18	13.07	94423.39
1606600800	13.17	13.13	13.29	13.09	124383.06
1606604400	13.13	13.1	13.27	13.03	78939.88
1606608000	13.1	13.06	13.18	12.95	186822.21
1606611600	13.06	12.98	13.09	12.86	134708.32
1606615200	12.98	13.07	13.07	12.93	98095.53
1606618800	13.07	13.09	13.19	13.05	104102.47
1606622400	13.09	13.08	13.17	13.05	77006.11
1606626000	13.08	13.06	13.1	13.04	47249.45
1606629600	13.06	13.0	13.07	12.95	57291.44
1606633200	13.0	13.06	13.06	12.91	124986.38
1606636800	13.06	13.35	13.36	13.05	96149.9
1606640400	13.35	13.19	13.35	13.17	71054.26
1606644000	13.19	13.41	13.47	13.16	94645.88
1606647600	13.41	13.21	13.41	13.14	68894.54
1606651200	13.21	13.15	13.24	13.07	68167.07
1606654800	13.15	13.18	13.22	13.13	63939.3
1606658400	13.18	13.12	13.29	13.09	67463.89
1606662000	13.12	13.17	13.18	13.03	97376.94
1606665600	13.17	13.04	13.18	12.92	117326.16
1606669200	13.04	13.15	13.21	13.0	75755.04
1606672800	13.15	13.15	13.17	13.06	55375.63
1606676400	13.15	13.02	13.19	13.0	52588.56
1606680000	13.02	13.22	13.29	13.01	169434.52
1606683600	13.22	13.29	13.43	13.21	176207.16
1606687200	13.29	13.17	13.3	13.13	106098.31
1606690800	13.17	13.39	13.41	13.17	132629.35
1606694400	13.39	14.18	14.19	13.39	732701.4
1606698000	14.18	13.98	14.21	13.84	327272.55
1606701600	13.98	13.96	14.1	13.89	209805.4
1606705200	13.96	14.08	14.11	13.91	151414.73
1606708800	14.08	13.96	14.08	13.91	105681.35
1606712400	13.96	13.97	14.1	13.95	123310.38
1606716000	13.97	14.09	14.15	13.93	177309.01
1606719600	14.09	14.03	14.15	13.98	134319.65
1606723200	14.03	13.79	14.06	13.63	218384.49
1606726800	13.79	13.79	13.83	13.61	104011.63
1606730400	13.79	13.72	13.87	13.71	46584.49
1606734000	13.72	13.89	13.96	13.72	55335.57
1606737600	13.89	13.92	14.0	13.87	120359.28
1606741200	13.92	14.16	14.22	13.76	297704.52
1606744800	14.16	14.13	14.36	14.09	420781.46
1606748400	14.13	13.94	14.23	13.87	489531.55
1606752000	13.94	14.07	14.42	13.94	435660.26
1606755600	14.07	14.18	14.28	13.97	165835.48
1606759200	14.18	14.05	14.22	14.05	108945.57
1606762800	14.05	14.06	14.2	14.03	92737.55
1606766400	14.06	14.03	14.19	14.01	103378.83
1606770000	14.03	14.13	14.17	14.03	100788.43
1606773600	14.13	14.16	14.19	14.06	112252.31
1606777200	14.16	14.24	14.33	14.15	161306.51
1606780800	14.24	14.13	14.42	14.06	305320.62
1606784400	14.13	14.23	14.26	14.09	134987.1
1606788000	14.23	14.35	14.35	14.2	62660.28
1606791600	14.35	14.25	14.37	14.19	71226.34
1606795200	14.25	14.24	14.35	14.18	105590.93
1606798800	14.24	14.3	14.31	14.18	78146.16
1606802400	14.3	14.19	14.34	14.17	91456.88
1606806000	14.19	14.54	14.61	14.19	191548.1
1606809600	14.54	14.5	14.63	14.46	135757.13
1606813200	14.5	14.48	14.58	14.44	69806.51
1606816800	14.48	14.64	14.64	14.47	180704.79
1606820400	14.64	14.32	14.88	14.31	805109.56
1606824000	14.32	13.38	14.39	13.13	905387.04
1606827600	13.38	13.67	13.73	13.1	456020.25
1606831200	13.67	14.1	14.12	13.6	272160.74
1606834800	14.1	13.98	14.19	13.86	254077.96
1606838400	13.98	13.75	14.03	13.66	189883.86
1606842000	13.75	13.76	13.82	13.48	325016.17
1606845600	13.76	13.49	13.76	13.46	124832.5
1606849200	13.49	13.79	13.82	13.49	137133.81
1606852800	13.79	13.69	13.79	13.65	77939.32
1606856400	13.69	13.73	13.88	13.66	92596.71
1606860000	13.73	13.53	13.84	13.5	109695.2
1606863600	13.53	13.36	13.53	13.32	145209.66
1606867200	13.36	13.52	13.53	13.07	195140.42
1606870800	13.52	13.54	13.61	13.48	78006.22
1606874400	13.54	13.33	13.55	13.29	57586.0
1606878000	13.33	13.21	13.44	13.18	192342.35
1606881600	13.21	13.27	13.33	13.13	146358.52
1606885200	13.27	13.44	13.45	13.16	102979.75
1606888800	13.44	13.5	13.54	13.41	83940.42
1606892400	13.5	13.66	13.66	13.47	60926.48
1606896000	13.66	13.7	13.81	13.6	73894.63
1606899600	13.7	13.66	13.86	13.64	56912.17
1606903200	13.66	13.68	13.71	13.58	60140.13
1606906800	13.68	13.82	13.91	13.62	85333.4
1606910400	13.82	13.73	13.82	13.57	81534.37
1606914000	13.73	13.75	13.83	13.72	71760.16
1606917600	13.75	13.63	13.81	13.61	100756.13
1606921200	13.63	13.66	13.73	13.51	105970.13
1606924800	13.66	13.53	13.67	13.47	94368.38
1606928400	13.53	13.73	13.74	13.52	78675.21
1606932000	13.73	13.9	13.96	13.7	198469.75
1606935600	13.9	13.94	14.0	13.85	93414.39
1606939200	13.94	14.06	14.11	13.85	255465.78
1606942800	14.06	13.99	14.13	13.99	95717.08
1606946400	13.99	14.03	14.13	13.96	104481.27
1606950000	14.03	13.98	14.15	13.98	111960.6
1606953600	13.98	13.96	14.09	13.89	127896.82
1606957200	13.96	13.85	13.96	13.76	179976.09
1606960800	13.85	13.87	13.92	13.84	46854.52
1606964400	13.87	13.89	13.97	13.84	46865.55
1606968000	13.89	13.84	14.06	13.84	105761.82
1606971600	13.84	13.76	13.96	13.74	105648.68
1606975200	13.76	13.76	13.83	13.73	35509.08
1606978800	13.76	13.95	13.95	13.67	45920.57
1606982400	13.95	13.97	14.03	13.87	69433.67
1606986000	13.97	13.99	14.0	13.79	51390.64
1606989600	13.99	14.04	14.08	13.94	55798.25
1606993200	14.04	14.0	14.06	13.97	40180.04
1606996800	14.0	13.93	14.01	13.87	42727.39
1607000400	13.93	13.9	14.01	13.86	69319.6
1607004000	13.9	13.94	14.04	13.89	74764.05
1607007600	13.94	14.1	14.11	13.88	144478.89
1607011200	14.1	13.99	14.23	13.87	287298.84
1607014800	13.99	13.95	14.01	13.89	80768.16
1607018400	13.95	13.95	13.99	13.92	43462.35
1607022000	13.95	13.96	13.97	13.91	54677.56
1607025600	13.96	13.91	14.03	13.9	104031.34
1607029200	13.91	13.98	14.01	13.9	77424.75
1607032800	13.98	13.98	14.02	13.94	80846.88
1607036400	13.98	13.99	14.01	13.95	61465.31
1607040000	13.99	14.02	14.04	13.93	55203.89
1607043600	14.02	13.83	14.03	13.83	50536.16
1607047200	13.83	13.66	13.92	13.63	175445.28
1607050800	13.66	13.57	13.73	13.57	125443.99
1607054400	13.57	13.68	13.69	13.53	164686.25
1607058000	13.68	13.64	13.73	13.63	105903.19
1607061600	13.64	13.73	13.76	13.63	90975.72
1607065200	13.73	13.65	13.76	13.65	68318.41
1607068800	13.65	13.83	13.87	13.64	49130.59
1607072400	13.83	13.76	13.83	13.71	35676.52
1607076000	13.76	13.41	13.76	13.19	253655.59
1607079600	13.41	13.33	13.5	13.29	126205.54
1607083200	13.33	13.46	13.47	13.22	138466.58
1607086800	13.46	13.34	13.46	13.3	86510.4
1607090400	13.34	13.42	13.47	13.27	62142.58
1607094000	13.42	13.31	13.43	13.31	49431.31
1607097600	13.31	13.16	13.31	13.02	287719.24
1607101200	13.16	13.2	13.25	13.15	174882.56
1607104800	13.2	13.24	13.26	13.17	136910.42
1607108400	13.24	13.33	13.36	13.23	68623.81
1607112000	13.33	13.21	13.34	13.18	102936.01
1607115600	13.21	12.93	13.22	12.87	323097.44
1607119200	12.93	12.61	12.97	12.52	440752.7
1607122800	12.61	12.7	12.87	12.61	182678.43
1607126400	12.7	12.93	12.94	12.53	229875.87
1607130000	12.93	12.78	12.97	12.78	133627.3
1607133600	12.78	12.96	13.01	12.78	70883.71
1607137200	12.96	12.93	13.03	12.89	59016.41
1607140800	12.93	12.95	13.02	12.9	65008.71
1607144400	12.95	13.09	13.12	12.9	82118.11
1607148000	13.09	13.11	13.25	13.06	65390.21
1607151600	13.11	13.09	13.19	13.07	31609.27
1607155200	13.09	13.27	13.3	13.08	55680.8
1607158800	13.27	13.3	13.34	13.19	48402.94
1607162400	13.3	13.25	13.35	13.21	48535.72
1607166000	13.25	13.18	13.29	13.15	58563.61
1607169600	13.18	13.21	13.24	13.18	41199.91
1607173200	13.21	13.14	13.26	13.08	67772.24
1607176800	13.14	13.3	13.31	13.14	61746.83
1607180400	13.3	13.28	13.34	13.23	72044.78
1607184000	13.28	13.23	13.29	13.15	69765.68
1607187600	13.23	13.28	13.28	13.15	60115.44
1607191200	13.28	13.19	13.29	13.17	46559.28
1607194800	13.19	13.25	13.27	13.17	49837.35
1607198400	13.25	13.13	13.27	13.06	116325.08
1607202000	13.13	13.09	13.26	13.09	109464.84
1607205600	13.09	13.11	13.12	13.06	80964.92
1607209200	13.11	13.18	13.18	13.09	49433.23
1607212800	13.18	13.37	13.39	13.18	169445.19
1607216400	13.37	13.38	13.38	13.32	82593.16
1607220000	13.38	13.32	13.38	13.3	45854.55
1607223600	13.32	13.21	13.32	13.18	62907.93
1607227200	13.21	13.19	13.24	13.15	31735.57
1607230800	13.19	13.18	13.22	13.13	29880.93
1607234400	13.18	13.13	13.23	13.12	76108.39
1607238000	13.13	13.18	13.23	13.13	62757.45
1607241600	13.18	13.11	13.2	13.07	51946.03
1607245200	13.11	13.02	13.14	12.97	38860.44
1607248800	13.02	13.02	13.04	12.96	43289.55
1607252400	13.02	13.05	13.06	12.92	34755.34
1607256000	13.05	12.91	13.06	12.88	85699.23
1607259600	12.91	12.89	12.99	12.78	74894.92
1607263200	12.89	13.14	13.17	12.86	62532.89
1607266800	13.14	13.13	13.22	13.12	49434.92
1607270400	13.13	13.12	13.24	13.07	59886.85
1607274000	13.12	13.12	13.16	13.09	43969.34
1607277600	13.12	13.16	13.2	13.1	46530.24
1607281200	13.16	13.38	13.49	13.15	172142.54
1607284800	13.38	13.31	13.39	13.27	96005.77
1607288400	13.31	13.36	13.43	13.29	51779.21
1607292000	13.36	13.3	13.43	13.22	80945.06
1607295600	13.3	13.51	13.53	13.3	111670.31
1607299200	13.51	13.38	13.56	13.37	52535.63
1607302800	13.38	13.35	13.39	13.29	49500.58
1607306400	13.35	13.27	13.37	13.26	50561.85
1607310000	13.27	13.28	13.3	13.25	42327.6
1607313600	13.28	13.31	13.32	13.28	40746.53
1607317200	13.31	13.26	13.33	13.26	35490.8
1607320800	13.26	13.23	13.33	13.23	31879.39
1607324400	13.23	13.3	13.3	13.2	71577.07
1607328000	13.3	13.16	13.31	13.15	52421.55
1607331600	13.16	13.14	13.16	13.13	19127.62
1607335200	13.14	13.1	13.16	13.07	38921.67
1607338800	13.1	13.05	13.15	13.05	41938.95
1607342400	13.05	13.2	13.22	13.01	51683.36
1607346000	13.2	13.22	13.26	13.17	30023.0
1607349600	13.22	13.2	13.29	13.12	74331.27
1607353200	13.2	13.21	13.23	13.16	51371.28
1607356800	13.21	13.17	13.25	13.16	69614.54
1607360400	13.17	13.12	13.21	13.09	56100.85
1607364000	13.12	12.94	13.13	12.88	157430.12
1607367600	12.94	12.96	12.99	12.91	75265.13
1607371200	12.96	12.97	13.02	12.91	57795.89
1607374800	12.97	13.01	13.06	12.95	37624.22
1607378400	13.01	13.05	13.07	13.0	61787.06
1607382000	13.05	13.07	13.14	13.02	42523.56
1607385600	13.07	13.11	13.13	13.04	77741.9
1607389200	13.11	13.1	13.16	13.07	51728.96
1607392800	13.1	13.04	13.1	13.01	130589.45
1607396400	13.04	13.06	13.06	13.01	57328.51
1607400000	13.06	13.1	13.12	13.04	54065.16
1607403600	13.1	13.17	13.17	13.09	44168.31
1607407200	13.17	13.13	13.19	13.07	59981.67
1607410800	13.13	13.07	13.14	13.07	30436.24
1607414400	13.07	12.96	13.09	12.91	31288.59
1607418000	12.96	12.62	12.98	12.57	190951.69
1607421600	12.62	12.67	12.75	12.57	63563.64
1607425200	12.67	12.54	12.71	12.52	118695.45
1607428800	12.54	12.52	12.63	12.4	156724.18
1607432400	12.52	12.68	12.69	12.52	112091.53
1607436000	12.68	12.63	12.72	12.63	89162.52
1607439600	12.63	12.6	12.67	12.57	122991.05
1607443200	12.6	12.52	12.67	12.37	184741.41
1607446800	12.52	12.66	12.68	12.51	124068.93
1607450400	12.66	12.51	12.67	12.51	115005.08
1607454000	12.51	12.51	12.62	12.5	60331.91
1607457600	12.51	12.2	12.56	12.16	211474.61
1607461200	12.2	12.26	12.33	12.16	267419.97
1607464800	12.26	12.01	12.32	12.01	206584.53
1607468400	12.01	12.14	12.23	11.99	246630.99
1607472000	12.14	11.83	12.15	11.78	459972.16
1607475600	11.83	11.82	11.98	11.61	541351.41
1607479200	11.82	11.97	12.07	11.77	252295.15
1607482800	11.97	11.98	12.02	11.88	196199.03
1607486400	11.98	11.9	12.02	11.89	121308.88
1607490000	11.9	11.94	11.98	11.87	87151.13
1607493600	11.94	12.05	12.05	11.94	63507.49
1607497200	12.05	11.71	12.05	11.68	142973.64
1607500800	11.71	11.89	11.91	11.58	292185.17
1607504400	11.89	12.11	12.13	11.89	113860.53
1607508000	12.11	12.21	12.24	12.03	90981.89
1607511600	12.21	12.22	12.33	12.16	61039.44
1607515200	12.22	12.23	12.38	12.2	107092.66
1607518800	12.23	12.41	12.41	12.2	136683.16
1607522400	12.41	12.41	12.44	12.34	193285.29
1607526000	12.41	12.31	12.42	12.24	113861.33
1607529600	12.31	12.39	12.39	12.17	123848.58
1607533200	12.39	12.44	12.55	12.34	255124.75
1607536800	12.44	12.32	12.48	12.3	78135.8
1607540400	12.32	12.39	12.42	12.32	54313.87
1607544000	12.39	12.51	12.55	12.39	112646.66
1607547600	12.51	12.59	12.64	12.48	128671.75
1607551200	12.59	12.7	12.82	12.58	203415.88
1607554800	12.7	12.63	12.76	12.61	74642.73
1607558400	12.63	12.52	12.67	12.52	108280.73
1607562000	12.52	12.5	12.57	12.43	80028.07
1607565600	12.5	12.43	12.54	12.4	99094.32
1607569200	12.43	12.37	12.46	12.37	143125.55
1607572800	12.37	12.32	12.47	12.31	82228.9
1607576400	12.32	12.29	12.38	12.25	69588.22
1607580000	12.29	12.17	12.32	12.17	49030.56
1607583600	12.17	12.26	12.3	12.16	31439.8
1607587200	12.26	12.32	12.39	12.26	88112.03
1607590800	12.32	12.17	12.36	12.15	59185.15
1607594400	12.17	12.14	12.21	12.12	45132.26
1607598000	12.14	12.14	12.2	12.11	35082.01
1607601600	12.14	12.2	12.28	12.14	69300.73
1607605200	12.2	12.18	12.21	12.03	133596.31
1607608800	12.18	12.02	12.19	12.01	56883.52
1607612400	12.02	12.08	12.08	11.83	218977.81
1607616000	12.08	12.06	12.1	12.0	69220.09
1607619600	12.06	12.04	12.07	11.98	75109.34
1607623200	12.04	12.05	12.11	12.01	88065.44
1607626800	12.05	12.1	12.12	11.97	166871.95
1607630400	12.1	12.15	12.19	12.06	95733.66
1607634000	12.15	12.04	12.16	12.03	139763.62
1607637600	12.04	12.02	12.08	12.01	128468.92
1607641200	12.02	11.9	12.05	11.89	171460.37
