time	open	close	high	low	volumefrom
1397577600	8.2	13.4	13.4	8.2	0.0002227
1397581200	13.0	13.23	13.23	13.0	1.196
1397592000	12.4	12.48	12.48	12.48	3.66
1397595600	12.48	12.69	12.69	12.46	60.27
1397599200	13.4	13.9	13.9	13.4	0.1346
1397602800	12.81	13.41	13.41	13.4	108.54
1397606400	12.94	13.23	13.5	12.94	2.015
1397610000	12.41	13.37	13.37	12.63	0.3906
1397617200	13.19	13.55	13.55	13.04	0.01523
1397620800	13.55	13.7	13.7	13.65	0.006792
1397628000	13.23	13.56	13.56	13.23	3.604
1397631600	13.56	13.56	13.56	13.56	0.09977
1397638800	13.56	13.22	13.72	13.22	29.84
1397642400	13.22	12.49	13.22	12.49	0.08015
1397646000	12.49	13.23	13.23	12.49	1.132
1397653200	13.23	13.21	13.23	12.77	10.87
1397685600	13.21	13.38	13.38	13.21	4.601
1397692800	13.43	13.37	13.37	13.37	0.009409
1397700000	13.15	13.86	13.86	13.18	0.3948
1397703600	13.38	13.15	13.38	13.15	0.1998
1397721600	13.15	13.15	13.17	13.15	1.996
1397725200	13.15	13.15	13.15	13.15	1.945
1397728800	13.08	12.99	12.99	12.99	0.02419
1397743200	13.3	13.63	13.63	13.27	0.007096
1397761200	13.41	14.03	14.03	13.53	0.2736
1397768400	13.9	15.0	15.0	13.9	5.49
1397772000	12.08	14.54	14.54	12.16	2.444
1397779200	15.0	15.0	15.0	15.0	1.629
1397797200	15.0	14.0	15.0	14.0	0.4139
1397811600	13.15	12.4	13.15	12.4	4.775
1397815200	12.4	12.8	12.8	12.4	10.55
1397826000	12.24	11.89	11.89	11.89	1.057
1397833200	12.8	12.29	12.8	12.28	4.629
1397836800	12.29	12.06	12.29	12.06	2.481
1397840400	13.86	11.8	13.82	11.8	0.01257
1397844000	12.06	12.45	12.45	12.06	4.2
1397851200	11.91	11.9	11.9	11.9	0.0185
1397858400	11.99	11.9	11.9	11.9	0.3469
1397862000	12.45	12.57	12.57	12.18	0.6125
1397865600	12.57	12.25	12.57	12.24	0.2
1397869200	12.25	12.47	12.48	12.25	24.68
1397872800	13.24	13.25	13.25	13.25	0.1012
1397876400	15.0	15.0	15.0	15.0	0.9809
1397880000	13.22	13.06	13.63	13.06	0.048
1397883600	15.0	15.0	15.0	15.0	6.99
1397887200	15.0	15.0	15.0	15.0	1.497
1397894400	15.0	15.0	15.0	15.0	0.4019
1397901600	12.47	12.77	12.77	12.47	0.768
1397959200	12.48	13.98	13.98	12.56	0.0215
1397973600	14.16	14.14	14.14	14.14	0.016
1397984400	12.77	13.48	13.48	12.77	13.47
1397995200	14.04	12.51	13.76	12.51	0.01
1397998800	12.51	12.42	12.57	12.42	0.025
1398009600	13.48	12.73	13.48	12.73	0.2496
1398020400	12.31	12.36	12.36	12.21	0.3899
1398024000	12.2	15.0	15.0	12.2	5.231
1398027600	15.0	15.0	15.0	15.0	4.709
1398042000	15.0	12.2	15.0	12.2	0.04044
1398052800	12.2	14.5	14.5	12.2	0.04179
1398067200	14.5	13.5	14.5	13.5	0.0001111
1398085200	13.5	12.64	13.5	12.64	0.41
1398088800	12.64	12.64	12.64	12.64	1.31
1398092400	12.49	12.46	12.46	12.46	0.0417
1398096000	12.64	12.64	12.64	12.64	2.99
1398103200	12.64	14.5	14.5	12.64	0.0663
1398106800	14.5	12.64	14.5	12.64	0.1
1398110400	12.39	13.29	13.29	12.59	5.193
1398121200	12.42	13.62	13.62	12.38	0.8155
1398124800	13.62	13.91	13.91	13.66	0.01108
1398135600	12.64	14.98	14.98	12.64	0.0002665
1398142800	14.05	12.49	13.99	12.49	0.1874
1398153600	14.98	12.35	14.98	12.35	0.125
1398157200	12.39	12.32	12.32	12.32	0.1004
1398160800	12.73	12.53	12.73	12.53	1.04
1398182400	13.3	12.03	13.26	12.03	0.3965
1398200400	12.53	5.0	12.53	5.0	25.44
1398225600	12.35	14.85	14.85	12.35	0.2839
1398236400	5.0	12.65	12.65	5.0	0.4798
1398243600	11.92	11.93	11.93	11.93	25.0
1398250800	14.85	12.1	14.85	12.1	0.4172
1398258000	12.9	12.84	12.84	12.84	0.08
1398261600	12.1	12.1	12.1	12.1	0.3808
1398268800	12.65	12.18	12.65	12.18	0.3639
1398304800	12.94	12.92	12.92	12.92	0.0029
1398312000	12.18	12.08	12.18	12.08	4.405
1398319200	12.88	11.87	12.74	11.87	2.496
1398322800	11.87	11.6	11.94	11.6	1.504
1398326400	11.6	11.6	11.6	11.6	1.0
1398330000	12.1	11.21	12.1	11.21	0.000327
1398340800	11.63	11.64	11.64	11.64	0.17
1398351600	11.74	11.72	11.72	11.68	0.001597
1398358800	11.75	11.73	11.78	11.73	0.6989
1398380400	12.08	12.88	12.88	12.08	1.0
1398391200	11.21	11.3	11.3	11.21	0.06861
1398398400	12.88	11.87	12.88	11.87	73.48
1398402000	11.34	11.49	11.49	11.45	40.0
1398405600	11.87	11.5	11.87	11.5	75.97
1398409200	11.5	11.14	11.5	11.14	33.14
1398423600	11.17	10.65	10.65	10.65	0.4285
1398427200	10.65	11.56	11.56	9.854	0.1654
1398438000	14.3	11.0	14.3	11.0	0.06
1398441600	11.71	10.05	11.78	10.05	0.2
1398452400	10.05	11.85	11.85	10.15	0.001825
1398474000	11.14	11.0	11.14	11.0	16.76
1398495600	11.68	11.25	11.66	11.25	0.001724
1398499200	11.0	11.0	11.0	11.0	0.49
1398510000	11.0	12.0	12.0	11.0	0.0007846
1398517200	11.07	11.29	11.29	11.07	10.0
1398520800	11.0	10.97	11.0	10.97	2.047
1398524400	10.97	11.11	11.11	10.97	51.68
1398535200	11.0	1.2	11.0	1.2	0.3141
1398542400	11.11	11.04	11.11	11.04	1.001
1398546000	11.04	10.8	11.04	10.8	0.1998
1398574800	10.8	10.74	10.8	10.74	1.0
1398578400	1.2	12.0	12.0	1.2	0.01
1398600000	11.38	11.38	11.42	11.38	0.96
1398603600	11.33	10.96	11.33	10.96	0.02096
1398607200	10.96	11.28	11.28	10.91	0.8393
1398610800	11.28	10.13	11.26	10.13	0.1027
1398614400	10.74	10.54	10.98	10.54	56.77
1398618000	11.19	10.1	10.93	10.1	0.0091
1398621600	10.54	10.63	10.63	10.54	4.457
1398625200	10.63	11.48	11.48	10.63	0.474
1398628800	11.48	11.46	11.48	11.46	0.01439
1398632400	10.26	10.19	10.63	10.19	0.9034
1398636000	10.19	10.37	10.37	10.15	11.4
1398639600	11.46	10.31	11.46	10.31	1.0
1398643200	10.31	10.14	10.31	10.14	12.17
1398646800	9.718	9.795	9.88	9.686	310.43
1398650400	10.14	9.977	10.14	9.977	17.19
1398657600	9.977	10.07	10.07	9.977	18.75
1398661200	10.56	10.56	10.56	10.56	0.05564
1398664800	10.07	10.08	10.08	10.07	7.007
1398682800	10.08	10.14	10.17	10.08	2.0
1398686400	10.85	9.845	10.76	9.845	0.159
1398690000	10.31	10.36	10.36	10.31	1.0
1398704400	10.36	10.38	10.39	10.36	1.998
1398708000	10.38	10.59	10.59	10.39	0.2347
1398711600	10.59	10.46	10.59	10.42	3.204
1398715200	10.21	10.18	10.18	10.18	0.02659
1398722400	10.46	10.4	10.46	10.4	18.0
1398729600	10.4	10.29	10.4	10.29	0.03
1398765600	9.995	10.06	10.06	10.06	0.103
1398769200	10.29	10.49	10.49	10.29	48.85
1398772800	10.49	10.52	10.55	10.44	9.97
1398780000	10.52	10.72	10.72	10.41	0.1498
1398798000	10.72	10.56	10.72	10.56	8.11
1398801600	10.61	10.91	10.91	10.51	0.0004218
1398812400	11.12	11.06	11.06	11.06	0.003919
1398816000	11.06	11.47	11.47	11.07	0.1126
1398830400	10.56	10.58	10.58	10.56	1.89
1398834000	10.58	10.97	10.97	10.58	35.62
1398837600	10.97	11.19	11.19	10.92	27.79
1398841200	11.19	10.67	11.19	10.67	25.92
1398844800	10.67	10.54	10.67	10.54	223.8
1398848400	10.54	10.7	10.7	10.54	20.64
1398855600	10.7	10.91	10.91	10.7	3.0
1398862800	10.91	11.17	11.17	10.91	0.05583
1398866400	10.22	10.3	10.3	10.22	0.000319
1398870000	11.17	11.11	11.17	11.11	0.1257
1398880800	10.97	10.4	10.98	10.4	0.1667
1398884400	10.35	10.5	10.73	10.32	0.3268
1398898800	10.57	10.7	10.7	10.47	0.001124
1398909600	11.11	11.15	11.15	11.11	6.0
1398924000	11.15	11.42	11.42	11.15	0.387
1398927600	11.5	9.1	11.5	9.1	0.01272
1398931200	10.97	12.28	12.28	10.91	0.2151
1398934800	12.28	12.68	12.68	12.27	0.1497
1398938400	12.68	12.59	12.59	12.59	0.01029
1398942000	12.59	10.94	12.66	10.94	0.01048
1398956400	11.42	11.04	11.42	11.04	28.0
1398963600	9.1	9.12	9.12	9.1	1.996e-05
1398967200	11.04	11.3	11.3	11.04	0.74
1398970800	10.66	11.78	11.78	10.64	19.46
1398974400	11.78	11.4	11.72	11.4	1.5
1398978000	11.4	11.44	11.44	11.44	38.5
1398981600	9.12	10.5	10.5	9.12	0.02049
1398988800	11.05	12.44	12.44	11.06	0.01219
1398992400	12.44	12.85	12.85	12.43	0.003833
1399010400	12.67	10.85	12.61	10.85	0.01062
1399021200	11.3	10.82	11.3	10.82	4.96
1399024800	10.75	10.76	10.76	10.76	0.1752
1399039200	10.71	12.46	12.46	10.72	0.04052
1399042800	10.5	11.0	11.0	10.5	0.1
1399050000	10.82	10.93	10.93	10.82	1.001
1399053600	12.51	10.77	12.52	10.77	0.007404
1399057200	10.93	10.72	10.93	10.72	13.0
1399068000	10.72	10.78	11.0	10.72	84.97
1399071600	11.28	10.89	11.34	10.89	21.99
1399078800	10.78	10.38	10.78	10.38	20.0
1399086000	10.38	10.8	10.8	10.38	0.1389
1399089600	10.8	10.96	10.96	10.8	31.43
1399104000	10.66	12.31	12.31	10.59	3.447
1399107600	12.31	12.3	12.3	12.3	2.587
1399118400	10.96	10.65	10.96	10.65	7.536
1399125600	10.65	10.6	10.65	10.6	3.8
1399132800	10.6	10.49	10.6	10.49	0.999
1399136400	10.49	10.39	10.49	10.39	1.02
1399143600	12.25	10.41	12.23	10.41	1.967
1399154400	10.58	10.55	10.55	10.55	0.2751
1399158000	10.55	10.53	10.53	10.53	4.12
1399161600	10.53	10.54	10.54	10.54	6.078
1399176000	10.58	10.52	10.52	10.52	0.3999
1399190400	10.39	10.34	10.39	10.34	16.04
1399204800	10.34	10.33	10.34	10.33	15.97
1399212000	10.33	10.44	10.58	10.33	2.437
1399215600	10.44	10.43	10.44	10.43	8.74
1399219200	10.43	10.44	10.44	10.43	0.3339
1399222800	10.11	10.09	10.09	10.09	0.01045
1399226400	10.09	11.56	11.56	10.12	0.01887
1399237200	11.61	12.33	12.33	11.59	0.05073
1399240800	10.44	10.5	10.5	10.44	6.892
1399258800	12.38	10.05	12.32	10.05	1.099
1399266000	10.1	9.987	10.25	9.987	0.1208
1399273200	10.03	9.845	9.845	9.845	0.6723
1399284000	9.882	10.79	10.79	9.925	0.0006
1399291200	10.81	10.44	10.88	10.44	0.8006
1399298400	10.5	10.4	10.5	10.4	13.38
1399302000	10.3	10.11	10.32	10.11	0.1158
1399305600	10.4	11.27	11.27	10.4	1.0
1399312800	11.27	10.29	11.27	10.29	0.0009997
1399320000	10.13	10.2	10.2	10.2	0.357
1399323600	10.2	10.14	10.14	10.14	0.3569
1399334400	10.13	10.39	10.39	10.18	0.05406
1399341600	10.29	10.28	10.29	10.28	15.69
1399356000	10.28	10.37	10.37	10.11	8.293
1399359600	11.0	12.5	12.5	10.5	0.1773
1399363200	10.37	10.54	10.54	10.37	15.2
1399374000	10.54	10.59	10.61	10.54	1.284
1399381200	12.5	12.5	12.5	12.5	0.1032
1399384800	10.35	10.29	10.29	10.29	0.01
1399395600	10.59	10.46	10.59	10.46	13.81
1399399200	10.3	9.876	10.3	9.876	0.01039
1399402800	10.46	10.71	10.71	10.46	0.35
1399406400	10.71	10.56	10.71	10.32	3.936
1399420800	9.94	9.948	9.948	9.948	0.1132
1399428000	12.5	9.235	12.5	9.235	0.1562
1399438800	10.56	10.47	10.56	10.47	0.01535
1399446000	10.47	10.47	10.47	10.47	14.82
1399456800	9.966	9.758	9.758	9.758	1.085
1399460400	9.758	10.16	10.16	10.16	0.4687
1399471200	10.13	10.6	10.6	10.16	1.365
1399478400	10.47	10.68	10.87	10.47	1.194
1399485600	10.68	10.7	10.7	10.68	9.03
1399489200	10.7	9.964	10.4	9.964	0.1137
1399500000	10.24	10.25	10.25	10.25	0.01035
1399525200	10.46	10.4	10.4	10.4	0.019
1399539600	10.7	10.77	11.11	10.7	20.07
1399550400	10.31	10.21	10.21	10.21	0.001822
1399554000	10.21	10.22	10.22	10.22	0.7857
1399564800	10.23	11.06	11.06	10.18	0.03611
1399586400	12.0	9.26	12.0	9.26	0.11
1399597200	10.77	10.73	10.77	10.73	0.2002
1399604400	10.36	11.13	11.13	10.46	0.218
1399611600	10.73	10.54	10.73	10.54	3.64
1399615200	10.54	10.6	10.6	10.54	2.749
1399622400	10.6	10.59	10.6	10.59	5.84
1399626000	11.09	10.46	11.13	10.46	0.5371
1399633200	10.51	10.45	10.45	10.45	0.5988
1399640400	10.59	10.63	10.63	10.59	6.14
1399644000	10.63	10.6	10.67	10.57	19.39
1399647600	10.6	11.03	11.03	10.6	5.366
1399651200	11.03	11.03	11.03	11.03	9.822
1399658400	11.03	11.03	11.03	10.38	0.08025
1399665600	11.03	9.89	11.03	9.89	2.0
1399683600	9.89	10.95	10.95	9.89	2.002
1399687200	10.73	10.72	10.72	10.72	0.001018
1399701600	10.95	11.02	11.02	10.6	1.92
1399705200	10.76	10.5	10.73	10.5	2.663
1399723200	11.02	10.79	11.02	10.79	13.35
1399730400	10.79	10.81	10.81	10.79	0.02016
1399734000	10.81	10.81	10.81	10.81	0.707
1399737600	10.81	10.81	10.81	10.81	0.5323
1399744800	10.81	10.8	10.98	10.8	0.725
1399752000	10.35	10.99	10.99	10.4	3.003
1399766400	10.98	10.39	10.98	10.39	0.2574
1399770000	10.39	10.42	10.42	10.42	0.8031
1399780800	10.36	10.36	10.36	10.36	0.01095
1399784400	10.36	10.38	10.38	10.38	2.257
1399788000	10.0	10.0	10.0	10.0	5.988e-05
1399791600	10.36	10.29	10.29	10.29	0.2815
1399798800	10.8	10.73	10.8	10.73	12.71
1399813200	10.27	9.973	10.19	9.973	0.3
1399816800	10.73	10.63	10.73	10.63	1.201
1399824000	9.899	10.9	10.9	9.812	0.001171
1399834800	10.63	10.37	10.63	10.37	103.82
1399838400	10.37	10.34	10.37	10.34	3.765
1399845600	9.007	9.007	9.007	9.007	0.048
1399852800	9.007	9.007	9.007	9.007	0.09
1399867200	10.79	9.738	10.82	9.738	0.01497
1399878000	10.34	10.45	10.45	10.34	73.18
1399881600	10.45	10.45	10.45	10.45	24.0
1399885200	11.37	11.34	11.34	11.34	0.043
1399888800	9.007	9.007	9.007	9.007	0.1
1399899600	10.45	10.45	10.45	10.45	1.97
1399917600	11.44	10.09	11.4	10.09	0.06087
1399932000	10.45	10.46	10.67	10.45	33.45
1399935600	10.08	9.64	10.08	9.64	9.999
1399960800	10.46	10.45	10.46	10.45	0.08989
1399964400	10.45	10.45	10.45	10.45	0.1292
1399968000	10.45	10.45	10.45	10.45	3.138
1399978800	9.612	10.07	10.07	9.628	0.00055
1399986000	10.07	9.995	9.995	9.995	0.2017
1399989600	9.995	9.977	9.977	9.977	0.3027
1399996800	10.45	10.4	10.45	10.4	9.98
1400004000	10.4	10.35	10.4	10.35	14.14
1400007600	10.35	10.36	10.36	10.35	0.82
1400025600	9.98	10.15	10.15	10.15	49.69
1400036400	10.06	10.12	10.12	10.12	0.3058
1400040000	10.36	10.45	10.45	10.36	0.09556
1400043600	10.45	10.45	10.45	10.45	0.04666
1400047200	10.45	10.4	10.45	10.4	5.935
