time	open	close	high	low	volumefrom
1611932400	0.4262	0.4187	0.4262	0.4174	167344.01
1611936000	0.4187	0.4122	0.4205	0.4111	170562.95
1611939600	0.4122	0.4116	0.415	0.4102	97496.51
1611943200	0.4116	0.4038	0.4131	0.3976	953792.45
1611946800	0.4038	0.3993	0.4038	0.3957	156326.96
1611950400	0.3993	0.4023	0.4037	0.3981	124157.78
1611954000	0.4023	0.4045	0.4045	0.3992	87460.77
1611957600	0.4045	0.4054	0.408	0.4045	47889.17
1611961200	0.4054	0.4119	0.413	0.4018	191189.95
1611964800	0.4119	0.4093	0.4131	0.4074	67121.96
1611968400	0.4093	0.4049	0.4125	0.404	41468.22
1611972000	0.4047	0.4038	0.4041	0.3965	39192.79
1611975600	0.4047	0.4013	0.4058	0.3998	29641.23
1611979200	0.4013	0.4041	0.4047	0.4012	25318.89
1611982800	0.4041	0.404	0.4058	0.4013	14101.12
1611986400	0.404	0.4058	0.4058	0.3991	34599.43
1611990000	0.4058	0.4024	0.4058	0.4012	22955.2
1611993600	0.4024	0.4013	0.4058	0.4013	28968.0
1611997200	0.4013	0.4038	0.4046	0.4012	16223.12
1612000800	0.4038	0.4049	0.405	0.4007	31769.67
1612004400	0.4049	0.4033	0.405	0.4019	28559.83
1612008000	0.4033	0.404	0.4048	0.4025	77579.96
1612011600	0.404	0.4082	0.4082	0.404	15381.26
1612015200	0.4082	0.4104	0.413	0.4082	121734.31
1612018800	0.4104	0.4135	0.4152	0.4104	68529.56
1612022400	0.4135	0.41	0.4154	0.4058	394465.28
1612026000	0.41	0.433	0.4405	0.41	684430.39
1612029600	0.433	0.4422	0.4441	0.4285	385283.05
1612033200	0.4422	0.4322	0.4422	0.4264	384135.23
1612036800	0.4322	0.4242	0.4354	0.4231	113412.88
1612040400	0.4242	0.4325	0.4325	0.4242	34725.93
1612044000	0.4325	0.4279	0.4325	0.4279	34760.62
1612047600	0.4279	0.428	0.434	0.4261	50193.66
1612051200	0.428	0.4364	0.4401	0.428	241126.26
1612054800	0.4364	0.4325	0.4392	0.4255	223379.92
1612058400	0.4325	0.4259	0.433	0.4228	168312.67
1612062000	0.4259	0.4233	0.4273	0.4218	56572.89
1612065600	0.4233	0.427	0.4272	0.4233	55385.9
1612069200	0.427	0.4191	0.427	0.4172	85974.2
1612072800	0.4191	0.4172	0.4192	0.4152	26487.06
1612076400	0.4172	0.4155	0.4213	0.4147	18278.61
1612080000	0.4155	0.4203	0.4211	0.4138	26986.58
1612083600	0.4203	0.4208	0.4216	0.4189	37190.47
1612087200	0.4208	0.4215	0.4243	0.4183	36215.5
1612090800	0.4215	0.4205	0.422	0.4194	43939.12
1612094400	0.4205	0.4334	0.438	0.42	433690.54
1612098000	0.4334	0.4287	0.4363	0.4287	95324.2
1612101600	0.4287	0.421	0.43	0.4201	178764.71
1612105200	0.421	0.414	0.421	0.4061	188556.58
1612108800	0.414	0.4138	0.4143	0.4081	152374.4
1612112400	0.4138	0.4033	0.4138	0.4031	169167.01
1612116000	0.4033	0.3977	0.4093	0.3968	280323.02
1612119600	0.3977	0.4078	0.4078	0.3971	31473.11
1612123200	0.4078	0.4049	0.4101	0.4027	102890.2
1612126800	0.4049	0.4021	0.4055	0.401	137851.8
1612130400	0.4021	0.4059	0.4063	0.4006	113579.25
1612134000	0.4059	0.4068	0.4079	0.4035	77392.64
1612137600	0.4068	0.3984	0.4068	0.395	173539.35
1612141200	0.3984	0.4045	0.4058	0.3984	25466.02
1612144800	0.4045	0.4038	0.405	0.4034	9943.5
1612148400	0.4038	0.4055	0.4057	0.4029	53038.38
1612152000	0.4055	0.4133	0.414	0.4034	93844.34
1612155600	0.4133	0.4145	0.4153	0.4105	42574.47
1612159200	0.4145	0.4097	0.4169	0.4052	237100.87
1612162800	0.4097	0.4174	0.4223	0.4096	236394.3
1612166400	0.4174	0.4129	0.4227	0.4125	148581.11
1612170000	0.4129	0.4184	0.4226	0.4121	159676.11
1612173600	0.4184	0.4178	0.4201	0.4161	67568.76
1612177200	0.4178	0.4162	0.4234	0.4132	409354.7
1612180800	0.4162	0.4193	0.4254	0.4162	257233.18
