time	open	close	high	low	volumefrom
1583571600	12.29	12.37	12.39	12.32	19892.62
1583575200	12.37	12.22	12.3	12.21	31003.05
1583578800	12.22	12.23	12.28	12.22	20729.56
1583582400	12.23	12.19	12.23	12.17	23552.2
1583586000	12.19	12.14	12.19	12.13	25718.61
1583589600	12.14	12.19	12.21	12.17	34731.35
1583593200	12.19	12.33	12.43	12.31	33798.1
1583596800	12.34	12.08	12.24	12.07	88346.47
1583600400	12.08	11.76	11.95	11.71	136335.18
1583604000	11.74	11.74	11.74	11.64	33844.25
1583607600	11.74	11.74	11.77	11.69	18016.05
1583611200	11.74	11.71	11.74	11.67	24515.59
1583614800	11.71	11.68	11.75	11.66	32907.0
1583618400	11.68	11.76	11.77	11.7	40627.58
1583622000	11.76	11.63	11.64	11.58	27369.67
1583625600	11.61	11.45	11.5	11.34	92804.23
1583629200	11.42	11.36	11.39	11.33	26987.89
1583632800	11.36	11.27	11.31	11.22	32384.38
1583636400	11.27	11.35	11.39	11.33	25323.99
1583640000	11.35	11.33	11.37	11.32	25373.24
1583643600	11.33	11.32	11.33	11.26	24874.4
1583647200	11.32	11.22	11.3	11.21	33200.6
1583650800	11.22	11.32	11.34	11.28	27414.67
1583654400	11.32	11.29	11.32	11.25	26570.52
1583658000	11.29	11.28	11.35	11.27	31696.58
1583661600	11.28	11.29	11.38	11.29	38031.62
1583665200	11.29	11.3	11.32	11.27	18612.93
1583668800	11.3	11.02	11.08	10.98	35532.04
1583672400	11.02	11.02	11.05	10.94	27705.18
1583676000	11.03	10.87	10.97	10.81	71767.18
1583679600	10.87	10.65	10.69	10.5	109755.25
1583683200	10.65	10.54	10.57	10.23	165087.37
1583686800	10.54	10.67	10.75	10.53	107587.91
1583690400	10.67	10.65	10.67	10.55	65238.1
1583694000	10.63	10.56	10.66	10.53	20250.22
1583697600	10.56	10.45	10.45	10.36	17220.73
1583701200	10.45	10.46	10.51	10.39	25463.66
1583704800	10.44	10.28	10.37	10.28	67864.16
1583708400	10.28	10.06	10.25	9.983	88843.57
1583712000	10.06	10.06	10.26	10.02	147840.23
1583715600	10.06	10.12	10.16	10.06	27558.41
1583719200	10.12	9.984	9.984	9.911	23020.41
1583722800	9.984	10.07	10.07	9.984	28703.48
1583726400	10.07	9.911	9.919	9.738	87017.55
1583730000	9.911	10.13	10.16	9.958	133735.91
1583733600	10.12	10.11	10.22	10.08	28491.24
1583737200	10.11	10.19	10.23	10.16	19688.43
1583740800	10.21	10.29	10.35	10.25	81654.0
1583744400	10.28	10.14	10.19	10.07	23194.83
1583748000	10.14	10.13	10.18	10.12	14496.01
1583751600	10.15	9.997	10.05	9.95	72205.37
1583755200	9.997	10.04	10.12	10.04	86632.57
1583758800	10.04	9.807	9.971	9.76	128359.6
1583762400	9.807	9.721	9.814	9.69	112251.84
1583766000	9.721	9.624	9.764	9.554	116923.28
1583769600	9.624	9.623	9.693	9.506	103941.14
1583773200	9.623	9.486	9.563	9.455	84834.57
1583776800	9.486	9.537	9.56	9.475	60224.22
1583780400	9.537	9.676	9.738	9.644	66136.7
1583784000	9.676	9.659	9.691	9.612	67418.47
1583787600	9.637	9.642	9.656	9.526	23923.41
1583791200	9.642	9.773	9.821	9.739	23559.03
1583794800	9.794	9.923	9.931	9.795	70134.77
1583798400	9.91	9.905	9.962	9.856	34031.84
1583802000	9.905	9.757	9.834	9.749	24898.98
1583805600	9.757	9.736	9.778	9.705	26589.07
1583809200	9.736	9.828	9.86	9.801	22504.23
1583812800	9.828	9.849	9.859	9.8	27300.03
1583816400	9.849	9.916	9.916	9.803	27597.24
1583820000	9.916	9.807	9.831	9.785	28937.51
1583823600	9.807	9.747	9.785	9.73	24277.85
1583827200	9.747	9.83	9.83	9.754	19020.55
1583830800	9.83	9.791	9.824	9.781	16189.91
1583834400	9.789	10.04	10.08	9.978	64535.57
1583838000	10.04	10.07	10.11	10.05	67446.66
1583841600	10.07	10.19	10.21	10.15	64117.55
1583845200	10.19	10.12	10.13	10.07	69126.27
1583848800	10.12	10.04	10.11	10.04	73723.87
1583852400	10.04	9.651	9.729	9.651	136798.46
1583856000	9.651	9.815	9.855	9.745	76174.74
1583859600	9.815	9.858	9.873	9.787	60665.52
1583863200	9.851	9.801	9.823	9.749	24492.83
1583866800	9.801	9.944	9.963	9.908	18924.71
1583870400	9.98	10.0	10.01	9.956	76247.12
1583874000	9.994	9.954	9.968	9.903	20532.97
1583877600	9.954	9.978	10.0	9.962	18426.99
1583881200	9.98	9.86	9.924	9.845	64789.67
1583884800	9.868	9.959	9.971	9.919	17714.52
1583888400	9.959	9.923	10.02	9.923	31789.54
1583892000	9.923	9.844	9.913	9.822	41790.82
1583895600	9.844	9.915	9.917	9.891	13579.04
1583899200	9.915	9.856	9.886	9.848	23435.28
1583902800	9.856	9.822	9.848	9.786	36956.58
1583906400	9.822	9.718	9.774	9.704	36832.67
1583910000	9.718	9.753	9.785	9.733	20613.91
1583913600	9.758	9.743	9.79	9.711	67651.93
1583917200	9.735	9.706	9.706	9.659	18159.46
1583920800	9.706	9.566	9.686	9.495	45174.37
1583924400	9.566	9.58	9.593	9.538	23350.37
1583928000	9.58	9.566	9.601	9.54	16565.89
1583931600	9.566	9.61	9.633	9.566	19431.85
1583935200	9.61	9.343	9.504	9.308	30313.79
1583938800	9.343	9.304	9.342	9.208	27310.8
1583942400	9.313	9.32	9.351	9.289	71072.31
1583946000	9.32	9.006	9.229	8.975	116714.17
1583949600	9.006	9.197	9.213	9.041	106671.07
1583953200	9.197	9.227	9.25	9.195	71930.09
1583956800	9.222	9.331	9.41	9.325	18681.18
1583960400	9.336	9.206	9.276	9.19	52489.38
1583964000	9.206	9.458	9.458	9.354	60784.77
1583967600	9.441	9.443	9.494	9.416	22836.82
1583971200	9.443	9.357	9.464	9.344	27587.15
1583974800	9.377	8.984	9.139	8.969	70978.26
1583978400	8.984	8.836	8.974	8.821	103150.28
1583982000	8.82	8.779	8.814	8.753	22612.85
1583985600	8.784	8.71	8.764	8.604	101049.88
1583989200	8.7	8.707	8.71	8.6	15632.13
1583992800	8.702	8.396	8.546	8.381	80634.18
1583996400	8.396	8.224	8.298	8.076	152420.11
1584000000	8.224	8.152	8.211	8.092	89003.95
1584003600	8.131	8.079	8.119	8.017	20000.53
1584007200	8.094	6.869	7.195	6.694	306983.16
1584010800	6.869	6.206	6.701	6.17	398890.1
1584014400	6.206	6.332	6.381	6.169	241365.34
1584018000	6.332	6.252	6.378	6.229	203209.88
1584021600	6.252	6.51	6.541	6.333	223159.34
1584025200	6.51	6.644	6.644	6.521	98239.71
1584028800	6.644	6.589	6.643	6.534	115009.66
1584032400	6.589	6.755	6.78	6.614	98066.11
1584036000	6.755	6.584	6.662	6.53	94558.31
1584039600	6.58	6.589	6.654	6.568	32020.83
1584043200	6.576	6.303	6.32	6.222	102218.25
1584046800	6.303	6.408	6.448	6.309	113562.74
1584050400	6.408	6.361	6.413	6.338	131364.24
1584054000	6.361	5.807	5.984	5.374	284770.79
1584057600	5.807	5.512	5.71	5.347	360048.66
1584061200	5.512	4.779	5.038	4.767	236492.22
1584064800	4.689	5.235	5.763	5.197	173143.06
1584068400	5.235	6.32	7.551	5.838	159510.61
1584072000	6.32	5.469	5.667	5.39	123700.64
1584075600	5.436	5.659	5.699	5.574	138087.24
1584079200	5.659	6.101	6.112	5.879	130798.88
1584082800	6.078	6.121	6.202	5.992	77237.88
1584086400	6.136	6.098	6.114	6.001	147443.65
1584090000	6.112	6.43	6.453	6.286	83671.55
1584093600	6.43	6.32	6.885	6.277	58688.68
1584097200	6.304	6.148	6.197	6.038	138861.28
1584100800	6.148	6.366	6.406	6.243	110003.25
1584104400	6.366	6.372	6.446	6.27	201519.63
1584108000	6.372	6.064	6.135	6.053	130939.01
1584111600	6.064	5.722	5.858	5.659	233637.03
1584115200	5.722	5.826	5.847	5.669	158976.04
1584118800	5.834	5.771	5.845	5.71	43531.98
1584122400	5.786	5.536	5.616	5.491	102628.15
1584126000	5.536	6.026	6.037	5.918	135684.56
1584129600	6.026	6.097	6.108	6.004	105317.75
1584133200	6.097	6.131	6.247	6.075	91577.2
1584136800	6.131	6.292	6.314	6.224	85711.29
1584140400	6.292	6.263	6.303	6.23	100800.06
1584144000	6.263	6.165	6.176	6.104	80720.83
1584147600	6.165	6.199	6.265	6.177	75835.32
1584151200	6.211	6.21	6.252	6.168	38769.96
1584154800	6.21	6.255	6.267	6.209	36077.98
1584158400	6.255	6.228	6.238	6.176	35406.79
1584162000	6.228	6.152	6.184	6.138	44056.41
1584165600	6.152	6.157	6.174	6.121	27886.19
1584169200	6.157	6.2	6.253	6.197	28741.05
1584172800	6.2	6.019	6.065	5.983	46851.95
1584176400	6.019	5.903	5.942	5.878	27088.17
1584180000	5.903	6.117	6.121	6.029	31397.04
1584183600	6.117	6.151	6.152	6.116	33981.3
1584187200	6.151	6.091	6.141	6.055	34499.35
1584190800	6.091	5.964	5.983	5.95	23975.11
1584194400	5.964	6.058	6.062	6.032	27688.74
1584198000	6.058	6.005	6.024	5.986	21853.84
1584201600	6.003	6.073	6.111	6.057	80725.52
1584205200	6.075	6.047	6.08	6.035	24119.24
1584208800	6.047	6.095	6.099	6.066	25090.09
1584212400	6.095	6.038	6.045	6.013	18844.25
1584216000	6.031	6.008	6.008	5.944	44948.46
1584219600	6.011	5.924	5.972	5.92	17015.08
1584223200	5.924	5.855	5.908	5.85	54883.64
1584226800	5.855	5.757	5.819	5.721	100665.05
1584230400	5.757	5.806	5.827	5.775	58787.3
1584234000	5.806	5.724	5.75	5.714	55678.93
1584237600	5.715	5.777	5.777	5.723	23134.02
1584241200	5.777	5.766	5.78	5.753	18977.85
1584244800	5.766	5.825	5.838	5.814	21949.9
1584248400	5.825	5.835	5.851	5.834	16013.99
1584252000	5.835	5.908	5.914	5.876	35025.77
1584255600	5.908	5.884	5.899	5.855	15620.28
1584259200	5.884	5.844	5.858	5.833	14830.28
1584262800	5.844	6.018	6.106	5.824	60496.76
