time	open	close	high	low	volumefrom
1498377600	0.1789	0.1813	0.1815	0.1783	15289.0
1498381200	0.1813	0.1817	0.182	0.1801	10076.0
1498384800	0.1817	0.1813	0.1821	0.1809	9624.0
1498388400	0.1813	0.1817	0.1823	0.1797	6918.0
1498392000	0.1817	0.1821	0.184	0.1815	9705.0
1498395600	0.1821	0.18	0.1822	0.1785	10477.0
1498399200	0.18	0.1795	0.1814	0.1757	8649.0
1498402800	0.1795	0.1783	0.1797	0.1772	7486.0
1498406400	0.1783	0.1773	0.179	0.1768	11003.0
1498410000	0.1773	0.1773	0.1775	0.1766	15768.0
1498413600	0.1773	0.1711	0.1781	0.171	5853.0
1498417200	0.1711	0.1665	0.1711	0.1662	2132.0
1498420800	0.1665	0.163	0.169	0.1624	5705.0
1498424400	0.163	0.1604	0.1635	0.158	1482.0
1498428000	0.1604	0.1631	0.165	0.1594	2385.0
1498431600	0.1631	0.1684	0.1708	0.1631	4889.0
1498435200	0.1684	0.1706	0.1724	0.1677	3353.0
1498438800	0.1706	0.172	0.172	0.1685	4885.0
1498442400	0.172	0.1699	0.1725	0.1689	4849.0
1498446000	0.1699	0.17	0.1704	0.1668	6578.0
1498449600	0.17	0.1671	0.17	0.1646	4561.0
1498453200	0.1671	0.1676	0.1687	0.1667	9137.0
1498456800	0.1676	0.1599	0.1676	0.1598	4245.0
1498460400	0.1599	0.1618	0.1618	0.1559	8135.0
1498464000	0.1618	0.1585	0.1618	0.1581	9264.0
1498467600	0.1585	0.1585	0.159	0.1578	4115.0
1498471200	0.1585	0.1579	0.1587	0.154	3223.0
1498474800	0.1579	0.1573	0.1579	0.1543	13513.0
1498478400	0.1573	0.1591	0.1591	0.1556	9813.0
1498482000	0.1591	0.1557	0.1599	0.1545	5995.0
1498485600	0.1557	0.1539	0.1587	0.1539	5823.0
1498489200	0.1539	0.1454	0.1539	0.1454	2124.0
1498492800	0.1454	0.1491	0.1491	0.1375	3136.0
1498496400	0.1491	0.1492	0.1516	0.1472	1103.0
1498500000	0.1492	0.1397	0.1492	0.1397	2003.0
1498503600	0.1397	0.1369	0.1419	0.1361	1940.0
1498507200	0.1369	0.1372	0.1372	0.1335	2155.0
1498510800	0.1372	0.1476	0.1476	0.1372	5435.0
1498514400	0.1476	0.1628	0.1628	0.1476	12657.0
1498518000	0.1628	0.158	0.1628	0.158	4060.0
1498521600	0.158	0.1537	0.158	0.1507	8702.0
1498525200	0.1537	0.1609	0.1612	0.1537	19627.0
1498528800	0.1609	0.1636	0.1638	0.1583	14663.0
1498532400	0.1636	0.1612	0.1659	0.1606	16288.0
1498536000	0.1612	0.1574	0.1612	0.1557	15160.0
1498539600	0.1574	0.1588	0.1589	0.1567	16037.0
1498543200	0.1588	0.1509	0.1588	0.1509	13137.0
1498546800	0.1509	0.1464	0.1509	0.1451	6250.0
1498550400	0.1464	0.1489	0.1494	0.1464	9523.0
1498554000	0.1489	0.1479	0.1503	0.1464	12275.0
1498557600	0.1479	0.149	0.15	0.1474	19561.0
1498561200	0.149	0.1434	0.15	0.1434	10239.0
1498564800	0.1434	0.1446	0.1457	0.1412	7989.0
1498568400	0.1446	0.139	0.1459	0.1376	11104.0
1498572000	0.139	0.1447	0.1447	0.1331	4398.0
1498575600	0.1447	0.1434	0.1447	0.1413	9369.0
1498579200	0.1434	0.1439	0.1481	0.1421	15829.0
1498582800	0.1439	0.1479	0.1479	0.1434	13233.0
1498586400	0.1479	0.1503	0.1505	0.1462	11347.0
1498590000	0.1503	0.1573	0.1579	0.1503	9266.0
1498593600	0.1573	0.1601	0.1601	0.1553	14401.0
1498597200	0.1601	0.1574	0.1601	0.1564	4466.0
1498600800	0.1574	0.1615	0.164	0.157	4832.0
1498604400	0.1615	0.1614	0.1618	0.1592	5179.0
1498608000	0.1614	0.1639	0.1674	0.1604	5021.0
1498611600	0.1639	0.1591	0.1639	0.1591	1428.0
1498615200	0.1591	0.158	0.1603	0.158	7298.0
1498618800	0.158	0.1594	0.1601	0.1573	6885.0
1498622400	0.1594	0.1556	0.1601	0.1542	9181.0
1498626000	0.1556	0.1538	0.1556	0.1533	6595.0
1498629600	0.1538	0.154	0.1546	0.1521	12992.0
1498633200	0.154	0.1541	0.1548	0.1536	4582.0
1498636800	0.1541	0.1567	0.1579	0.1541	7306.0
1498640400	0.1567	0.1593	0.16	0.1567	7996.0
1498644000	0.1593	0.1605	0.1615	0.1555	4407.0
1498647600	0.1605	0.1625	0.1625	0.1548	18087.0
1498651200	0.1625	0.1646	0.1659	0.1625	39734.0
1498654800	0.1646	0.1657	0.1658	0.1629	25093.0
1498658400	0.1657	0.1669	0.1722	0.1657	15861.0
1498662000	0.1669	0.1733	0.1739	0.1669	12465.0
1498665600	0.1733	0.1678	0.1735	0.1658	15575.0
1498669200	0.1678	0.1676	0.1708	0.1665	19198.0
1498672800	0.1676	0.1676	0.1694	0.1667	29532.0
1498676400	0.1676	0.1722	0.1722	0.1673	29405.0
1498680000	0.1722	0.1733	0.1762	0.1716	28096.0
1498683600	0.1733	0.1742	0.1758	0.1725	17478.0
1498687200	0.1742	0.171	0.1756	0.1698	17432.0
1498690800	0.171	0.1692	0.1716	0.1685	19565.0
1498694400	0.1692	0.1718	0.1754	0.1692	10943.0
1498698000	0.1718	0.1707	0.174	0.1681	13706.0
1498701600	0.1707	0.1725	0.1725	0.1688	15073.0
1498705200	0.1725	0.1723	0.1742	0.1715	28757.0
1498708800	0.1723	0.1715	0.1738	0.1712	23470.0
1498712400	0.1715	0.1714	0.174	0.1703	38846.0
1498716000	0.1714	0.1685	0.1723	0.1684	28123.0
1498719600	0.1685	0.1676	0.1704	0.1652	19419.0
1498723200	0.1676	0.1693	0.1698	0.1666	14355.0
1498726800	0.1693	0.1642	0.1693	0.1639	16384.0
1498730400	0.1642	0.1626	0.1642	0.1604	3461.0
1498734000	0.1626	0.159	0.1663	0.1554	3830.0
1498737600	0.159	0.1573	0.1602	0.1564	34590.0
1498741200	0.1573	0.1569	0.1593	0.1558	54802.0
1498744800	0.1569	0.1577	0.1602	0.1558	36052.0
1498748400	0.1577	0.1609	0.1616	0.1575	49785.0
1498752000	0.1609	0.163	0.1644	0.1598	37093.0
1498755600	0.163	0.1642	0.1662	0.163	48431.0
1498759200	0.1642	0.1641	0.1648	0.1626	48792.0
1498762800	0.1641	0.1628	0.1641	0.1611	51010.0
1498766400	0.1628	0.1639	0.1642	0.1619	42198.0
1498770000	0.1639	0.1636	0.1641	0.1612	51439.0
1498773600	0.1636	0.1633	0.1644	0.1624	47278.0
1498777200	0.1633	0.1587	0.1633	0.1581	41799.0
1498780800	0.1587	0.1598	0.1614	0.1585	38797.0
1498784400	0.1598	0.1599	0.1602	0.1589	37032.0
1498788000	0.1599	0.1581	0.1601	0.1577	36140.0
1498791600	0.1581	0.1562	0.1584	0.1555	30678.0
1498795200	0.1562	0.1566	0.1578	0.155	19961.0
1498798800	0.1566	0.1567	0.1582	0.1557	32224.0
1498802400	0.1567	0.1578	0.1588	0.1565	32867.0
1498806000	0.1578	0.1568	0.1584	0.1566	25900.0
1498809600	0.1568	0.1592	0.1592	0.1568	36385.0
1498813200	0.1592	0.1578	0.1598	0.1576	42576.0
1498816800	0.1578	0.1601	0.1601	0.1572	28894.0
