time	open	close	high	low	volumefrom
1548777600	43.36	43.48	43.58	43.21	4166.26
1548781200	43.48	43.66	43.7	43.42	2936.84
1548784800	43.66	43.52	43.66	43.45	3406.67
1548788400	43.52	43.47	43.71	43.43	4177.37
1548792000	43.7	44.27	44.36	43.47	4487.84
1548795600	43.74	43.24	43.79	43.2	15110.92
1548799200	43.24	43.01	43.25	42.94	5341.5
1548802800	43.01	43.07	43.17	42.97	3628.93
1548806400	43.07	42.64	43.02	42.61	4436.17
1548810000	42.64	42.7	42.77	42.67	2150.31
1548813600	42.7	43.07	43.14	42.9	3895.41
1548817200	43.07	43.15	43.33	43.09	1894.33
1548820800	43.15	43.27	43.41	43.24	2366.5
1548824400	43.27	43.42	43.49	43.25	2322.41
1548828000	43.42	43.04	43.28	43.01	2211.64
1548831600	43.04	43.01	43.08	43.01	3245.19
1548835200	43.01	43.2	43.23	43.1	4422.96
1548838800	43.2	43.36	43.36	43.15	2101.25
1548842400	43.36	43.46	43.53	43.39	6052.39
1548846000	43.46	43.28	43.39	43.25	3331.62
1548849600	43.28	43.97	44.0	43.59	7949.52
1548853200	43.97	44.03	44.1	43.93	4679.49
1548856800	44.03	44.33	44.5	43.98	15513.35
1548860400	44.33	44.19	44.36	44.15	3808.35
1548864000	44.19	43.91	44.18	43.7	11441.49
1548867600	43.91	44.05	44.19	43.95	4207.49
1548871200	44.05	44.39	44.46	44.08	4564.65
1548874800	44.39	44.17	44.52	44.14	5780.83
1548878400	44.17	44.18	44.32	44.04	4397.77
1548882000	44.18	44.14	44.21	44.07	3385.59
1548885600	44.14	44.01	44.29	43.87	2574.66
1548889200	44.01	43.93	44.14	43.93	2774.85
1548892800	43.93	44.06	44.31	43.99	8364.2
1548896400	44.06	43.95	43.99	43.85	4076.67
1548900000	43.95	43.99	44.06	43.85	2689.1
1548903600	43.99	44.29	44.36	43.94	3723.37
1548907200	44.29	44.18	44.35	44.07	2658.34
1548910800	44.18	43.97	44.15	43.87	4766.93
1548914400	43.97	43.93	44.1	43.86	4000.29
1548918000	43.93	44.31	44.31	43.93	4393.71
1548921600	44.31	43.6	44.02	43.53	5228.95
1548925200	43.6	43.47	43.64	43.4	3769.7
1548928800	43.47	43.23	43.37	43.16	2796.07
1548932400	43.23	43.2	43.4	43.16	11000.44
