time	open	close	high	low	volumefrom
1599861600	0.2437	0.2434	0.2445	0.243	4770453.12
1599865200	0.2434	0.2427	0.244	0.2426	3157826.74
1599868800	0.2427	0.2416	0.2429	0.2414	4145767.02
1599872400	0.2416	0.2425	0.2428	0.2416	3276588.84
1599876000	0.2425	0.242	0.2425	0.2414	2479096.77
1599879600	0.242	0.2427	0.2431	0.2413	2655908.02
1599883200	0.2427	0.243	0.2431	0.2424	3077491.9
1599886800	0.243	0.2431	0.2432	0.2428	1405249.29
1599890400	0.2431	0.2418	0.2432	0.2417	2011775.16
1599894000	0.2418	0.2429	0.2429	0.2415	1084313.01
1599897600	0.2429	0.2417	0.2429	0.2414	4711500.55
1599901200	0.2417	0.2426	0.2426	0.2416	934750.17
1599904800	0.2426	0.2421	0.2428	0.2419	751753.61
1599908400	0.2421	0.2423	0.2425	0.2418	992354.34
1599912000	0.2423	0.2417	0.2424	0.2415	1446706.43
1599915600	0.2417	0.2408	0.242	0.2403	2392022.63
1599919200	0.2408	0.2422	0.2424	0.2405	2275873.7
1599922800	0.2422	0.2424	0.2426	0.242	1782953.22
1599926400	0.2424	0.2428	0.2429	0.2424	1777340.53
1599930000	0.2428	0.2436	0.2436	0.2425	1989858.52
1599933600	0.2436	0.2473	0.2478	0.2435	10237392.1
1599937200	0.2473	0.2485	0.2486	0.2467	6978276.94
1599940800	0.2485	0.247	0.2487	0.2464	5620739.96
1599944400	0.247	0.2475	0.2484	0.2467	2781761.97
1599948000	0.2475	0.2474	0.2478	0.2467	3213082.89
1599951600	0.2474	0.2476	0.248	0.2471	4645772.01
1599955200	0.2476	0.2478	0.2481	0.2471	2207129.12
1599958800	0.2478	0.2475	0.2481	0.2472	1767531.0
1599962400	0.2475	0.2479	0.2484	0.2473	2210000.69
1599966000	0.2479	0.2528	0.2534	0.2479	7992514.08
1599969600	0.2528	0.2515	0.2533	0.2514	4986251.86
1599973200	0.2515	0.2517	0.2525	0.2512	2173515.18
1599976800	0.2517	0.2511	0.2526	0.2509	2775076.98
1599980400	0.2511	0.2521	0.2521	0.251	2440163.17
1599984000	0.2521	0.251	0.2528	0.2506	7426409.54
1599987600	0.251	0.2484	0.251	0.2482	3695636.99
1599991200	0.2484	0.2476	0.249	0.2471	4117122.35
1599994800	0.2476	0.2451	0.2484	0.2444	6117678.44
1599998400	0.2451	0.2417	0.2453	0.2417	8018752.2
1600002000	0.2417	0.2429	0.2434	0.2402	7866949.54
1600005600	0.2429	0.2434	0.2438	0.2418	3325517.74
1600009200	0.2434	0.241	0.2436	0.2406	4629585.37
1600012800	0.241	0.2387	0.241	0.2379	9445985.41
1600016400	0.2387	0.2406	0.2406	0.2379	4156246.08
1600020000	0.2406	0.2392	0.2406	0.2389	2866694.01
1600023600	0.2392	0.2402	0.2405	0.2388	3131758.95
1600027200	0.2402	0.2419	0.2419	0.2398	3954688.01
1600030800	0.2419	0.2414	0.2419	0.2399	3172730.54
1600034400	0.2414	0.242	0.2422	0.2409	3072348.84
1600038000	0.242	0.2422	0.2422	0.2413	1997712.18
1600041600	0.2422	0.2404	0.2422	0.2393	3817687.09
1600045200	0.2404	0.2426	0.2426	0.2403	2482644.43
1600048800	0.2426	0.2431	0.2439	0.2421	5555748.98
1600052400	0.2431	0.2432	0.2434	0.2423	1319652.9
1600056000	0.2432	0.2426	0.2433	0.242	1310981.97
1600059600	0.2426	0.2429	0.2433	0.2421	1782366.5
1600063200	0.2429	0.2447	0.2455	0.2429	3182220.32
1600066800	0.2447	0.2457	0.2457	0.2444	3826307.82
1600070400	0.2457	0.2427	0.2458	0.2427	11084057.79
1600074000	0.2427	0.2434	0.2435	0.2423	3888208.69
1600077600	0.2434	0.2438	0.2441	0.2434	2559326.88
1600081200	0.2438	0.245	0.2451	0.2432	3234814.19
1600084800	0.245	0.2443	0.2456	0.2439	3901860.97
1600088400	0.2443	0.2468	0.2475	0.2443	7141285.45
1600092000	0.2468	0.2461	0.2472	0.246	4506305.79
1600095600	0.2461	0.2485	0.2485	0.2461	5309043.51
1600099200	0.2485	0.2481	0.2491	0.2462	7369630.26
1600102800	0.2481	0.2462	0.2483	0.2459	4816619.7
1600106400	0.2462	0.2454	0.2463	0.2448	7862918.09
1600110000	0.2454	0.2462	0.2466	0.2448	3820371.28
1600113600	0.2462	0.2465	0.2475	0.2457	5665246.38
1600117200	0.2465	0.2476	0.2476	0.246	4366858.91
1600120800	0.2476	0.245	0.2478	0.2449	4730476.99
1600124400	0.245	0.2457	0.246	0.2448	3957111.44
