time	open	close	high	low	volumefrom
1599861600	2.539	2.548	2.565	2.538	87218.68
1599865200	2.548	2.574	2.574	2.54	58824.03
1599868800	2.574	2.529	2.574	2.512	125004.14
1599872400	2.529	2.542	2.547	2.524	80545.77
1599876000	2.542	2.53	2.548	2.526	83003.91
1599879600	2.53	2.537	2.547	2.518	70179.36
1599883200	2.537	2.529	2.545	2.527	62970.94
1599886800	2.529	2.533	2.555	2.528	168111.57
1599890400	2.533	2.525	2.536	2.523	48256.63
1599894000	2.525	2.532	2.533	2.521	55287.81
1599897600	2.532	2.519	2.532	2.513	56033.13
1599901200	2.519	2.549	2.55	2.515	28380.5
1599904800	2.549	2.534	2.553	2.53	28466.39
1599908400	2.534	2.539	2.545	2.53	36666.37
1599912000	2.539	2.527	2.54	2.519	31363.11
1599915600	2.527	2.51	2.528	2.493	89034.05
1599919200	2.51	2.54	2.541	2.507	45899.49
1599922800	2.54	2.54	2.542	2.531	42316.55
1599926400	2.54	2.534	2.546	2.531	47816.27
1599930000	2.534	2.546	2.546	2.524	35424.74
1599933600	2.546	2.617	2.62	2.545	251148.67
1599937200	2.617	2.59	2.638	2.582	303560.65
1599940800	2.59	2.582	2.619	2.573	182374.64
1599944400	2.582	2.591	2.606	2.582	58549.76
1599948000	2.591	2.588	2.598	2.57	84404.16
1599951600	2.588	2.6	2.605	2.581	56725.75
1599955200	2.6	2.6	2.608	2.576	78143.6
1599958800	2.6	2.587	2.606	2.564	82375.85
1599962400	2.587	2.597	2.611	2.577	92955.67
1599966000	2.597	2.637	2.644	2.588	131546.25
1599969600	2.637	2.631	2.643	2.613	71688.77
1599973200	2.631	2.649	2.663	2.623	123285.47
1599976800	2.649	2.72	2.74	2.638	261185.96
1599980400	2.72	2.732	2.741	2.702	91668.78
1599984000	2.732	2.7	2.734	2.692	230172.28
1599987600	2.7	2.666	2.718	2.66	212759.67
1599991200	2.666	2.675	2.677	2.642	128865.38
1599994800	2.675	2.579	2.687	2.567	244038.82
1599998400	2.579	2.581	2.629	2.563	109959.25
1600002000	2.581	2.61	2.622	2.568	98945.96
1600005600	2.61	2.637	2.643	2.591	83985.63
1600009200	2.637	2.616	2.637	2.598	176888.05
1600012800	2.616	2.575	2.616	2.566	153863.08
1600016400	2.575	2.579	2.581	2.531	186951.91
1600020000	2.579	2.584	2.589	2.565	75643.38
1600023600	2.584	2.603	2.613	2.569	95330.09
1600027200	2.603	2.61	2.61	2.578	97720.95
1600030800	2.61	2.592	2.61	2.58	77750.64
1600034400	2.592	2.614	2.617	2.592	53573.56
1600038000	2.614	2.625	2.625	2.598	55171.48
1600041600	2.625	2.555	2.625	2.543	135796.43
1600045200	2.555	2.592	2.592	2.555	21953.91
1600048800	2.592	2.582	2.602	2.576	78131.57
1600052400	2.582	2.583	2.59	2.574	50154.54
1600056000	2.583	2.565	2.583	2.553	62496.11
1600059600	2.565	2.556	2.569	2.54	46116.77
1600063200	2.556	2.565	2.575	2.556	44827.16
1600066800	2.565	2.588	2.589	2.561	70911.25
1600070400	2.588	2.567	2.601	2.567	71048.71
1600074000	2.567	2.594	2.609	2.554	92937.3
1600077600	2.594	2.596	2.614	2.579	19761.08
1600081200	2.596	2.627	2.627	2.59	44136.75
1600084800	2.627	2.605	2.639	2.593	47302.14
1600088400	2.605	2.645	2.655	2.605	154786.84
1600092000	2.645	2.632	2.653	2.622	101630.73
1600095600	2.632	2.648	2.655	2.63	145892.54
1600099200	2.648	2.684	2.7	2.648	267556.76
1600102800	2.684	2.66	2.687	2.655	80135.35
1600106400	2.66	2.647	2.664	2.645	72625.94
1600110000	2.647	2.648	2.659	2.635	50543.46
1600113600	2.648	2.653	2.67	2.642	138984.06
1600117200	2.653	2.637	2.662	2.617	202012.09
1600120800	2.637	2.604	2.646	2.6	111200.93
1600124400	2.604	2.614	2.623	2.594	80836.63
1600128000	2.614	2.626	2.626	2.605	65991.62
1600131600	2.626	2.659	2.663	2.6	110742.02
1600135200	2.659	2.664	2.677	2.649	135944.03
1600138800	2.664	2.652	2.673	2.644	40563.8
1600142400	2.652	2.638	2.653	2.623	47077.54
1600146000	2.638	2.623	2.641	2.607	59092.76
1600149600	2.623	2.632	2.633	2.604	68899.2
1600153200	2.632	2.629	2.643	2.62	49526.52
1600156800	2.629	2.6	2.635	2.587	94886.69
1600160400	2.6	2.616	2.616	2.589	40609.5
1600164000	2.616	2.646	2.652	2.598	108642.82
1600167600	2.646	2.619	2.654	2.618	58226.54
1600171200	2.619	2.633	2.638	2.619	74679.58
1600174800	2.633	2.603	2.639	2.602	123299.35
1600178400	2.603	2.562	2.607	2.56	169681.08
1600182000	2.562	2.53	2.569	2.516	291255.59
1600185600	2.53	2.537	2.537	2.502	200423.82
1600189200	2.537	2.554	2.562	2.526	228472.77
1600192800	2.554	2.534	2.555	2.519	111296.12
1600196400	2.534	2.518	2.545	2.502	169425.09
1600200000	2.518	2.546	2.546	2.507	145698.32
1600203600	2.546	2.544	2.547	2.522	100685.32
1600207200	2.544	2.52	2.544	2.514	80880.71
1600210800	2.52	2.502	2.523	2.502	101827.22
1600214400	2.502	2.458	2.51	2.416	464633.13
1600218000	2.458	2.468	2.477	2.44	180132.43
1600221600	2.468	2.451	2.469	2.436	149995.5
1600225200	2.451	2.463	2.466	2.421	118353.69
1600228800	2.463	2.473	2.486	2.457	111464.38
1600232400	2.473	2.478	2.489	2.468	78119.05
1600236000	2.478	2.482	2.486	2.47	71455.48
1600239600	2.482	2.505	2.508	2.477	140908.01
1600243200	2.505	2.498	2.521	2.498	74742.28
1600246800	2.498	2.507	2.507	2.487	68120.35
1600250400	2.507	2.471	2.511	2.471	101386.31
1600254000	2.471	2.498	2.503	2.47	49617.11
1600257600	2.498	2.527	2.537	2.488	102188.48
1600261200	2.527	2.523	2.529	2.508	54874.15
1600264800	2.523	2.51	2.524	2.5	105409.43
1600268400	2.51	2.53	2.536	2.505	87630.96
1600272000	2.53	2.495	2.532	2.492	199121.96
1600275600	2.495	2.483	2.495	2.476	77270.48
1600279200	2.483	2.456	2.488	2.453	158726.37
1600282800	2.456	2.446	2.46	2.442	142487.2
1600286400	2.446	2.462	2.472	2.443	117186.14
1600290000	2.462	2.477	2.48	2.455	86299.94
1600293600	2.477	2.494	2.495	2.47	50213.36
1600297200	2.494	2.472	2.499	2.463	73183.18
1600300800	2.472	2.53	2.541	2.46	162154.65
1600304400	2.53	2.539	2.562	2.528	203674.63
1600308000	2.539	2.52	2.539	2.511	59775.74
1600311600	2.52	2.494	2.52	2.489	49843.25
1600315200	2.494	2.501	2.509	2.482	166767.73
1600318800	2.501	2.528	2.528	2.497	58707.52
1600322400	2.528	2.5	2.529	2.5	60337.88
1600326000	2.5	2.493	2.509	2.472	67643.82
1600329600	2.493	2.471	2.506	2.47	36735.06
1600333200	2.471	2.472	2.482	2.463	33722.71
1600336800	2.472	2.464	2.477	2.445	61793.59
1600340400	2.464	2.477	2.499	2.463	83666.88
1600344000	2.477	2.451	2.479	2.448	81699.79
1600347600	2.451	2.463	2.47	2.442	134605.31
1600351200	2.463	2.478	2.496	2.46	96725.63
1600354800	2.478	2.483	2.493	2.476	45823.49
1600358400	2.483	2.48	2.486	2.466	58403.83
1600362000	2.48	2.478	2.492	2.478	58985.33
1600365600	2.478	2.482	2.511	2.478	119813.91
1600369200	2.482	2.472	2.484	2.456	360979.66
1600372800	2.472	2.483	2.492	2.472	127769.88
1600376400	2.483	2.485	2.487	2.477	60153.56
1600380000	2.485	2.46	2.487	2.453	61993.18
1600383600	2.46	2.471	2.481	2.46	67828.66
1600387200	2.471	2.456	2.477	2.449	123283.63
1600390800	2.456	2.465	2.468	2.452	44264.28
1600394400	2.465	2.485	2.498	2.464	80197.62
1600398000	2.485	2.485	2.489	2.481	81016.71
1600401600	2.485	2.469	2.489	2.461	182022.4
1600405200	2.469	2.483	2.488	2.469	120401.81
1600408800	2.483	2.481	2.485	2.468	94276.7
1600412400	2.481	2.479	2.483	2.469	103280.43
1600416000	2.479	2.483	2.483	2.468	49861.76
1600419600	2.483	2.511	2.514	2.478	75600.8
1600423200	2.511	2.503	2.515	2.498	95887.64
1600426800	2.503	2.504	2.511	2.492	151248.14
1600430400	2.504	2.508	2.51	2.488	59756.52
1600434000	2.508	2.493	2.516	2.491	83656.27
1600437600	2.493	2.495	2.503	2.489	72894.24
1600441200	2.495	2.454	2.495	2.441	376104.87
1600444800	2.454	2.423	2.454	2.416	235996.61
1600448400	2.423	2.359	2.424	2.347	540230.09
1600452000	2.359	2.378	2.385	2.344	535939.82
